generations;average_fitness;best_fitness;time
0;40;32;0.09320807456970215
1;35;28;0.1887040138244629
2;31;25;0.26600003242492676
3;28;22;0.34468984603881836
4;26;21;0.4424459934234619
5;25;20;0.519597053527832
6;23;19;0.5992910861968994
7;23;18;0.698800802230835
8;22;16;0.779559850692749
9;21;16;0.8780279159545898
10;21;16;0.955610990524292
11;20;16;1.0330638885498047
12;20;16;1.1318459510803223
13;20;16;1.2115178108215332
14;20;16;1.289428949356079
15;20;15;1.3878350257873535
16;20;13;1.467890977859497
17;17;13;1.5470068454742432
18;18;12;1.6459670066833496
19;17;12;1.7253601551055908
20;17;10;1.8240690231323242
21;15;10;1.9045770168304443
22;15;10;1.9841620922088623
23;16;10;2.0838170051574707
24;15;10;2.163393020629883
25;15;10;2.240983009338379
26;15;9;2.336941957473755
27;15;9;2.4138429164886475
28;15;9;2.5143349170684814
29;14;9;2.594351053237915
30;15;9;2.6768131256103516
31;14;9;2.776247978210449
32;14;9;2.8584718704223633
33;15;9;2.9389820098876953
34;15;9;3.04164981842041
35;15;9;3.122309923171997
36;14;9;3.2023580074310303
37;14;9;3.298313856124878
38;14;9;3.3783648014068604
39;14;9;3.4747369289398193
40;14;9;3.5546679496765137
41;14;9;3.6325299739837646
42;15;9;3.7276217937469482
43;14;9;3.8070321083068848
44;14;9;3.8850491046905518
45;15;9;3.9821419715881348
46;14;9;4.064560890197754
47;14;9;4.144184112548828
48;15;9;4.243332147598267
49;15;9;4.323318004608154
50;15;9;4.425580978393555
51;15;9;4.504348993301392
52;15;9;4.583679914474487
53;15;9;4.687822103500366
54;14;9;4.766812801361084
55;15;9;4.848045110702515
56;15;9;4.9488770961761475
57;15;9;5.0293660163879395
58;14;9;5.128005027770996
59;15;9;5.209036111831665
60;14;9;5.289819002151489
61;15;9;5.386188983917236
62;14;9;5.467707872390747
63;15;9;5.546296119689941
64;14;9;5.642046928405762
65;14;9;5.723038911819458
66;15;9;5.802211046218872
67;15;9;5.901626110076904
68;14;9;5.979444980621338
69;14;9;6.077822923660278
70;15;9;6.1566760540008545
71;14;9;6.237189769744873
72;15;9;6.337127923965454
73;15;9;6.418506860733032
74;14;9;6.50034499168396
75;15;9;6.60025691986084
76;15;9;6.680269002914429
77;14;9;6.779531002044678
78;14;9;6.8610429763793945
79;14;9;6.94042181968689
80;15;9;7.039938926696777
81;14;9;7.122272968292236
82;15;9;7.201240062713623
83;14;9;7.301387071609497
84;14;9;7.379939079284668
85;15;9;7.459309101104736
86;15;9;7.561182022094727
87;14;9;7.6438148021698
88;14;9;7.741416931152344
89;15;9;7.822267770767212
90;15;9;7.902886867523193
