generations;average_fitness;best_fitness;time
0;51;34;0.6452555656433105
1;53;34;1.2501530647277832
2;54;34;1.8715062141418457
3;56;34;2.499501943588257
4;56;34;3.1410632133483887
5;57;34;3.8271100521087646
6;58;34;4.503432512283325
7;58;34;5.2195212841033936
8;59;34;5.981425762176514
9;59;34;6.632697105407715
10;59;34;7.249600887298584
11;59;34;7.931806564331055
12;59;34;8.595299243927002
13;60;34;9.257226467132568
14;60;34;9.922141790390015
15;60;33;10.609394073486328
16;60;33;11.222820520401001
17;60;33;11.874403476715088
18;60;33;12.58278489112854
19;61;33;13.33144497871399
20;60;33;14.016563892364502
21;61;33;14.73000168800354
22;61;33;15.380734205245972
23;61;33;16.04616641998291
24;61;33;16.79353666305542
25;61;33;17.522348880767822
26;61;33;18.267637491226196
27;61;33;19.013570070266724
28;60;33;19.669459342956543
29;60;33;20.35292077064514
30;60;33;21.05397605895996
31;60;33;21.766475915908813
32;60;33;22.51340889930725
33;60;33;23.227845668792725
34;60;33;23.890869140625
35;61;33;24.608081340789795
36;61;33;25.305722951889038
37;61;33;26.03722357749939
38;60;33;26.73440670967102
39;60;33;27.434509992599487
40;60;33;28.082854747772217
41;60;33;28.77139115333557
42;60;33;29.44440722465515
43;60;33;30.162176370620728
44;60;33;30.893244743347168
45;60;33;31.623995304107666
46;60;33;32.290072202682495
47;60;33;32.96963095664978
48;60;33;33.68138647079468
49;61;33;34.36672639846802
50;61;33;35.06727576255798
51;61;33;35.768263816833496
52;61;33;36.39355945587158
53;61;33;37.11097717285156
54;61;33;37.81107521057129
55;61;33;38.52830672264099
56;61;33;39.29307579994202
57;61;33;40.00754165649414
58;61;33;40.62204933166504
59;61;33;41.370246171951294
60;61;33;42.11641311645508
61;61;33;42.85137152671814
62;61;33;43.58258318901062
63;61;33;44.31335711479187
64;61;33;44.96068620681763
65;61;33;45.69452428817749
66;61;33;46.409815549850464
67;61;33;47.126633405685425
68;61;33;47.90637540817261
69;61;33;48.654648303985596
70;61;33;49.32154083251953
71;61;33;50.06499481201172
72;61;33;50.77930760383606
73;61;33;51.51508951187134
74;61;33;52.260122537612915
75;61;33;53.0322163105011
76;61;33;53.677555322647095
77;61;33;54.42550206184387
78;61;33;55.190327405929565
79;61;33;56.00818395614624
80;61;33;56.85048484802246
81;61;33;57.68547868728638
82;61;33;58.406362771987915
83;61;33;59.20763397216797
84;61;33;60.0221152305603
85;61;33;60.79100966453552
86;60;33;61.62522602081299
87;60;33;62.48702049255371
88;60;33;63.28574585914612
89;61;33;64.100341796875
90;61;33;64.96798658370972
91;61;33;65.83744359016418
92;61;33;66.6588613986969
93;60;33;67.48491716384888
94;60;33;68.23824310302734
95;61;33;69.22986459732056
96;60;33;70.00801920890808
97;60;33;70.78818726539612
98;60;33;71.65581178665161
99;60;33;72.55991339683533
100;60;33;73.36374592781067
101;60;33;74.10492253303528
102;60;33;74.87951803207397
103;60;33;75.74384188652039
104;60;33;76.59482860565186
105;60;33;77.51191401481628
106;60;33;78.36286211013794
107;61;33;79.88710832595825
108;61;33;81.39455270767212
109;61;33;83.00695705413818
110;61;33;84.51118350028992
111;61;33;86.04191303253174
112;60;33;87.40143775939941
113;61;33;88.87349534034729
114;61;33;90.40530729293823
115;61;33;91.90827560424805
116;60;33;93.46811652183533
117;60;33;94.98911428451538
118;61;33;96.41130137443542
119;61;33;97.94278526306152
120;61;33;99.49513411521912
121;61;33;101.00609469413757
122;61;33;102.52454829216003
123;61;33;104.05045771598816
124;61;33;105.43744111061096
125;61;33;106.93764233589172
126;61;33;108.50402736663818
127;61;33;109.96738314628601
128;61;33;111.51401400566101
129;61;33;113.05247449874878
130;61;33;114.50013017654419
131;61;33;116.0716667175293
132;60;33;117.81514191627502
133;60;33;119.66203832626343
134;61;33;120.95864057540894
135;61;33;121.7680492401123
136;61;33;122.41520881652832
137;61;33;123.24188947677612
138;61;33;124.05835676193237
139;61;33;124.89901375770569
140;61;33;125.65222144126892
141;61;33;126.4646167755127
142;61;33;127.17867136001587
143;61;33;127.941978931427
144;62;33;128.7744836807251
145;62;33;129.55175924301147
146;61;33;130.42395877838135
147;61;33;131.24652767181396
148;61;33;131.9391565322876
149;61;33;132.7114806175232
150;61;33;133.52343654632568
151;61;33;134.31959795951843
152;61;33;135.09041666984558
153;62;33;135.89088344573975
154;62;33;136.5927255153656
155;62;33;137.31583547592163
156;61;33;138.0548484325409
157;61;33;138.78347659111023
158;61;33;139.60244297981262
159;61;33;140.36577033996582
160;61;33;141.05594062805176
161;61;33;141.79399967193604
162;61;33;142.55588555335999
163;61;33;143.32719111442566
164;61;33;144.1068880558014
