generations;average_fitness;best_fitness;time
0;57;42;1.2185137271881104
1;59;42;2.110060214996338
2;60;42;3.1818554401397705
3;61;42;4.14925479888916
4;61;41;5.265089988708496
5;62;41;6.1917564868927
6;63;41;7.304136514663696
7;63;41;8.30426573753357
8;64;41;9.474009275436401
9;64;41;10.455755233764648
10;64;41;11.613192558288574
11;65;41;12.659610986709595
12;65;41;13.907760381698608
13;65;41;14.920699119567871
14;65;41;16.021136045455933
15;65;41;16.93001937866211
16;65;41;18.001850843429565
17;65;41;18.91468596458435
18;65;41;20.0774405002594
19;65;41;21.104711771011353
20;65;41;22.176141262054443
21;65;41;23.10565185546875
22;66;41;24.326155424118042
23;65;41;25.272971153259277
24;66;41;26.50648307800293
25;66;41;27.49752712249756
26;66;41;28.696149349212646
27;66;41;29.601381540298462
28;66;41;30.65873122215271
29;66;41;31.538676023483276
30;66;41;32.64113521575928
31;66;41;33.59910464286804
32;66;41;34.71103763580322
33;65;41;35.63649106025696
34;66;41;36.71736240386963
35;66;41;37.602590799331665
36;66;41;38.70111846923828
37;65;41;39.56552290916443
38;65;41;40.681214570999146
39;65;41;41.629353046417236
40;65;41;42.78565716743469
41;65;41;43.72280240058899
42;65;41;44.845898389816284
43;65;41;45.79559326171875
44;65;41;46.95723104476929
45;65;41;47.90661120414734
46;65;41;48.99565052986145
47;65;41;49.88348412513733
48;65;41;51.01433205604553
49;65;41;51.94300198554993
50;66;41;53.03264784812927
51;66;41;53.96543478965759
52;66;41;55.211261510849
53;66;41;56.200907707214355
54;65;41;57.43420934677124
55;65;41;58.45684242248535
56;65;41;59.76445770263672
57;65;41;60.71488094329834
58;65;41;61.955140590667725
59;65;41;62.951202630996704
60;65;41;64.09650826454163
61;65;41;65.07647681236267
62;65;41;66.24612879753113
63;66;41;67.33540463447571
64;65;41;68.51707673072815
65;66;41;69.45647263526917
66;66;41;70.6442518234253
67;65;41;71.69964838027954
68;66;41;72.9788248538971
69;66;41;73.99648213386536
70;66;41;75.22062730789185
71;66;41;76.2330596446991
72;66;41;77.46527981758118
73;66;41;78.43729424476624
74;66;41;79.5924859046936
75;66;41;80.55198121070862
76;66;41;81.73917841911316
77;66;41;82.6540002822876
78;66;41;83.7571542263031
79;66;41;84.74233341217041
80;66;41;85.89746713638306
81;66;41;86.82768940925598
82;66;41;88.0526213645935
83;66;41;89.02533721923828
84;66;41;90.28238153457642
85;66;41;91.28216624259949
86;66;41;92.48781657218933
87;66;41;93.54735827445984
88;65;41;94.85290384292603
89;66;41;95.8899416923523
90;66;41;97.17168593406677
91;66;41;98.26663374900818
92;66;41;99.6027660369873
93;66;41;100.61810207366943
94;67;41;101.8279550075531
95;66;41;102.77320098876953
96;66;41;103.91301155090332
97;66;41;104.81756591796875
98;66;41;105.94822406768799
99;66;41;106.83395171165466
100;66;41;107.97328400611877
101;66;41;108.98344087600708
102;66;41;110.24098443984985
103;66;41;111.27008605003357
104;66;41;112.45861101150513
105;66;41;113.39987444877625
106;66;41;114.53874707221985
107;66;41;115.4820704460144
108;66;39;116.69184803962708
109;66;39;117.59114384651184
110;66;39;118.72177195549011
111;66;39;119.63899517059326
112;66;39;120.77384996414185
113;66;39;121.72406578063965
114;67;39;122.89602327346802
115;66;39;123.8294427394867
116;66;39;124.9597578048706
117;66;39;125.89899945259094
118;66;39;127.0572452545166
119;66;39;127.93911409378052
120;67;39;129.10402941703796
121;67;39;130.02917742729187
122;67;39;131.14279341697693
123;66;39;132.02491927146912
124;67;39;133.14921522140503
125;67;39;134.08974599838257
126;67;39;135.2095010280609
127;66;39;136.11949133872986
128;66;39;137.2327709197998
129;66;39;138.11975383758545
130;66;39;139.23466181755066
131;66;39;140.1571066379547
132;66;39;141.28977227210999
133;66;39;142.2024040222168
134;66;39;143.33003044128418
135;66;39;144.23469018936157
136;66;39;145.42978596687317
137;66;39;146.36074113845825
138;66;39;147.54065036773682
139;66;39;148.50249099731445
140;66;39;149.68588733673096
141;66;39;150.6170253753662
142;66;39;151.74033117294312
143;66;39;152.67543172836304
144;67;39;153.79314708709717
145;66;39;154.72270274162292
146;67;39;155.88745164871216
147;67;39;156.82554650306702
148;66;39;157.93231201171875
149;66;39;158.8105709552765
150;66;39;159.99016785621643
151;66;39;161.12059783935547
152;66;39;162.2406289577484
153;66;39;163.19547867774963
154;66;39;164.3710925579071
155;66;39;165.31090354919434
156;66;39;166.417307138443
157;66;39;167.40480637550354
158;66;39;168.60077738761902
159;67;39;169.58111095428467
160;66;39;170.71999526023865
161;66;39;171.7806453704834
