generations;average_fitness;best_fitness;time
0;49;34;0.6126422882080078
1;43;32;1.3912768363952637
2;39;31;2.1135547161102295
3;36;28;2.6424105167388916
4;34;26;3.125720739364624
5;33;23;3.6726765632629395
6;31;22;4.146993398666382
7;29;18;4.6216042041778564
8;27;18;5.127454042434692
9;26;16;5.685657262802124
10;23;15;6.179103851318359
11;22;13;6.676162958145142
12;20;12;7.192183017730713
13;19;12;7.770306348800659
14;18;11;8.253572940826416
15;17;7;8.756897926330566
16;16;7;9.330118417739868
17;14;8;9.797999143600464
18;14;5;10.260903120040894
19;13;5;10.801210880279541
20;12;5;11.398959636688232
21;11;5;11.958656787872314
22;10;5;12.502346754074097
23;9;5;13.050253629684448
24;9;5;13.673225164413452
25;8;5;14.240586996078491
26;9;5;14.775204420089722
27;9;3;15.367507219314575
28;9;3;15.85699200630188
29;9;3;16.340020179748535
30;8;3;16.838226079940796
31;8;3;17.406541347503662
32;7;3;17.89161443710327
33;7;3;18.375476121902466
34;7;3;18.895565271377563
35;7;3;19.46779704093933
36;7;3;19.925609350204468
37;7;3;20.428494930267334
38;7;3;20.917616367340088
39;7;3;21.488833904266357
40;7;3;22.02791953086853
41;7;3;22.540026903152466
42;7;3;23.107661485671997
43;8;3;23.607524394989014
44;7;3;24.137619972229004
45;7;3;24.665660619735718
46;7;3;25.284342050552368
47;7;3;25.784611463546753
48;7;3;26.29860496520996
49;7;3;26.80578064918518
50;7;0;27.389362335205078
