generations;average_fitness;best_fitness;time
0;47;34;2.577991485595703
1;47;32;4.4645233154296875
2;46;32;6.639485597610474
3;46;32;8.608645915985107
4;45;32;10.822837591171265
5;45;31;13.06762981414795
6;45;29;15.172846794128418
7;45;29;17.448021173477173
8;45;29;19.626670598983765
9;44;29;21.757391691207886
10;44;29;23.93189001083374
11;44;29;26.020963191986084
12;44;29;28.11414098739624
13;44;29;30.413686513900757
14;44;26;32.670212745666504
15;43;26;34.96964168548584
16;43;26;37.28606295585632
17;43;26;39.61599898338318
18;43;26;41.77807807922363
19;43;26;43.943546772003174
20;42;26;46.076236963272095
21;42;26;48.164485454559326
22;43;26;50.32093596458435
23;42;26;52.40096926689148
24;42;26;54.44153952598572
25;42;26;56.72860097885132
26;41;26;58.97162675857544
27;41;26;61.195128202438354
28;41;26;63.40077447891235
29;41;26;65.72116947174072
30;41;26;67.80461430549622
31;41;26;70.10680627822876
32;41;26;72.4914140701294
33;41;26;74.81859612464905
34;41;26;77.18985247612
35;40;26;79.45425748825073
36;40;26;81.86753106117249
37;40;26;84.19126868247986
38;40;26;86.37608289718628
39;40;26;88.71740531921387
40;40;25;90.9614691734314
41;40;25;93.21333980560303
42;40;25;95.43907403945923
43;39;25;97.67779994010925
44;39;25;99.90833568572998
45;39;25;102.14319443702698
46;39;25;104.47123694419861
47;39;25;106.87386059761047
48;39;25;109.07719016075134
49;39;24;111.29407906532288
50;39;24;113.6560606956482
51;38;24;116.08190298080444
52;38;24;118.46489715576172
53;38;24;120.87984085083008
54;38;24;123.32197499275208
55;38;23;125.94237112998962
56;38;23;128.41614079475403
57;38;23;130.83103013038635
58;37;23;133.19059705734253
59;37;23;135.57486534118652
60;37;22;137.77402138710022
61;37;22;140.0243275165558
62;37;22;142.48935532569885
63;37;22;144.9282398223877
64;37;22;147.33181834220886
65;37;22;149.56290912628174
66;37;22;151.79375505447388
67;37;22;154.16718673706055
68;37;22;156.47464442253113
69;37;22;158.92755103111267
70;36;22;161.3989872932434
71;36;22;163.81375432014465
72;36;22;166.0712375640869
73;36;22;168.35634541511536
74;36;22;170.67456102371216
75;36;22;172.89833974838257
76;36;22;175.15462446212769
77;36;19;177.47674345970154
78;36;19;179.7366063594818
79;36;19;182.0213029384613
80;36;19;184.2821924686432
81;36;19;186.51309657096863
82;36;19;188.77381873130798
83;35;19;191.07345366477966
84;36;17;193.3588309288025
85;35;17;195.57747387886047
86;35;17;197.96716213226318
87;35;17;200.1242983341217
88;35;17;202.37310028076172
89;35;16;204.6233832836151
90;35;16;207.0348460674286
91;35;16;209.4701738357544
92;35;16;211.9137396812439
93;35;16;214.30363941192627
94;35;16;216.71704268455505
95;35;16;219.17622327804565
96;34;16;221.40627908706665
97;35;15;223.76532697677612
98;35;15;226.11885380744934
99;34;15;228.3892936706543
100;34;15;230.6734597682953
101;34;15;232.90746116638184
102;34;15;235.2309970855713
103;34;15;237.5462794303894
104;34;15;239.72077345848083
105;34;15;241.88108897209167
106;33;15;244.16399717330933
107;33;15;246.4142963886261
108;33;15;248.68954634666443
109;33;15;251.01029086112976
110;33;14;253.30836701393127
111;33;14;255.5970230102539
112;33;14;257.92871046066284
113;32;14;260.47608160972595
114;33;14;262.9272689819336
115;32;14;265.3633894920349
116;32;14;267.8582775592804
