generations;average_fitness;best_fitness;time
0;58;47;0.027827978134155273
1;52;40;0.051374197006225586
2;47;39;0.08372211456298828
3;45;35;0.10783004760742188
4;44;34;0.13173818588256836
5;41;32;0.15567421913146973
6;38;29;0.17963218688964844
7;38;30;0.2037041187286377
8;37;28;0.22789883613586426
9;36;28;0.25193095207214355
10;35;26;0.27597999572753906
11;34;27;0.3086268901824951
12;35;29;0.33266687393188477
13;35;27;0.35669612884521484
14;35;28;0.3806941509246826
15;35;26;0.40499401092529297
16;32;26;0.42897701263427734
17;33;26;0.4529731273651123
18;33;27;0.4770030975341797
19;33;25;0.5098171234130859
20;32;23;0.5338912010192871
21;31;23;0.5579159259796143
22;31;24;0.5819342136383057
23;32;19;0.6062960624694824
24;31;19;0.6303160190582275
25;28;19;0.6542410850524902
26;28;18;0.6782431602478027
27;27;19;0.7025389671325684
28;27;20;0.7349450588226318
29;27;21;0.7589681148529053
30;27;20;0.7828950881958008
31;28;21;0.8069958686828613
32;29;20;0.8311340808868408
33;28;18;0.8551290035247803
34;29;18;0.879080057144165
35;28;21;0.903095006942749
36;29;20;0.9271900653839111
37;27;17;0.9596531391143799
38;27;17;0.9836630821228027
39;28;18;1.0079259872436523
40;26;17;1.032275915145874
41;27;19;1.0562880039215088
42;27;19;1.0802948474884033
43;26;19;1.1042921543121338
44;27;19;1.1285700798034668
45;26;13;1.1525580883026123
46;27;17;1.1848900318145752
47;26;17;1.2088830471038818
48;26;18;1.233210802078247
49;27;19;1.2572081089019775
50;28;19;1.2811388969421387
51;26;19;1.3051340579986572
52;26;18;1.3294401168823242
53;27;18;1.353389024734497
54;27;19;1.377370834350586
55;26;18;1.4099500179290771
56;27;19;1.4339900016784668
57;26;19;1.4581959247589111
58;27;15;1.4821810722351074
59;26;16;1.5061650276184082
60;25;17;1.5302379131317139
61;27;20;1.5543198585510254
62;28;20;1.5783491134643555
63;27;16;1.6023790836334229
64;27;20;1.6347389221191406
65;27;17;1.6590771675109863
66;25;18;1.683082103729248
67;25;17;1.7070600986480713
68;25;15;1.7310829162597656
69;24;15;1.7553820610046387
70;25;17;1.779374122619629
71;25;15;1.8033499717712402
72;26;15;1.8274219036102295
73;24;14;1.8604600429534912
74;25;19;1.8844590187072754
75;26;15;1.9084889888763428
76;26;17;1.9324979782104492
77;27;18;1.9571771621704102
78;27;21;1.981153964996338
79;28;19;2.0051541328430176
80;27;18;2.0292470455169678
81;28;19;2.0535948276519775
82;27;20;2.0859148502349854
83;28;18;2.109999179840088
84;27;17;2.133960008621216
85;27;15;2.1579651832580566
86;26;17;2.1820549964904785
87;25;15;2.206026077270508
88;26;17;2.229970932006836
89;26;16;2.2540500164031982
90;26;17;2.2867000102996826
91;25;17;2.310715913772583
92;25;19;2.3347251415252686
93;26;19;2.358828067779541
94;27;20;2.38311505317688
95;27;19;2.407109022140503
96;27;17;2.4311270713806152
97;26;17;2.4551401138305664
98;28;20;2.4794721603393555
99;27;20;2.5118789672851562
100;26;17;2.535926103591919
101;26;18;2.5599420070648193
102;26;13;2.584268093109131
103;26;13;2.6082329750061035
104;26;18;2.632322072982788
105;26;17;2.6563022136688232
106;27;19;2.680640935897827
107;27;21;2.7046639919281006
108;28;17;2.736809015274048
109;27;18;2.7608089447021484
110;28;19;2.784827947616577
111;28;19;2.8088419437408447
112;27;15;2.832798957824707
113;27;15;2.856748104095459
114;26;19;2.880737066268921
115;27;16;2.9047281742095947
116;25;16;2.9286651611328125
117;26;17;2.9612338542938232
118;27;20;2.985300064086914
119;27;17;3.0095369815826416
120;27;15;3.0334861278533936
121;26;17;3.057415008544922
122;26;16;3.0813729763031006
123;25;17;3.1055710315704346
124;25;17;3.1294829845428467
125;25;13;3.1533701419830322
126;25;17;3.185753107070923
127;26;16;3.2100400924682617
128;26;16;3.2340009212493896
129;26;16;3.2579379081726074
130;26;18;3.281893253326416
131;27;19;3.3060929775238037
132;27;19;3.3300399780273438
133;28;22;3.3539929389953613
134;29;22;3.3779220581054688
135;29;21;3.4103810787200928
136;30;22;3.434441089630127
137;28;22;3.4583230018615723
138;28;21;3.482222080230713
139;28;18;3.5061838626861572
140;27;20;3.530320882797241
141;27;20;3.5542750358581543
142;29;16;3.5782458782196045
143;27;18;3.602213144302368
144;26;19;3.6345291137695312
145;27;19;3.658545970916748
146;28;17;3.6824851036071777
147;28;17;3.7064719200134277
148;29;16;3.730772018432617
149;29;18;3.755742073059082
150;28;18;3.7805449962615967
151;26;17;3.8045828342437744
152;26;20;3.8400461673736572
153;27;21;3.864081859588623
154;29;21;3.8880419731140137
155;29;18;3.9120781421661377
156;29;22;3.936406135559082
157;30;19;3.9603781700134277
158;28;21;3.984373092651367
159;29;21;4.008360862731934
160;30;21;4.032663106918335
161;29;21;4.065191030502319
162;29;19;4.089187145233154
163;27;19;4.113126993179321
164;27;20;4.1370460987091064
165;27;20;4.161070108413696
166;26;17;4.1849939823150635
167;27;20;4.208909034729004
168;29;20;4.232958078384399
169;29;18;4.256983041763306
170;28;19;4.289170980453491
171;27;22;4.313176155090332
172;29;22;4.33716893196106
173;29;23;4.361449956893921
174;30;22;4.385390043258667
175;30;21;4.409281969070435
176;29;20;4.433273077011108
177;29;19;4.457552909851074
178;29;21;4.481461048126221
