generations;average_fitness;best_fitness;time
0;47;44;0.04808926582336426
1;45;42;0.09959673881530762
2;44;41;0.14733529090881348
3;43;40;0.20375585556030273
4;42;40;0.23747873306274414
5;42;40;0.2863152027130127
6;42;40;0.35486340522766113
7;41;40;0.40484619140625
8;42;40;0.44956469535827637
9;42;40;0.4988863468170166
10;42;40;0.5419394969940186
11;41;39;0.5887360572814941
12;41;39;0.6384124755859375
13;41;39;0.67710280418396
14;41;39;0.7281079292297363
15;41;38;0.7881591320037842
16;40;37;0.8391783237457275
17;39;37;0.8862082958221436
18;39;37;0.9386157989501953
19;39;37;0.9923150539398193
20;38;37;1.0377318859100342
21;39;37;1.0906121730804443
22;39;37;1.140547752380371
23;38;37;1.204817295074463
24;39;37;1.2511725425720215
25;40;37;1.297703742980957
26;39;37;1.3460354804992676
27;38;37;1.3919434547424316
28;39;37;1.4403250217437744
29;39;37;1.4871947765350342
30;39;37;1.5435528755187988
31;39;37;1.6144516468048096
32;39;37;1.664686918258667
33;39;37;1.7125601768493652
34;39;37;1.76051926612854
35;38;37;1.8075826168060303
36;39;37;1.8530395030975342
37;39;37;1.901285171508789
38;38;37;1.9425411224365234
39;39;37;1.993708848953247
40;39;37;2.0560336112976074
41;39;36;2.0985872745513916
42;37;36;2.141496181488037
43;38;36;2.1847779750823975
44;38;36;2.227400302886963
45;38;36;2.266148090362549
46;38;36;2.3180205821990967
47;38;36;2.367583990097046
48;38;36;2.4293832778930664
49;37;36;2.478923797607422
50;38;36;2.524728536605835
51;38;36;2.5662271976470947
52;38;36;2.6168413162231445
53;38;36;2.664306163787842
54;39;36;2.7045998573303223
55;38;36;2.749981641769409
56;38;36;2.825935125350952
57;38;36;2.8729686737060547
58;38;36;2.9274542331695557
59;37;36;2.9661731719970703
60;38;36;3.0177721977233887
61;38;36;3.05899977684021
62;38;35;3.100228786468506
63;37;35;3.145359754562378
64;37;35;3.1982035636901855
65;37;35;3.2594594955444336
66;38;35;3.3026278018951416
67;37;35;3.344683885574341
68;36;35;3.3887414932250977
69;37;35;3.4290432929992676
70;37;35;3.467872381210327
71;37;35;3.5082905292510986
72;37;35;3.5472753047943115
73;37;34;3.610117197036743
74;36;34;3.653078556060791
75;37;34;3.693498134613037
76;36;34;3.7347261905670166
77;36;34;3.77787709236145
78;35;34;3.8217504024505615
79;36;34;3.8725881576538086
80;36;34;3.916687488555908
81;37;34;3.9876694679260254
82;36;34;4.02611231803894
83;36;34;4.074396133422852
84;36;34;4.115230083465576
85;36;34;4.1609838008880615
86;36;34;4.204469680786133
87;36;34;4.2535412311553955
88;36;34;4.298542022705078
89;36;34;4.361851215362549
90;36;34;4.407041072845459
91;37;34;4.446694374084473
92;36;34;4.487913370132446
93;37;34;4.533875226974487
94;36;34;4.574095010757446
95;36;34;4.62747859954834
96;36;34;4.668715000152588
97;36;34;4.716672658920288
98;36;34;4.787530899047852
99;36;34;4.832377672195435
100;37;34;4.878933668136597
101;36;34;4.921131610870361
102;36;34;4.968177795410156
103;36;34;5.012326717376709
104;36;34;5.053176164627075
105;36;34;5.095285654067993
106;36;34;5.169856071472168
107;36;34;5.227046012878418
108;37;34;5.271256446838379
109;37;34;5.316564083099365
110;36;34;5.361774921417236
111;36;34;5.406320810317993
112;36;34;5.450091361999512
113;36;34;5.494874000549316
114;36;34;5.561803579330444
115;36;34;5.606271266937256
116;36;34;5.652981281280518
117;36;34;5.700217962265015
118;37;34;5.758272886276245
119;36;34;5.81075382232666
120;36;34;5.8536670207977295
121;36;34;5.904322385787964
122;36;34;5.962264060974121
123;36;34;6.031377792358398
124;36;34;6.077376365661621
125;36;34;6.123820543289185
126;36;34;6.1750853061676025
127;36;34;6.220777273178101
128;36;34;6.269788503646851
129;36;34;6.321301221847534
130;36;34;6.369791030883789
131;36;34;6.452850818634033
132;36;34;6.502668619155884
133;36;34;6.549522638320923
134;36;34;6.602405309677124
135;36;34;6.652859210968018
136;36;34;6.704479455947876
137;36;34;6.75420880317688
138;36;34;6.808989763259888
139;36;34;6.886441946029663
140;36;34;6.946229934692383
141;36;34;6.994985580444336
142;36;34;7.054690599441528
143;36;34;7.105201721191406
144;36;34;7.152019739151001
145;36;34;7.204600811004639
146;36;34;7.252899408340454
147;36;34;7.306605815887451
148;36;34;7.379366397857666
149;36;34;7.434971570968628
150;36;34;7.495449066162109
151;36;34;7.548474073410034
152;36;34;7.604646682739258
153;36;34;7.668612003326416
154;36;34;7.730329751968384
155;36;34;7.778327703475952
156;36;34;7.849640846252441
157;36;34;7.902562379837036
158;36;34;7.957047462463379
159;36;34;8.006934404373169
160;36;34;8.066222429275513
161;36;34;8.127408027648926
162;37;34;8.184532642364502
163;36;34;8.244846105575562
164;36;34;8.31350326538086
165;36;34;8.364221334457397
166;37;34;8.417556762695312
167;37;34;8.47506308555603
168;36;34;8.521392822265625
169;36;34;8.567008256912231
170;36;34;8.616363286972046
171;36;34;8.657198905944824
172;36;34;8.708688259124756
173;36;34;8.7856125831604
174;36;34;8.833215475082397
175;36;34;8.88362431526184
176;36;34;8.941984415054321
177;36;34;8.98533296585083
178;37;34;9.036290645599365
179;36;34;9.084538221359253
180;36;34;9.131318092346191
181;36;34;9.204679012298584
182;36;34;9.269046068191528
183;36;34;9.346288919448853
184;36;34;9.387579202651978
185;38;34;9.438324213027954
186;36;34;9.51442003250122
187;36;34;9.574522018432617
188;37;34;9.62228274345398
189;36;34;9.699524402618408
190;36;34;9.749303102493286
191;36;34;9.799899816513062
192;36;34;9.85474157333374
193;36;34;9.90769648551941
194;36;34;9.965728759765625
195;36;34;10.030942678451538
196;36;34;10.094526529312134
197;36;34;10.154571294784546
198;36;34;10.246403932571411
199;36;34;10.295140027999878
200;37;34;10.346630573272705
201;36;34;10.39912462234497
202;36;34;10.447776079177856
203;35;34;10.49100136756897
204;36;34;10.535170078277588
205;36;34;10.57640528678894
206;36;34;10.64142894744873
207;36;34;10.691713094711304
208;36;34;10.743821620941162
209;36;34;10.787581205368042
210;36;34;10.838597059249878
211;36;34;10.884637355804443
212;37;34;10.939507484436035
213;36;34;10.983678102493286
214;36;34;11.050742864608765
215;36;34;11.096665143966675
216;36;34;11.142098426818848
217;37;34;11.190594673156738
218;36;34;11.232393026351929
219;37;34;11.27720046043396
220;36;34;11.324567317962646
221;36;34;11.373404264450073
222;36;34;11.438572645187378
