generations;average_fitness;best_fitness;time
0;47;28;5.999311685562134
1;45;28;10.885303020477295
2;43;26;16.71047592163086
3;42;26;22.457318782806396
4;40;26;28.390201807022095
5;39;26;33.454434871673584
6;37;26;39.33036994934082
7;36;24;45.2559289932251
8;35;20;51.21516180038452
9;34;20;56.31968569755554
10;33;20;62.290776014328
11;32;19;68.2238199710846
12;31;19;74.2081127166748
13;30;19;79.31619095802307
14;29;17;85.31417894363403
15;28;16;91.2871208190918
16;27;16;97.36843585968018
17;27;16;102.52414584159851
18;26;14;108.55515789985657
19;25;14;114.51936984062195
20;24;10;120.63117098808289
21;23;10;125.78502702713013
22;22;10;131.8846640586853
23;22;10;137.89718174934387
24;21;10;143.9953739643097
25;20;7;149.18167185783386
26;19;7;155.21338391304016
27;18;7;161.20613384246826
28;17;4;167.3058569431305
29;16;4;172.43217086791992
30;15;4;178.48160791397095
31;14;4;184.49439001083374
32;13;4;190.60782265663147
33;12;4;195.77909684181213
34;10;2;201.84570789337158
35;9;2;207.7897379398346
36;8;2;213.86452507972717
37;7;2;218.99605774879456
38;6;2;224.97515082359314
39;6;2;230.91767692565918
40;5;2;237.005521774292
41;4;2;242.08205485343933
42;4;2;247.97058391571045
43;3;2;253.89655089378357
44;3;2;259.92695689201355
45;3;2;265.0676908493042
46;3;2;271.07423877716064
47;3;2;276.95593786239624
48;3;2;283.3326909542084
49;3;2;288.4414577484131
50;3;2;294.4728157520294
51;3;2;300.4880497455597
52;3;2;306.5568287372589
53;3;2;311.7123498916626
54;3;2;317.76212882995605
55;3;2;323.78356885910034
56;3;2;329.8501808643341
57;3;2;334.90351486206055
58;3;2;340.9793357849121
59;3;2;347.00306582450867
60;3;2;353.09837579727173
61;3;2;358.2372627258301
62;3;2;364.2932198047638
63;3;2;370.3443739414215
64;3;2;376.47953486442566
65;3;2;381.6391258239746
66;3;2;387.65822982788086
67;3;2;393.70152282714844
68;3;2;399.80656480789185
69;3;2;405.0043640136719
70;3;0;411.0478799343109
