generations;average_fitness;best_fitness;time
0;48;31;10.225359201431274
1;47;30;18.399611234664917
2;46;30;27.74063491821289
3;45;30;35.90726900100708
4;44;29;45.1399142742157
5;42;28;53.82667589187622
6;42;27;63.50715351104736
7;41;25;72.20354533195496
8;40;24;81.7680094242096
9;40;24;90.62799644470215
10;39;24;99.97357034683228
11;38;23;108.65591192245483
12;37;23;118.14991974830627
13;36;20;126.94451379776001
14;36;20;136.8255467414856
15;35;19;145.86642932891846
16;34;19;155.65162110328674
17;34;19;166.23006868362427
18;33;18;176.41018724441528
19;33;18;185.49768257141113
20;32;15;195.60657620429993
21;31;15;204.86198806762695
22;31;15;214.92645573616028
23;30;15;224.15005326271057
24;29;15;234.14760828018188
25;29;15;243.5274260044098
26;28;13;253.50033831596375
27;28;13;262.66246724128723
28;27;13;272.57225036621094
29;27;13;281.7558169364929
30;26;13;291.6527268886566
31;25;12;301.35033321380615
32;25;12;311.52514576911926
33;25;11;320.7556748390198
34;24;11;331.26140689849854
35;23;11;341.18063259124756
36;23;11;351.2850465774536
37;22;10;360.7882287502289
38;22;10;371.17559146881104
39;21;10;380.57219767570496
40;21;9;390.65456795692444
41;21;8;400.33970308303833
42;20;8;410.2925703525543
43;20;8;419.7665984630585
44;19;8;429.92327070236206
45;19;8;439.8498754501343
46;18;8;449.6180260181427
47;18;7;459.18660974502563
48;18;7;469.48149013519287
49;18;7;479.8406913280487
50;17;4;489.6782155036926
51;17;4;499.18657898902893
52;17;4;509.7806522846222
53;17;4;519.9710576534271
54;16;4;532.1724033355713
55;16;0;542.4072926044464
