generations;average_fitness;best_fitness;time
0;50;33;11.462700605392456
1;49;33;21.309589862823486
2;48;22;33.17055630683899
3;47;22;44.87890291213989
4;45;22;55.279362201690674
5;45;22;66.80358505249023
6;44;22;79.03323745727539
7;43;22;89.47139716148376
8;42;20;101.30102777481079
9;41;20;112.99001049995422
10;40;20;123.32386255264282
11;40;20;135.0312066078186
12;39;20;148.104736328125
13;38;20;158.68158841133118
14;37;20;170.65286469459534
15;36;19;182.2721655368805
16;35;19;193.00502800941467
17;34;18;204.78690481185913
18;33;18;216.91121363639832
19;32;16;228.97035026550293
20;32;16;239.95586848258972
21;31;16;251.81309270858765
22;31;16;263.84868907928467
23;30;16;274.25265741348267
24;29;16;286.28173184394836
25;29;16;298.1375141143799
26;29;16;308.814954996109
27;28;15;321.82035851478577
28;28;14;334.0409815311432
29;27;13;345.726087808609
30;27;13;356.5481343269348
31;26;12;368.2787218093872
32;26;10;380.4312307834625
33;25;8;391.08983421325684
34;25;8;403.13389778137207
35;24;8;415.2779552936554
36;24;8;426.45439100265503
37;23;6;438.5724422931671
38;23;6;450.94716358184814
39;22;4;462.0060875415802
40;21;4;474.3405635356903
41;21;4;486.3206021785736
42;20;4;497.2823851108551
43;20;3;508.7107081413269
44;19;3;520.7100942134857
45;18;3;532.6701357364655
46;18;3;543.2020535469055
47;17;3;554.9878752231598
48;16;3;567.3141582012177
49;15;3;577.6466233730316
50;14;3;589.3701431751251
51;13;3;601.1107311248779
52;12;2;611.4444456100464
53;12;2;622.793041229248
54;11;2;634.4466331005096
55;10;2;644.7622489929199
56;10;2;656.2980968952179
57;9;2;667.8331136703491
58;9;2;678.3507244586945
59;8;2;689.8835365772247
60;8;2;701.6913497447968
61;7;2;711.9648816585541
62;7;2;723.5094676017761
63;7;2;734.8216955661774
64;7;2;744.6936733722687
65;7;2;755.9588313102722
66;7;2;767.4937884807587
67;7;2;777.4280507564545
68;7;2;788.7443368434906
69;7;2;800.0067417621613
70;7;2;810.325001001358
71;6;2;821.6442971229553
72;6;2;833.5602021217346
73;6;2;843.470178604126
74;6;2;855.1819863319397
75;6;2;867.0251832008362
76;6;2;879.192079782486
77;6;2;889.165111541748
78;6;2;900.8061220645905
79;6;2;912.528687953949
80;6;2;922.8357102870941
81;6;2;934.4539411067963
82;6;2;945.9950747489929
83;6;2;955.9770140647888
84;6;2;967.5314290523529
85;6;2;979.217191696167
86;6;2;989.3574521541595
87;6;2;1001.1500749588013
88;6;2;1012.7203657627106
89;6;2;1024.5378677845001
90;6;2;1035.416235923767
91;6;0;1047.2330310344696
