generations;average_fitness;best_fitness;time
0;57;40;1.0876481533050537
1;51;40;1.819763422012329
2;49;38;2.616840124130249
3;47;36;3.58363676071167
4;45;33;4.363860845565796
5;43;30;5.343097925186157
6;42;29;6.130250692367554
7;41;28;7.120253801345825
8;40;28;7.92533540725708
9;38;28;8.910170078277588
10;38;28;9.700403690338135
11;37;27;10.700323343276978
12;36;27;11.52046799659729
13;36;24;12.305312633514404
14;36;24;13.310303926467896
15;35;23;14.125730276107788
16;35;23;15.134416818618774
17;34;22;15.95029354095459
18;34;22;16.960451364517212
19;34;22;17.76071786880493
20;33;21;18.780563354492188
21;33;21;19.608182668685913
22;32;21;20.615965843200684
23;32;21;21.408414363861084
24;32;21;22.416041612625122
25;32;21;23.250590085983276
26;31;21;24.04107928276062
27;31;21;25.060874223709106
28;31;21;25.870875120162964
29;31;21;26.89111590385437
30;31;21;27.69066858291626
31;30;20;28.740994691848755
32;30;19;29.551133632659912
33;30;19;30.560988426208496
34;29;19;31.383880853652954
35;29;19;32.40626621246338
36;29;19;33.2162926197052
37;29;19;34.021201372146606
38;29;18;35.036317110061646
39;29;18;35.851505517959595
40;28;18;36.87151503562927
41;28;18;37.67134094238281
42;28;17;38.736528635025024
43;28;16;39.551668882369995
44;28;16;40.591304302215576
45;27;16;41.43337941169739
46;27;16;42.46135425567627
47;27;16;43.26141881942749
48;27;16;44.13166069984436
49;26;16;45.14184880256653
50;26;16;45.96186590194702
51;26;16;47.006590843200684
52;25;16;47.85684061050415
53;25;16;48.8817994594574
54;25;16;49.70596623420715
55;25;15;50.7371301651001
56;25;15;51.547478437423706
57;25;15;52.601988077163696
58;25;14;53.402090311050415
59;24;14;54.23703956604004
60;24;14;55.243624448776245
61;24;14;56.06236457824707
62;24;14;57.07718372344971
63;24;14;57.89740800857544
64;24;14;58.91707515716553
65;24;14;59.74247431755066
66;24;14;60.78305625915527
67;23;14;61.61265754699707
68;23;14;62.65230917930603
69;23;14;63.47247815132141
70;23;14;64.50561571121216
71;23;14;65.31252002716064
72;23;12;66.14249181747437
73;23;12;67.17759370803833
74;23;12;68.00267434120178
75;23;12;69.0278754234314
76;23;12;69.84765553474426
77;22;12;70.87885761260986
78;22;12;71.69514775276184
79;22;12;72.83759665489197
80;22;12;73.70132184028625
81;22;12;74.7346339225769
82;22;12;75.58289456367493
83;22;12;76.40768480300903
84;22;12;77.44322681427002
85;22;12;78.27524495124817
86;22;10;79.31310558319092
87;22;10;80.19822096824646
88;22;10;81.27289414405823
89;22;10;82.09300088882446
90;22;10;83.13679480552673
91;21;10;83.96663331985474
92;21;10;84.99631905555725
93;21;10;85.84355306625366
94;21;10;86.64357829093933
95;21;10;87.70427083969116
96;21;10;88.52870321273804
97;21;10;89.55352187156677
98;21;10;90.38449001312256
99;20;10;91.47676920890808
100;20;10;92.30966591835022
101;20;10;93.36886477470398
102;20;10;94.18381857872009
103;20;10;95.23381972312927
104;20;10;96.06870579719543
105;20;10;97.10438632965088
106;20;10;97.94405245780945
107;20;10;98.77406072616577
108;20;10;99.82981419563293
109;20;10;100.66406583786011
110;20;10;101.75420641899109
111;19;10;102.56424880027771
112;19;10;103.60434532165527
113;19;10;104.4394805431366
114;19;10;105.47441053390503
115;19;10;106.30435395240784
116;20;10;107.33938789367676
117;19;10;108.14430594444275
118;19;10;108.94441795349121
119;19;10;109.99422430992126
120;19;10;110.81463670730591
121;19;10;111.88680768013
122;19;10;112.69936060905457
123;19;10;113.7344799041748
124;19;10;114.56486248970032
125;19;10;115.6248950958252
126;19;10;116.43480157852173
127;19;10;117.50831246376038
128;19;10;118.32582974433899
129;19;10;119.13980722427368
130;19;9;120.18011951446533
131;19;9;121.00095295906067
132;19;9;122.06541323661804
133;18;9;122.87497043609619
134;19;9;123.9050841331482
135;19;9;124.73738026618958
136;19;9;125.78511643409729
137;19;9;126.61491966247559
138;19;9;127.69018220901489
139;19;9;128.4962339401245
140;19;9;129.3052875995636
141;19;9;130.34240126609802
142;19;9;131.17535853385925
143;19;9;132.24559426307678
144;19;9;133.06539344787598
145;19;9;134.11892318725586
146;19;9;134.94573664665222
147;19;9;135.97900795936584
148;19;9;136.81069469451904
149;19;9;137.87581968307495
150;19;9;138.69108271598816
151;18;9;139.50580143928528
152;19;9;140.52564191818237
153;19;9;141.3456678390503
154;19;9;142.40572452545166
155;18;9;143.26593255996704
156;18;9;144.34603071212769
157;19;9;145.17097997665405
158;19;9;146.20601153373718
159;19;9;147.03102207183838
160;19;9;148.08865904808044
161;19;9;148.9058575630188
162;19;9;149.96356058120728
163;19;9;150.80616307258606
164;19;9;151.62635111808777
165;19;9;152.6859474182129
166;19;9;153.55111384391785
167;19;9;154.59182357788086
168;19;9;155.4065454006195
169;19;9;156.45618653297424
170;19;9;157.29158806800842
171;19;9;158.41676378250122
172;19;9;159.22946858406067
173;18;9;160.3164370059967
174;19;9;161.1618058681488
175;19;9;161.9885139465332
176;19;9;163.0716359615326
177;19;9;163.92109775543213
178;19;9;164.98174834251404
179;19;9;165.79795598983765
180;19;9;166.84179782867432
181;19;9;167.68205666542053
182;19;9;168.7668514251709
183;19;9;169.61183881759644
184;19;9;170.669753074646
185;19;9;171.47182035446167
186;19;9;172.28674149513245
187;19;9;173.31734800338745
188;18;9;174.17926692962646
189;18;9;175.23188591003418
190;19;9;176.05242824554443
191;19;9;177.08975648880005
192;19;9;177.90537929534912
193;19;9;178.95250797271729
194;19;9;179.81487011909485
195;18;9;180.86736297607422
196;19;9;181.68912410736084
197;19;9;182.49734735488892
198;19;9;183.50938940048218
199;19;9;184.34255051612854
200;19;9;185.37767100334167
201;19;9;186.1994092464447
202;19;9;187.25283312797546
203;19;9;188.0774838924408
204;19;9;189.10773277282715
205;19;9;189.9574909210205
206;19;9;191.01796531677246
207;19;9;191.8375883102417
208;19;9;192.87762117385864
209;19;9;193.68796730041504
210;18;9;194.5178623199463
211;18;9;195.56801199913025
212;18;9;196.41422533988953
213;19;9;197.48301911354065
214;19;9;198.31032156944275
215;19;9;199.36299562454224
216;19;9;200.228374004364
217;18;9;201.2866334915161
218;19;9;202.16600370407104
219;19;9;203.25850367546082
220;19;9;204.07851767539978
221;19;9;204.89851331710815
222;19;9;205.96818256378174
223;19;9;206.79262852668762
224;18;9;207.84831976890564
225;19;9;208.67333793640137
226;18;9;209.7083854675293
227;19;9;210.58167576789856
228;19;9;211.63851952552795
229;19;9;212.47865891456604
230;19;9;213.57891607284546
231;19;9;214.37874698638916
232;19;9;215.1822760105133
233;19;9;216.21892023086548
234;19;9;217.0539252758026
235;19;9;218.08914041519165
236;19;9;218.91920852661133
237;18;9;219.96912264823914
238;19;9;220.7991292476654
239;19;9;221.83706498146057
240;19;9;222.65897250175476
241;19;9;223.69929456710815
242;19;9;224.50901341438293
243;19;9;225.5744969844818
244;19;9;226.4191370010376
245;19;9;227.2545986175537
246;19;9;228.29919242858887
247;19;9;229.12949800491333
248;18;9;230.1797194480896
249;19;9;231.01479268074036
250;19;9;232.06926155090332
251;19;9;232.90982460975647
252;18;9;233.97940826416016
253;19;9;234.79938459396362
