generations;average_fitness;best_fitness;time
0;57;42;0.10206317901611328
1;57;42;0.18921995162963867
2;57;42;0.2751195430755615
3;56;42;0.40476417541503906
4;57;42;0.49521493911743164
5;57;42;0.5813949108123779
6;56;42;0.6672275066375732
7;56;41;0.7769742012023926
8;56;41;0.8629560470581055
9;55;41;0.9534258842468262
10;56;41;1.0378124713897705
11;55;41;1.1466753482818604
12;57;38;1.225358009338379
13;58;38;1.3086395263671875
14;58;38;1.3948476314544678
15;58;38;1.5123136043548584
16;57;38;1.5964837074279785
17;56;38;1.6865408420562744
18;56;38;1.766181230545044
19;57;38;1.8794353008270264
20;57;38;1.9600911140441895
21;57;38;2.039930582046509
22;57;38;2.126068592071533
23;57;38;2.2436769008636475
24;57;38;2.335891008377075
25;56;38;2.4193899631500244
26;56;38;2.5162112712860107
27;56;38;2.639317750930786
28;56;38;2.7324345111846924
29;56;38;2.83121395111084
30;56;38;2.9295384883880615
31;55;38;3.0475246906280518
32;54;38;3.1483817100524902
33;55;38;3.2471392154693604
34;56;38;3.3481626510620117
35;55;38;3.461665630340576
36;56;38;3.552884578704834
37;56;38;3.645198106765747
38;56;38;3.740206718444824
39;57;38;3.867046594619751
40;57;38;3.9609627723693848
41;57;38;4.059169292449951
42;56;38;4.156177997589111
43;55;38;4.2837958335876465
44;56;38;4.387098073959351
45;56;38;4.46439528465271
46;57;38;4.555298566818237
47;56;38;4.685273170471191
48;57;38;4.775057077407837
49;56;38;4.87162184715271
50;55;38;4.97039794921875
51;55;38;5.056477069854736
52;56;38;5.170551776885986
53;56;38;5.275135517120361
54;57;38;5.366993188858032
55;58;38;5.447199821472168
56;57;38;5.551767826080322
57;57;38;5.6402647495269775
58;57;38;5.7251574993133545
59;56;38;5.819866180419922
60;57;38;5.920499324798584
61;55;38;6.0143818855285645
62;55;37;6.09321928024292
63;55;37;6.177443265914917
64;55;37;6.29089617729187
65;54;37;6.37088418006897
66;55;37;6.460622549057007
67;54;37;6.547155857086182
68;54;37;6.657630205154419
69;55;37;6.74366569519043
70;56;37;6.833387136459351
71;56;37;6.9298810958862305
72;56;37;7.0499677658081055
73;55;37;7.1430628299713135
74;54;37;7.238568305969238
75;55;37;7.331143379211426
76;54;36;7.439006328582764
77;54;36;7.532322883605957
78;55;36;7.630937099456787
79;55;34;7.726098537445068
80;55;34;7.833358526229858
81;55;34;7.917513370513916
82;55;34;8.000404357910156
83;54;34;8.097837448120117
84;54;34;8.221283674240112
85;53;34;8.315728187561035
86;53;34;8.40944242477417
87;52;32;8.494296550750732
88;53;32;8.612034320831299
89;54;32;8.708924293518066
90;55;32;8.792367458343506
91;55;32;8.881442785263062
92;54;32;8.986929178237915
93;54;32;9.074116230010986
94;54;32;9.16384243965149
95;54;32;9.25406789779663
96;54;32;9.381789922714233
97;55;32;9.473277807235718
98;56;32;9.564276218414307
99;55;32;9.651682138442993
100;55;32;9.77133560180664
101;55;32;9.866453886032104
102;56;32;9.952223300933838
103;55;32;10.048139572143555
104;56;32;10.162730693817139
105;56;32;10.256640434265137
106;56;32;10.344545841217041
107;55;32;10.433800220489502
108;56;32;10.551511764526367
109;55;32;10.648264646530151
110;55;32;10.741367101669312
111;55;32;10.82961368560791
112;55;32;10.954175472259521
113;54;32;11.04167628288269
114;55;32;11.129215955734253
115;53;32;11.218499660491943
116;54;32;11.309286117553711
117;55;32;11.432716608047485
118;55;32;11.527281045913696
119;56;32;11.624098777770996
120;56;32;11.706258535385132
121;55;32;11.821816682815552
122;55;32;11.918678760528564
123;55;32;12.015835762023926
124;55;32;12.11620831489563
125;54;32;12.23421049118042
126;53;32;12.331614255905151
127;54;32;12.42802619934082
128;54;32;12.525408744812012
129;54;32;12.64997911453247
130;55;32;12.741590738296509
131;55;32;12.831408977508545
132;55;32;12.91000485420227
133;54;32;13.025609493255615
134;54;32;13.118311643600464
135;53;32;13.20917296409607
136;54;32;13.295789241790771
137;56;32;13.42025876045227
138;55;32;13.508972406387329
139;54;32;13.59956669807434
140;55;32;13.69147253036499
141;54;32;13.806365013122559
142;54;32;13.895655870437622
143;54;32;14.00067925453186
144;54;32;14.089284420013428
145;54;32;14.209622621536255
146;54;32;14.302898645401001
147;53;32;14.39016056060791
148;53;32;14.484137296676636
149;53;32;14.606919050216675
150;53;32;14.701037406921387
151;54;32;14.781521558761597
152;53;32;14.869792222976685
153;53;32;14.977864980697632
154;54;32;15.063827753067017
155;54;32;15.159962177276611
156;54;32;15.25876760482788
157;55;32;15.366139888763428
158;55;32;15.464545488357544
159;54;32;15.55728268623352
160;53;32;15.65104055404663
161;55;32;15.762261629104614
162;56;32;15.849971771240234
163;56;32;15.941698551177979
164;55;32;16.04197382926941
165;55;32;16.168221473693848
166;53;32;16.245932817459106
167;52;32;16.337477207183838
168;52;32;16.424352407455444
169;52;32;16.533755779266357
170;52;32;16.622987031936646
171;52;32;16.708215951919556
172;53;32;16.80265760421753
173;53;32;16.906601667404175
174;54;32;16.994615077972412
175;54;32;17.077768564224243
176;54;32;17.16122841835022
177;54;32;17.27710461616516
178;54;32;17.3730206489563
179;54;32;17.46387505531311
180;54;32;17.553191423416138
181;55;32;17.635971307754517
182;55;32;17.740955591201782
183;54;32;17.833213567733765
184;55;32;17.927694082260132
185;55;32;18.014463186264038
186;55;32;18.136024713516235
187;55;32;18.2261962890625
188;55;32;18.319074869155884
189;56;32;18.404263496398926
190;55;32;18.51603078842163
191;55;32;18.601744890213013
192;55;32;18.68089008331299
193;55;32;18.76932954788208
194;55;32;18.88016176223755
195;56;32;18.962923765182495
196;56;32;19.055949926376343
197;55;32;19.15581464767456
198;55;32;19.264485120773315
199;54;32;19.359811067581177
200;56;32;19.439621686935425
201;55;32;19.517629623413086
202;55;32;19.626681327819824
203;54;32;19.710041046142578
204;55;32;19.797046899795532
205;55;32;19.89274501800537
206;55;32;20.016982555389404
207;53;32;20.114099740982056
208;54;32;20.21474838256836
209;55;32;20.30976915359497
210;55;32;20.430981874465942
211;56;32;20.521944522857666
212;56;32;20.620755434036255
213;57;32;20.709006547927856
214;56;32;20.841436624526978
215;56;32;20.9363751411438
216;56;32;21.028733730316162
217;57;32;21.10770583152771
218;56;32;21.23125147819519
219;55;32;21.321577072143555
220;56;32;21.403478384017944
221;57;32;21.492658615112305
222;56;32;21.601924180984497
223;56;32;21.68558645248413
224;55;32;21.769988298416138
225;56;32;21.857472896575928
226;55;32;21.98262357711792
227;55;32;22.077255487442017
228;55;32;22.168676614761353
229;54;32;22.262849807739258
230;54;32;22.375856637954712
231;54;32;22.452627182006836
232;55;32;22.535983324050903
233;54;32;22.620436191558838
234;54;32;22.731844663619995
235;54;32;22.824922561645508
236;54;32;22.919557094573975
