generations;average_fitness;best_fitness;time
0;51;37;0.293332576751709
1;45;35;0.5636231899261475
2;42;33;0.8507986068725586
3;40;30;1.0792055130004883
4;38;26;1.3602020740509033
5;33;25;1.6179327964782715
6;32;24;1.8380317687988281
7;32;21;2.130042552947998
8;29;18;2.3789682388305664
9;25;16;2.681065797805786
10;24;14;2.955152988433838
11;22;13;3.1864123344421387
12;21;13;3.456364870071411
13;21;13;3.736288070678711
14;21;13;3.968228578567505
15;21;13;4.272592306137085
16;21;12;4.547350168228149
17;20;12;4.773349285125732
18;20;12;5.069105386734009
19;20;11;5.303153991699219
20;19;10;5.5892014503479
21;18;10;5.882123708724976
22;19;10;6.129706144332886
23;19;10;6.397950649261475
24;18;10;6.667094945907593
25;19;9;6.887228727340698
26;18;8;7.1673572063446045
27;17;8;7.440199613571167
28;17;8;7.663384675979614
29;17;8;7.9388368129730225
30;17;8;8.185673952102661
31;17;8;8.455368280410767
32;17;8;8.723881244659424
33;18;8;8.959306716918945
34;17;8;9.24060583114624
35;17;7;9.528728008270264
36;17;7;9.755136489868164
37;16;7;10.036577224731445
38;16;7;10.323531866073608
39;16;7;10.547294855117798
40;16;7;10.826261043548584
41;16;7;11.057894468307495
42;16;7;11.350778818130493
43;16;7;11.635350465774536
44;16;7;11.89137578010559
45;17;7;12.182605028152466
46;17;7;12.523737668991089
47;16;7;12.76754379272461
48;16;7;13.04748272895813
49;16;7;13.313202142715454
50;17;7;13.53089427947998
51;15;6;13.792728424072266
52;15;6;14.010615348815918
53;15;6;14.29542326927185
54;16;6;14.563846111297607
55;16;6;14.815431356430054
56;16;6;15.145339488983154
57;16;6;15.476153373718262
58;16;6;15.743974924087524
59;16;6;16.085427045822144
60;15;6;16.374154567718506
61;15;6;16.63822603225708
62;15;6;16.93023657798767
63;15;6;17.170433521270752
64;16;6;17.45940637588501
65;16;6;17.758105993270874
66;16;6;18.00986647605896
67;16;6;18.306397676467896
68;15;6;18.610904216766357
69;16;6;18.841540575027466
70;15;6;19.12224531173706
71;15;6;19.39338254928589
72;16;6;19.62190890312195
73;15;6;19.885658264160156
74;15;6;20.117639303207397
75;15;6;20.398417949676514
76;15;6;20.67373514175415
77;15;6;20.89378333091736
78;16;6;21.194767475128174
79;15;6;21.502480030059814
80;14;6;21.754347801208496
81;16;6;22.04805827140808
82;16;6;22.391528606414795
83;16;6;22.622875452041626
84;15;6;22.920684576034546
85;15;6;23.15384078025818
86;15;6;23.44928741455078
87;15;6;23.743020057678223
88;15;6;23.99388289451599
89;16;6;24.262720823287964
90;15;6;24.551998138427734
91;16;6;24.795777320861816
92;15;6;25.072399854660034
93;16;6;25.364352703094482
94;15;6;25.600828409194946
95;15;6;25.911799669265747
96;16;6;26.165796279907227
97;14;6;26.4493145942688
98;15;6;26.739110946655273
99;16;6;26.994135856628418
100;16;6;27.288565158843994
101;16;6;27.595962047576904
102;15;6;27.82731342315674
103;15;6;28.15427255630493
104;16;6;28.45027256011963
105;16;6;28.691949129104614
106;16;6;29.003571271896362
107;16;6;29.247055768966675
108;15;6;29.531663417816162
109;15;6;29.82588815689087
110;16;6;30.083094596862793
111;15;6;30.36113142967224
112;15;6;30.61787748336792
113;16;6;30.83842968940735
114;15;6;31.122509479522705
115;15;6;31.386388301849365
116;15;6;31.628978729248047
117;16;6;31.89155912399292
118;16;6;32.134881019592285
119;16;6;32.40360713005066
120;15;6;32.6904935836792
121;16;6;32.91849088668823
122;16;6;33.21314263343811
123;15;6;33.49871110916138
124;16;6;33.749200105667114
125;15;6;34.035402059555054
126;16;6;34.328723669052124
127;16;6;34.56602358818054
128;15;6;34.85157537460327
129;15;6;35.09224057197571
130;15;6;35.364511013031006
131;15;6;35.64981985092163
132;15;6;35.87960934638977
133;15;6;36.14472436904907
134;15;6;36.43164849281311
135;15;6;36.6555655002594
136;15;6;36.95344352722168
137;15;6;37.23792576789856
138;15;6;37.457027435302734
139;15;6;37.72531318664551
140;16;6;37.961880683898926
141;15;6;38.25081157684326
142;15;6;38.516897678375244
143;15;6;38.760035037994385
144;16;6;39.052953481674194
145;15;6;39.340001821517944
146;15;6;39.56931209564209
147;15;6;39.86988639831543
148;16;6;40.167627811431885
149;15;6;40.404479026794434
150;16;6;40.68927001953125
151;15;6;40.92206907272339
152;16;6;41.18670892715454
153;16;6;41.46886110305786
154;15;6;41.69366431236267
155;16;6;42.0145263671875
156;16;6;42.30110216140747
157;15;6;42.544843912124634
158;15;6;42.82276940345764
159;16;6;43.12381410598755
160;16;6;43.37866997718811
161;16;6;43.66311526298523
162;15;6;43.90190505981445
163;16;6;44.21461462974548
164;15;6;44.509642601013184
165;15;6;44.76149320602417
166;16;6;45.060269594192505
167;16;6;45.33293890953064
168;15;6;45.562259674072266
169;15;6;45.85536551475525
170;15;6;46.17468214035034
171;15;6;46.41199254989624
172;15;6;46.71392273902893
173;15;6;46.949007987976074
174;15;6;47.263777017593384
