generations;average_fitness;best_fitness;time
0;42;29;1.3440229892730713
1;38;24;2.550611972808838
2;35;23;3.73622465133667
3;34;21;5.012648820877075
4;33;17;6.257038354873657
5;30;18;7.573460578918457
6;30;18;8.8481285572052
7;30;17;10.1240234375
8;29;16;11.434123754501343
9;28;15;12.71983814239502
10;27;15;13.984890460968018
11;28;16;15.32129716873169
12;28;15;16.64847469329834
13;27;14;17.96592926979065
14;27;15;19.291735410690308
15;27;9;20.60258173942566
16;22;11;21.903558492660522
17;24;12;23.29515314102173
18;25;10;24.642669439315796
19;24;11;26.00256657600403
20;25;13;27.37581491470337
21;26;11;28.785351276397705
22;24;12;30.232112169265747
23;25;11;31.58066463470459
24;23;6;32.90005946159363
25;20;7;34.30676627159119
26;22;7;35.812639474868774
27;22;9;37.22600841522217
28;23;9;38.6405725479126
29;22;9;40.0093309879303
30;23;10;41.39789605140686
31;23;9;42.780810594558716
32;22;7;44.10308027267456
33;21;9;45.526140213012695
34;22;9;46.90355181694031
35;22;8;48.39215707778931
36;21;8;49.69965577125549
37;22;8;51.11605501174927
38;21;9;52.49292874336243
39;22;9;53.839805364608765
40;22;8;55.2072536945343
41;21;9;56.606844663619995
42;22;6;57.999887466430664
43;20;6;59.320518016815186
44;20;6;60.65764498710632
45;20;6;62.08831191062927
46;20;7;63.5223069190979
47;21;6;64.89816117286682
48;20;6;66.24600267410278
49;20;6;67.62230563163757
50;20;7;68.99010944366455
51;20;7;70.34200668334961
52;21;5;71.68034338951111
53;19;5;73.0307104587555
54;19;5;74.39520740509033
55;19;5;75.76473069190979
56;19;7;77.1773989200592
57;20;7;78.48011994361877
58;20;5;79.81514644622803
59;19;5;81.19568061828613
60;19;8;82.53954529762268
61;21;5;83.88171768188477
62;19;5;85.20373964309692
63;19;5;86.5347888469696
64;19;5;87.88165259361267
65;19;5;89.2654881477356
66;19;6;90.62373948097229
67;20;8;91.97433567047119
68;21;6;93.31731081008911
69;19;6;94.72627115249634
70;19;6;96.08751130104065
71;20;6;97.49202680587769
72;19;6;98.85475039482117
73;19;6;100.2439136505127
74;19;6;101.58839750289917
75;19;5;102.9393699169159
76;19;6;104.27631330490112
77;20;6;105.62750363349915
78;19;6;107.03301906585693
79;19;7;108.46494388580322
80;20;7;109.88885378837585
81;20;7;111.28618884086609
82;21;7;112.60993218421936
83;20;7;113.9847559928894
84;20;7;115.36727499961853
85;20;7;116.71499586105347
86;20;7;118.1002721786499
87;20;6;119.442786693573
88;20;6;120.84524655342102
89;19;6;122.1933228969574
90;19;6;123.57701349258423
91;20;7;124.8902473449707
92;20;6;126.29944205284119
93;19;6;127.69289302825928
94;19;6;129.05544447898865
95;19;6;130.4328899383545
96;19;6;131.82224917411804
97;19;6;133.2527358531952
98;19;7;134.58948826789856
99;20;7;135.99658727645874
100;20;7;137.40554213523865
101;19;6;138.82352423667908
102;19;6;140.22115468978882
103;19;6;141.6591329574585
104;19;5;143.08516597747803
105;19;5;144.4257733821869
106;19;5;145.82629323005676
107;19;5;147.20922136306763
108;19;5;148.55256485939026
109;18;5;149.9498529434204
110;19;5;151.28940749168396
111;19;5;152.6922163963318
112;19;5;154.09005284309387
113;19;5;155.40797305107117
114;19;5;156.7148973941803
115;19;5;158.0516757965088
116;19;5;159.43886256217957
117;19;5;160.79762983322144
118;19;7;162.11137223243713
119;20;7;163.467134475708
120;20;7;164.85297298431396
121;20;6;166.30906796455383
122;19;4;167.67349910736084
123;18;4;169.0402820110321
124;18;4;170.4328486919403
125;18;4;171.8041808605194
126;18;4;173.23800802230835
127;18;4;174.61052894592285
128;18;4;176.02414464950562
129;18;4;177.42681884765625
130;18;4;178.8257932662964
131;18;4;180.2686653137207
132;18;5;181.75651860237122
133;19;5;183.1641936302185
134;19;4;184.5216588973999
135;18;4;185.8946087360382
136;18;4;187.30854535102844
137;18;4;188.77133774757385
138;18;4;190.13657140731812
139;18;4;191.5253713130951
140;18;6;192.94507217407227
141;19;5;194.29416680335999
142;19;5;195.6234622001648
143;19;5;197.0318284034729
144;19;5;198.45909810066223
145;18;5;199.8001365661621
146;19;6;201.14193201065063
147;19;5;202.51991510391235
148;19;5;203.84891366958618
149;19;6;205.28029489517212
150;19;5;206.73160433769226
151;19;5;208.0484492778778
152;19;5;209.39922046661377
153;19;5;210.83489274978638
154;19;5;212.26881313323975
155;19;7;213.7195074558258
156;20;4;215.2504963874817
157;18;4;216.76135897636414
158;18;4;218.20101046562195
159;18;4;219.64647793769836
160;18;4;221.03344678878784
161;18;4;222.4385051727295
162;18;5;223.87978744506836
163;19;5;225.32876205444336
164;19;5;226.72773838043213
165;19;5;228.11346077919006
166;19;5;229.62112069129944
167;19;7;231.03827261924744
168;20;8;232.3775064945221
169;21;6;233.71971678733826
170;20;5;235.1464741230011
171;19;5;236.51587080955505
172;19;5;237.9333233833313
173;19;5;239.3496744632721
174;19;4;240.7833857536316
175;18;4;242.28487706184387
176;18;4;243.69393658638
177;18;4;245.07881712913513
178;18;4;246.47509050369263
179;18;4;247.878803730011
180;18;6;249.34209084510803
181;19;5;250.7889015674591
182;19;6;252.32936429977417
183;19;6;253.75560593605042
184;19;6;255.18464517593384
185;19;6;256.609304189682
186;19;6;258.03695917129517
187;19;6;259.5440809726715
188;19;6;260.920791387558
189;19;6;262.3393518924713
190;19;6;263.6998498439789
191;19;6;265.11047434806824
