generations;average_fitness;best_fitness;time
0;45;34;1.533881425857544
1;42;30;2.813995361328125
2;40;27;4.419689893722534
3;38;24;5.754230976104736
4;36;22;7.401416778564453
5;34;18;8.70818567276001
6;31;13;10.262971878051758
7;26;12;11.810589075088501
8;27;13;13.494127750396729
9;27;13;15.286481618881226
10;27;13;17.079906702041626
11;27;14;18.484650373458862
12;28;14;20.208721160888672
13;28;14;21.60080337524414
14;27;13;23.209327697753906
15;27;12;24.625016450881958
16;26;12;26.395007371902466
17;26;11;27.87582516670227
18;25;11;29.59610414505005
19;26;12;31.014322519302368
20;26;12;32.75185823440552
21;26;12;34.180222034454346
22;26;12;35.90239381790161
23;26;11;37.33405518531799
24;25;7;39.036937952041626
25;22;10;40.47313570976257
26;24;10;42.188037157058716
27;24;11;43.58113098144531
28;25;13;45.317604541778564
29;27;13;46.6711528301239
30;26;13;48.28677582740784
31;26;13;49.71778702735901
32;26;11;51.44726586341858
33;24;11;52.86847805976868
34;25;12;54.536080837249756
35;25;11;55.91540455818176
36;24;10;57.601953983306885
37;24;9;59.03600597381592
38;23;9;60.72031211853027
39;23;7;62.174039125442505
40;22;7;63.8555109500885
41;21;7;65.23763060569763
42;22;8;66.9025776386261
43;22;8;68.29909777641296
44;22;7;70.01619338989258
45;21;8;71.35417866706848
46;22;7;73.07727694511414
47;21;7;74.45624542236328
48;21;7;76.11245107650757
49;22;6;77.49543118476868
50;21;6;79.17422342300415
51;21;3;80.52589583396912
52;18;6;82.21161198616028
53;20;6;83.57510018348694
54;21;6;85.30251336097717
55;20;5;86.77521967887878
56;20;5;88.51838684082031
57;20;5;89.88412618637085
58;20;5;91.61188650131226
59;20;6;93.03785467147827
60;20;5;94.74937438964844
61;20;5;96.14760875701904
62;20;5;97.81083726882935
63;20;5;99.21244668960571
64;20;5;100.89011597633362
65;20;2;102.2929265499115
66;18;2;103.9530553817749
67;18;2;105.36064338684082
68;18;4;107.0435106754303
69;19;4;108.47533750534058
70;18;2;110.18674325942993
71;18;3;111.56761503219604
72;19;5;113.22621154785156
73;20;5;114.60864496231079
74;20;6;116.26856899261475
75;21;7;117.7015790939331
76;21;7;119.37080240249634
77;21;7;120.7533118724823
78;22;7;122.52076888084412
79;21;7;123.9844286441803
80;21;7;125.72436833381653
81;21;6;127.13166213035583
82;20;7;128.85212445259094
83;21;7;130.14986658096313
84;21;7;131.83503651618958
