generations;average_fitness;best_fitness;time
0;39;35;0.484539270401001
1;37;34;0.9567067623138428
2;36;32;1.3950738906860352
3;35;31;2.127002000808716
4;33;31;2.5912115573883057
5;34;31;3.1413323879241943
6;34;31;3.6483688354492188
7;34;31;4.0773797035217285
8;34;31;4.632798910140991
9;34;31;5.195085763931274
10;34;31;5.713472604751587
11;34;30;6.277703285217285
12;33;30;6.790165662765503
13;33;30;7.268205165863037
14;33;30;7.965118169784546
15;33;30;8.434259176254272
16;33;30;8.833601713180542
17;33;30;9.395233154296875
18;33;30;9.819852352142334
19;33;30;10.365604877471924
20;33;30;11.03750205039978
21;33;30;11.532246589660645
22;33;30;12.191516399383545
23;33;30;12.646759271621704
24;33;30;13.150098085403442
25;33;30;14.41689920425415
26;33;30;15.175975799560547
27;33;30;15.573514461517334
28;33;30;16.15766406059265
29;33;30;16.600019216537476
30;33;30;17.19036102294922
31;33;30;17.63411593437195
32;33;30;18.138357400894165
33;33;30;18.829546689987183
34;33;30;19.329892873764038
35;33;30;19.808212995529175
36;33;30;20.287405729293823
37;33;30;20.687291383743286
38;33;30;21.075733423233032
39;33;30;21.817253589630127
40;33;30;22.20173406600952
41;33;30;22.71849298477173
42;33;30;23.212669134140015
43;33;30;23.704097032546997
44;33;30;24.37949562072754
45;33;30;24.846842050552368
46;32;30;25.271823406219482
47;33;30;25.824461698532104
48;33;30;26.245915412902832
49;33;30;26.713294506072998
50;33;30;27.28815221786499
51;33;30;27.844243049621582
52;33;30;28.280277013778687
53;33;30;28.85964584350586
54;33;30;29.362460374832153
55;33;30;29.934169054031372
56;33;30;30.355833292007446
57;33;30;30.95886206626892
58;33;30;31.47223448753357
59;33;30;31.946051836013794
60;33;30;32.432698011398315
61;33;30;32.95523715019226
62;33;30;33.42618703842163
63;33;30;34.07097768783569
64;33;30;34.54963183403015
65;33;30;34.94080638885498
66;33;30;35.515864849090576
67;33;30;36.10416102409363
68;33;30;36.76197075843811
69;33;30;37.39703011512756
70;33;30;37.92532753944397
71;33;30;38.39364314079285
72;33;30;38.961998462677
73;33;30;39.45159149169922
74;34;30;39.960487604141235
75;33;30;40.64469814300537
76;33;30;41.08636999130249
77;33;30;41.52690601348877
78;33;30;41.977503299713135
79;33;30;42.36220932006836
80;33;30;42.84042549133301
81;33;30;43.4155957698822
82;33;30;43.890554904937744
83;33;30;44.488319396972656
84;33;30;44.94923734664917
85;33;30;45.3337459564209
86;33;30;46.04962110519409
87;33;30;46.56436324119568
88;33;30;46.99990630149841
89;33;30;47.59689140319824
90;33;30;48.10354471206665
91;33;30;48.649935722351074
92;33;30;49.03186845779419
93;33;30;49.6728789806366
94;33;30;50.16919183731079
95;33;30;50.64140820503235
96;33;30;51.1933012008667
97;33;30;51.75244641304016
98;33;30;52.35556936264038
99;33;30;52.88526368141174
100;33;30;53.414578437805176
101;33;30;53.92064452171326
102;33;30;54.53521919250488
103;33;30;55.016993284225464
104;33;30;55.582162857055664
105;32;30;56.32211470603943
106;33;30;56.807833433151245
107;32;30;57.281322717666626
108;33;30;57.819788694381714
109;33;30;58.320993185043335
110;33;30;58.91512393951416
111;33;30;59.43581461906433
112;33;30;59.89835858345032
113;33;30;60.39513182640076
114;33;30;60.92470121383667
115;33;30;61.93446660041809
116;33;30;62.905306577682495
117;33;30;63.32762408256531
118;33;30;63.733851194381714
119;33;30;64.38885736465454
120;33;30;64.8022391796112
121;33;30;65.27609872817993
122;33;30;65.95323824882507
123;33;30;66.40934896469116
124;33;30;66.91622471809387
125;33;30;67.55361533164978
126;33;30;68.04089093208313
127;33;30;68.66406965255737
128;33;30;69.24823427200317
129;33;30;69.75609755516052
130;33;30;70.31598258018494
131;33;30;70.7090003490448
132;33;30;71.173832654953
133;33;30;71.66820335388184
134;33;30;72.32020711898804
135;33;30;72.79938316345215
136;33;30;73.36093354225159
137;34;30;73.79697465896606
138;33;30;74.3654158115387
139;33;30;74.9130551815033
140;33;30;75.34408950805664
141;33;30;76.03793144226074
142;33;29;76.5276141166687
143;33;29;77.03108620643616
144;32;29;77.59004020690918
145;32;29;78.0379114151001
146;32;29;78.47381114959717
147;32;29;79.20430660247803
148;32;29;79.72484803199768
149;33;29;80.14826679229736
150;32;29;80.70930743217468
151;32;29;81.22328424453735
152;33;29;81.78009700775146
153;32;29;82.40109658241272
154;32;29;82.90350079536438
155;32;29;83.44371128082275
156;32;29;83.91011571884155
157;32;29;84.37818813323975
158;32;29;84.9413411617279
159;32;29;85.53749656677246
160;32;29;85.96520018577576
161;32;29;86.48087787628174
162;32;29;86.92150211334229
163;32;29;87.45902800559998
164;32;29;87.95223808288574
165;33;29;88.65523099899292
166;33;29;89.18307328224182
167;32;29;89.65154433250427
168;32;29;90.12174224853516
169;32;29;90.70071339607239
170;32;29;91.21215176582336
171;32;29;91.8225781917572
172;33;29;92.44697713851929
173;32;29;92.96717929840088
174;32;29;93.46022725105286
175;32;29;93.9334466457367
176;32;29;94.37427520751953
177;32;29;95.1636471748352
178;32;29;95.61671924591064
179;32;29;96.05424880981445
180;32;29;96.59167218208313
181;32;29;97.0104329586029
182;32;29;97.41665863990784
183;33;29;98.08169460296631
184;32;29;98.54113626480103
185;33;29;98.96919631958008
186;32;29;99.54556202888489
187;32;29;99.96897625923157
188;32;29;100.53152394294739
189;32;29;101.05178737640381
190;32;29;101.50369668006897
191;32;29;102.06806707382202
192;32;29;102.46455502510071
193;32;29;102.86650824546814
194;32;29;103.62169456481934
195;32;29;104.0845034122467
196;32;29;104.52752709388733
197;32;29;105.00001239776611
198;32;29;105.44720816612244
199;33;29;105.93669724464417
200;32;29;106.36792373657227
201;32;29;106.88215661048889
202;32;29;107.39209055900574
203;32;29;107.85631895065308
204;33;29;108.29100203514099
205;33;29;108.75542736053467
206;32;29;109.28620934486389
207;32;29;109.76432275772095
208;33;29;110.26152300834656
209;32;29;110.68239378929138
210;32;29;111.17702865600586
211;33;29;111.81593728065491
212;32;29;112.23631262779236
213;33;28;113.63474607467651
214;32;28;114.09413957595825
215;32;28;114.45019793510437
216;31;28;114.8891966342926
217;32;28;115.27693843841553
218;31;28;115.94829964637756
219;31;28;116.44663715362549
220;31;28;116.91341257095337
221;32;28;117.36156105995178
222;31;28;117.99156141281128
223;32;28;118.39814043045044
224;31;28;119.15465784072876
225;31;28;119.66719555854797
226;31;28;120.05824637413025
227;31;28;120.5977349281311
228;32;28;120.97010612487793
229;31;28;121.36848831176758
230;32;28;122.0298433303833
231;31;28;122.41340827941895
232;31;28;122.78361558914185
233;32;28;123.2721266746521
234;32;28;123.83602213859558
235;31;28;124.25373983383179
236;32;28;124.87092065811157
237;31;28;125.30309557914734
238;32;28;125.88817381858826
239;32;28;126.36798787117004
240;32;28;126.91679739952087
241;32;28;127.47607183456421
242;32;28;127.83819460868835
243;32;28;128.31917023658752
244;32;28;128.8420808315277
245;32;28;129.3240692615509
246;32;27;129.88606810569763
247;32;28;130.48362755775452
248;32;28;130.9200701713562
249;32;28;131.39492011070251
250;32;28;131.79298400878906
251;32;28;132.2319049835205
252;32;28;132.93233919143677
253;32;28;133.340176820755
254;32;28;133.75849056243896
255;32;28;134.37401342391968
256;33;28;134.74542117118835
257;32;28;135.10662698745728
258;32;28;135.78533101081848
259;32;27;136.291850566864
260;32;27;136.82801342010498
261;32;27;137.22064566612244
262;32;27;137.63147044181824
263;32;27;138.20280051231384
264;31;27;138.7264666557312
265;31;27;139.40362286567688
266;32;27;140.0850260257721
267;31;27;140.61774110794067
268;31;27;141.07491755485535
269;32;27;141.6929121017456
270;31;27;142.23971581459045
271;31;27;142.83647871017456
272;32;27;143.41526293754578
273;32;27;143.83428287506104
274;32;27;144.29077863693237
275;31;27;144.74062252044678
276;32;27;145.1096634864807
277;32;27;145.71718311309814
278;32;27;146.21312355995178
279;32;27;146.75802063941956
280;32;27;147.30000495910645
281;31;27;147.72623825073242
282;32;27;148.3353350162506
283;32;27;148.81419968605042
284;32;27;149.22761034965515
285;32;27;149.80125308036804
286;32;27;150.1990556716919
287;32;27;150.6209056377411
288;32;27;151.18300914764404
289;32;27;151.67106890678406
290;32;27;152.11417818069458
291;32;27;152.64545512199402
292;32;27;153.07160830497742
293;32;27;153.48814630508423
294;32;27;154.17105054855347
295;33;27;154.67260479927063
296;32;27;155.15832233428955
297;33;27;155.81186985969543
298;33;27;156.33534145355225
299;33;27;156.83926391601562
300;33;27;157.48428535461426
301;32;27;157.9191291332245
302;32;27;158.49149918556213
303;32;27;159.02862882614136
304;32;27;159.50553107261658
305;32;27;160.0039942264557
306;32;27;160.45585560798645
307;32;27;160.9278564453125
308;32;27;161.51962232589722
309;33;27;161.99679350852966
310;32;27;162.51153373718262
311;32;27;163.1516342163086
312;34;27;163.72452902793884
313;34;27;164.29300951957703
314;33;27;164.72827529907227
315;33;27;165.16645574569702
316;33;27;165.66585445404053
317;33;27;166.0420184135437
318;33;27;166.4437656402588
319;33;27;167.04171085357666
320;33;28;167.50323462486267
321;34;28;168.014173746109
322;34;28;168.36717438697815
323;34;28;168.76586818695068
324;34;27;169.39736366271973
325;35;27;169.85689282417297
326;34;27;170.3249545097351
327;34;27;170.80309295654297
328;33;27;171.21250009536743
329;33;27;171.62673330307007
330;34;28;172.30765438079834
331;35;28;172.69923400878906
332;35;28;173.13482761383057
333;35;28;173.69039297103882
334;35;28;174.1501979827881
335;34;27;174.64313769340515
336;34;27;175.3109622001648
337;34;27;175.66489338874817
338;34;26;176.20541405677795
339;34;26;176.74805092811584
340;34;27;177.12743496894836
341;35;28;177.64719986915588
342;35;28;178.08965349197388
343;35;27;178.71449327468872
344;35;28;179.27014660835266
345;36;28;179.6700828075409
346;35;28;180.17641878128052
347;35;29;180.5693802833557
