generations;average_fitness;best_fitness;time
0;52;36;9.773957014083862
1;39;30;16.864099979400635
2;34;23;25.675391674041748
3;27;19;33.29483437538147
4;23;17;42.235477447509766
5;21;15;49.8570282459259
6;20;14;58.90374445915222
7;17;14;66.76440000534058
8;17;14;76.16256785392761
9;17;14;84.16194438934326
10;17;13;93.61449646949768
11;17;13;101.58183312416077
12;17;13;111.05301070213318
13;17;13;119.07171392440796
14;17;13;128.61693358421326
15;17;13;136.69394326210022
16;16;13;146.1862187385559
17;16;13;154.174063205719
18;17;13;163.79416298866272
19;17;13;171.81315660476685
20;16;13;181.28536319732666
21;17;13;189.34250402450562
22;17;13;198.87494254112244
23;17;12;206.59641766548157
24;16;12;215.81397366523743
25;16;12;223.50358486175537
26;16;12;232.76354122161865
27;16;12;240.5387418270111
28;16;12;249.97007727622986
29;16;12;257.9109945297241
30;16;12;267.37542247772217
31;16;12;275.5088863372803
32;16;12;285.1392149925232
33;16;12;293.29408168792725
34;16;12;302.8675971031189
35;16;12;310.9616093635559
36;16;12;320.5290117263794
37;16;12;328.5172917842865
38;16;12;338.1390199661255
39;16;12;346.2850196361542
40;16;12;355.97930097579956
41;16;12;364.0968761444092
42;16;12;373.47995018959045
43;16;12;381.51181840896606
44;16;12;391.0125160217285
45;16;12;399.0034911632538
46;16;12;408.58424282073975
47;16;12;416.492502450943
48;16;12;425.98044991493225
49;16;12;433.8693928718567
50;16;12;443.4576120376587
51;16;12;452.3168807029724
52;16;12;461.96634912490845
53;16;12;469.6945264339447
54;16;12;479.910462141037
55;16;12;488.5820572376251
56;16;12;499.0709538459778
57;16;12;507.5961456298828
58;16;12;517.661520242691
59;16;12;526.3134305477142
60;16;12;536.1613538265228
61;16;12;544.3389554023743
62;16;12;554.3302865028381
63;16;12;562.2021200656891
64;16;12;571.6901566982269
65;16;12;579.5461077690125
66;16;12;589.2253034114838
67;16;12;597.0678322315216
68;16;12;606.4572787284851
69;16;12;614.3997054100037
70;16;12;624.2316229343414
71;16;12;632.5429794788361
72;16;12;642.1812093257904
73;16;12;650.249418258667
74;16;12;659.9937272071838
75;16;12;668.1401288509369
76;16;12;677.9838781356812
77;16;12;686.112044095993
78;16;12;695.8677818775177
79;16;12;704.0453896522522
80;16;12;713.8078460693359
81;16;12;721.84459233284
82;16;12;731.4099702835083
83;16;12;739.3829157352448
84;16;12;749.2061114311218
85;16;12;757.0449097156525
86;16;12;766.6410791873932
87;16;12;774.870852470398
88;16;12;784.7979955673218
89;16;12;793.1793146133423
90;16;12;803.2948677539825
91;16;12;811.3394961357117
92;16;12;822.2328996658325
93;16;12;832.8695480823517
94;16;12;843.1208748817444
95;16;12;851.3788526058197
96;16;12;861.3237664699554
97;16;12;869.3543076515198
98;16;12;879.327657699585
99;16;12;887.6045553684235
100;16;12;897.5711350440979
101;16;12;905.8566696643829
102;16;12;915.9285697937012
103;16;12;924.1957321166992
104;16;12;934.2112946510315
105;16;12;942.694929599762
106;16;12;952.8728673458099
107;16;12;961.3824033737183
108;16;12;971.6753132343292
109;16;12;980.0484321117401
110;16;12;990.277533531189
111;16;12;998.8409724235535
112;16;12;1009.122312784195
113;16;12;1017.6327474117279
114;16;12;1028.0109460353851
115;16;12;1036.492931842804
116;16;12;1046.851678609848
117;16;12;1055.4714477062225
118;16;12;1065.8520872592926
119;16;12;1074.5349822044373
120;16;12;1088.1768481731415
121;16;12;1099.8997156620026
122;16;12;1113.4466576576233
123;16;12;1125.1888227462769
124;16;12;1138.5512034893036
125;16;12;1149.507336139679
126;16;12;1162.4814367294312
127;16;12;1174.2445015907288
128;16;12;1187.875343322754
129;16;12;1199.5000767707825
130;16;12;1213.877040863037
131;16;12;1225.346557378769
132;16;12;1238.4241440296173
133;16;12;1249.456732749939
134;16;12;1262.7417764663696
135;16;12;1274.1141231060028
136;16;12;1286.6342322826385
137;16;12;1297.5899777412415
138;16;12;1310.5479691028595
139;16;12;1321.5187621116638
140;16;12;1334.440036535263
141;16;12;1344.6454818248749
142;16;12;1356.4921350479126
143;16;12;1366.7167460918427
144;16;12;1378.7718789577484
145;16;12;1389.4979360103607
146;16;12;1401.4909904003143
147;16;12;1412.2410159111023
148;16;12;1424.205753326416
149;16;12;1434.3924238681793
150;16;12;1446.0451211929321
151;16;12;1456.0955798625946
152;16;12;1467.5755081176758
153;16;12;1477.298187494278
154;16;12;1488.6015241146088
155;16;12;1498.3009684085846
156;16;12;1509.9205377101898
157;16;12;1519.5667088031769
158;16;12;1530.926723241806
159;16;12;1540.388482093811
160;16;12;1551.7996580600739
161;16;12;1561.7724084854126
162;16;12;1573.268266916275
163;16;12;1582.4552638530731
164;16;12;1593.5473928451538
165;16;12;1603.144280910492
166;16;12;1614.5539004802704
167;16;12;1623.9585900306702
168;16;12;1635.1881952285767
169;16;12;1644.7108178138733
170;16;12;1656.1928923130035
171;16;12;1665.9846742153168
172;16;12;1677.4726240634918
