generations;average_fitness;best_fitness;time
0;35;28;2.5578060150146484
1;34;27;4.60248875617981
2;33;26;6.748288631439209
3;32;25;8.84752106666565
4;32;25;10.955899477005005
5;32;25;13.07082724571228
6;32;25;15.195245265960693
7;32;25;17.298851490020752
8;32;25;19.42534852027893
9;32;25;21.551281213760376
10;32;25;23.70834255218506
11;32;25;25.85210084915161
12;32;25;28.005356788635254
13;32;25;30.146004915237427
14;32;25;32.28079438209534
15;32;25;34.51855802536011
16;32;25;36.694684743881226
17;32;25;38.889243602752686
18;32;25;41.06564021110535
19;32;25;43.260934829711914
20;32;25;45.410224199295044
21;32;25;47.59667897224426
22;32;25;49.79416084289551
23;32;25;51.98397612571716
24;32;25;54.19702696800232
25;32;25;56.40486979484558
26;32;25;58.56801390647888
27;32;25;60.759119749069214
28;32;25;63.04121160507202
29;32;25;65.22360157966614
30;32;25;67.44507241249084
31;32;25;69.66132140159607
32;32;25;71.84595036506653
33;32;25;74.05829763412476
34;32;25;76.27167057991028
35;32;25;78.47356867790222
36;32;25;80.65414714813232
37;32;25;82.87124991416931
38;32;25;85.10476851463318
39;32;25;87.3159875869751
40;32;25;89.546639919281
41;32;25;91.74446630477905
42;32;25;93.99989342689514
43;32;25;96.21421003341675
44;32;25;98.40977311134338
45;32;25;100.72639656066895
46;32;25;103.13745856285095
47;32;25;105.3705906867981
48;32;25;107.63410758972168
49;32;25;109.8959710597992
50;32;25;112.118008852005
51;32;24;114.40773248672485
52;32;24;116.63772344589233
53;31;24;118.8740463256836
54;31;24;121.172354221344
55;31;24;123.47778868675232
56;31;24;125.69342589378357
57;31;24;127.9239912033081
58;31;24;130.1537845134735
59;31;24;132.37768864631653
60;31;24;134.60471940040588
61;31;24;136.8581314086914
62;31;24;139.09480047225952
63;31;24;141.32921028137207
64;31;24;143.59551429748535
65;31;24;145.840904712677
66;31;24;148.09761905670166
67;31;24;150.34274196624756
68;31;24;152.58580112457275
69;31;24;154.81244683265686
70;31;24;157.05421257019043
71;31;24;159.30984616279602
72;31;24;161.5335853099823
73;31;24;163.7622606754303
74;31;24;165.9714777469635
75;31;24;168.21351313591003
76;31;24;170.40746879577637
77;31;24;172.6736090183258
78;31;24;174.92772579193115
79;31;24;177.17353796958923
80;31;24;179.50452256202698
81;31;24;181.75659465789795
82;31;24;184.0456759929657
83;31;24;186.2527093887329
84;31;24;188.4971444606781
85;31;24;190.76572585105896
86;31;24;193.02107620239258
87;31;24;195.2471261024475
88;31;24;197.52133750915527
89;31;24;199.7186369895935
90;31;24;201.93349194526672
91;31;24;204.18874835968018
92;31;24;206.40957951545715
93;31;24;208.65177059173584
94;31;24;210.89970922470093
95;31;24;213.14078855514526
96;31;24;215.38672256469727
97;31;24;217.6369788646698
98;31;24;219.8855903148651
99;31;24;222.12504839897156
100;31;24;224.375018119812
101;31;24;226.61746740341187
102;31;24;228.85021495819092
103;31;24;231.09021520614624
104;31;24;233.31656217575073
105;31;24;235.56289839744568
106;31;24;237.8151149749756
107;31;24;240.08217811584473
108;31;24;242.3132884502411
109;31;24;244.56793642044067
110;31;24;246.8295555114746
111;31;24;249.09513139724731
112;31;24;251.34414529800415
113;31;24;253.5850808620453
114;31;24;255.8241093158722
115;31;24;258.17646288871765
116;31;24;260.43414211273193
117;31;24;262.68415427207947
118;31;24;264.9412603378296
119;31;24;267.16357231140137
120;31;24;269.3647744655609
121;31;24;271.8087544441223
122;31;24;274.11602330207825
123;31;24;276.41311836242676
124;31;24;278.7030065059662
125;31;24;281.0567123889923
126;31;24;283.2956531047821
127;31;24;285.5476198196411
128;31;24;287.8073320388794
129;31;24;290.05543065071106
130;31;24;292.32470989227295
131;31;24;294.59561705589294
