generations;average_fitness;best_fitness;time
0;43;36;2.5520732402801514
1;41;33;4.632167816162109
2;39;31;6.794325113296509
3;38;30;8.966649532318115
4;37;29;11.124961853027344
5;36;28;13.305916547775269
6;35;28;15.463668823242188
7;36;28;17.61930012702942
8;35;28;19.817197799682617
9;35;28;22.057230472564697
10;35;27;24.231853008270264
11;35;27;26.453665018081665
12;35;27;28.667356491088867
13;35;27;30.812076091766357
14;35;27;33.009785413742065
15;35;27;35.21780467033386
16;35;27;37.44361901283264
17;35;27;39.66091012954712
18;35;27;41.8700737953186
19;35;27;44.08229351043701
20;35;27;46.28066062927246
21;35;27;48.48934507369995
22;35;26;50.728206396102905
23;34;26;52.91449189186096
24;34;26;55.12680792808533
25;34;26;57.37236666679382
26;34;26;59.64976191520691
27;34;26;61.89050579071045
28;34;26;64.14950680732727
29;34;26;66.35756587982178
30;34;26;68.618328332901
31;34;26;70.86681318283081
32;34;26;73.11633634567261
33;34;26;75.36698007583618
34;34;26;77.61621046066284
35;34;26;79.90234804153442
36;34;26;82.15165209770203
37;34;26;84.41272139549255
38;34;26;86.64188313484192
39;34;26;88.88807439804077
40;34;26;91.10653138160706
41;34;26;93.37107181549072
42;34;26;95.65232038497925
43;34;26;97.90264868736267
44;34;26;100.13360619544983
45;34;26;102.39285206794739
46;34;26;104.65092897415161
47;34;26;106.9884397983551
48;34;26;109.24827814102173
49;34;26;111.55315065383911
50;34;26;113.74689984321594
51;34;26;116.0429470539093
52;34;26;118.3071722984314
53;34;26;120.54965806007385
54;34;26;122.81799936294556
55;34;26;125.06653475761414
56;34;26;127.29875230789185
57;34;26;129.57282757759094
58;34;26;131.84448647499084
59;34;26;134.11021375656128
60;34;26;136.44294905662537
61;34;26;138.72053933143616
62;34;26;140.96691966056824
63;34;26;143.2347447872162
64;34;26;145.50465202331543
65;34;26;147.7818582057953
66;34;26;150.06322479248047
67;34;26;152.33164501190186
68;34;26;154.5856750011444
69;34;26;156.8736538887024
70;34;26;159.14096307754517
71;34;26;161.54801058769226
72;34;26;163.84124183654785
73;34;26;166.14017009735107
74;34;26;168.41771960258484
75;34;26;170.6873857975006
76;34;26;172.94908690452576
77;34;26;175.2080636024475
78;34;26;177.687903881073
79;34;26;179.96930360794067
80;34;26;182.2531270980835
81;34;26;184.50702214241028
82;34;26;186.76517462730408
83;34;26;189.05971479415894
84;34;26;191.35154676437378
85;34;26;193.65414309501648
86;34;26;195.91600823402405
87;34;26;198.20288801193237
88;34;26;200.44409918785095
89;34;26;202.77796125411987
90;34;26;205.14379382133484
91;34;26;207.40780901908875
92;34;26;209.69443488121033
93;34;26;212.03042078018188
94;34;26;214.30020236968994
95;34;26;216.61107540130615
96;34;26;218.91993403434753
97;34;26;221.21478819847107
98;34;26;223.49967551231384
99;34;26;225.82040333747864
100;34;26;228.0857253074646
101;34;26;230.3598940372467
102;34;26;232.61334204673767
103;34;26;234.9043047428131
104;34;26;237.19347763061523
105;34;26;239.49040269851685
106;34;26;241.78496837615967
107;34;26;244.05595541000366
108;34;26;246.39975428581238
109;34;26;248.7132170200348
110;34;26;251.10585522651672
111;34;26;253.39788961410522
112;34;26;255.70550918579102
113;34;26;257.9924051761627
114;34;26;260.26797795295715
115;34;26;262.5667562484741
116;34;26;264.869047164917
117;34;26;267.19562435150146
118;34;26;269.4953372478485
119;34;26;271.77617383003235
120;34;26;274.0100517272949
121;34;26;276.3085973262787
122;34;26;278.6060857772827
123;34;26;280.90086793899536
124;34;26;283.1985306739807
125;34;26;285.496160030365
126;34;26;287.8096778392792
127;34;26;290.0898423194885
128;34;26;292.398494720459
129;34;26;294.70415806770325
130;34;26;296.9997420310974
131;34;26;299.3009271621704
132;34;26;301.6183240413666
133;34;26;303.9558985233307
134;34;26;306.267959356308
135;34;26;308.5845458507538
136;34;26;310.871346950531
137;34;26;313.18551230430603
138;34;26;315.4749610424042
139;34;26;317.7609529495239
140;34;26;320.0550639629364
141;34;26;322.3609035015106
142;34;26;324.7102282047272
143;34;26;327.00269651412964
144;34;26;329.2831823825836
145;34;26;331.55770802497864
146;34;26;333.8427538871765
147;34;26;336.12810611724854
148;34;26;338.4468641281128
149;34;26;340.72131156921387
150;34;26;343.02136993408203
151;34;26;345.3230936527252
152;34;26;347.6059854030609
153;34;26;349.9532299041748
154;34;26;352.26469588279724
155;34;26;354.5836760997772
156;34;26;356.8896481990814
157;34;26;359.16396594047546
158;34;26;361.46557426452637
159;34;26;363.7517600059509
160;34;26;366.05468130111694
161;34;26;368.3302345275879
162;34;26;370.6616761684418
163;34;26;372.9501938819885
164;34;26;375.229887008667
165;34;26;377.53296422958374
166;34;26;379.8295421600342
167;34;26;382.1369731426239
168;34;26;384.49268198013306
169;34;26;386.80171155929565
170;34;26;389.1303114891052
171;34;26;391.44959473609924
