generations;average_fitness;best_fitness;time
0;49;42;0.06813454627990723
1;49;43;0.13587689399719238
2;49;41;0.197127103805542
3;49;43;0.2577173709869385
4;50;41;0.30679821968078613
5;49;40;0.4944593906402588
6;47;40;0.5323047637939453
7;47;40;0.5717368125915527
8;48;39;0.611424446105957
9;47;42;0.6501889228820801
10;49;42;0.6990742683410645
11;50;43;0.7393295764923096
12;52;46;0.7778866291046143
13;53;48;0.8211328983306885
14;54;46;0.8583400249481201
15;53;46;0.8971223831176758
16;52;46;0.9359128475189209
17;52;45;1.1121408939361572
18;53;46;1.1511900424957275
19;54;48;1.1885123252868652
20;55;46;1.2279107570648193
21;55;49;1.2669532299041748
22;55;50;1.3060317039489746
23;56;48;1.3446485996246338
24;55;49;1.3814060688018799
25;55;48;1.4218158721923828
26;54;47;1.4628610610961914
27;54;46;1.5003786087036133
28;54;47;1.5377740859985352
29;54;47;1.7205400466918945
30;54;47;1.7620291709899902
31;55;49;1.7986254692077637
32;55;48;1.837918996810913
33;54;48;1.8774938583374023
34;56;50;1.9170446395874023
35;57;50;1.9574823379516602
36;56;48;1.998896598815918
37;57;48;2.0393824577331543
38;56;49;2.0806026458740234
39;55;49;2.1207666397094727
40;56;49;2.161632776260376
41;56;49;2.340359926223755
42;56;50;2.37713360786438
43;57;50;2.416050434112549
44;57;52;2.4565141201019287
45;57;49;2.502307176589966
46;58;48;2.54099702835083
47;57;50;2.580303907394409
48;58;48;2.616781711578369
49;55;50;2.655761480331421
50;56;50;2.694669008255005
51;56;48;2.734503746032715
52;55;49;2.7730400562286377
53;56;50;2.9567718505859375
54;57;47;2.994129180908203
55;56;46;3.0370986461639404
56;56;49;3.081374168395996
57;57;49;3.1210713386535645
58;57;47;3.1589908599853516
59;57;48;3.198686361312866
60;57;51;3.2350881099700928
61;57;52;3.274177312850952
62;59;53;3.3154044151306152
63;60;53;3.3539202213287354
64;61;52;3.3902931213378906
65;59;51;3.5719189643859863
66;59;50;3.6095011234283447
67;58;52;3.6480355262756348
68;58;50;3.686063528060913
69;59;49;3.7276885509490967
70;57;49;3.768413543701172
71;56;49;3.807704448699951
72;56;48;3.8441925048828125
73;57;48;3.88130259513855
74;57;48;3.9210948944091797
75;56;48;3.9591622352600098
76;56;48;3.998661756515503
77;55;49;4.181185483932495
78;57;52;4.221588850021362
79;57;51;4.260547876358032
80;58;49;4.299273490905762
81;59;51;4.338653326034546
82;59;53;4.377033233642578
83;60;51;4.417172431945801
84;59;50;4.456633806228638
85;58;50;4.496753215789795
86;58;51;4.536819696426392
87;58;51;4.579032897949219
88;58;50;4.618096113204956
89;58;51;4.657670497894287
90;58;52;4.844879627227783
91;59;53;4.885234355926514
92;59;54;4.9235382080078125
93;61;56;4.963097810745239
94;62;57;5.0031211376190186
95;62;52;5.0478196144104
96;61;52;5.090558052062988
97;61;54;5.1306846141815186
98;60;53;5.168673992156982
99;61;53;5.207362413406372
100;60;53;5.246847629547119
101;60;55;5.285427808761597
102;60;53;5.464864015579224
103;61;55;5.501373529434204
104;61;55;5.540421724319458
105;61;52;5.5787599086761475
106;62;53;5.624363660812378
107;61;52;5.674241542816162
108;62;55;5.711956739425659
109;61;56;5.752290725708008
110;62;53;5.796873331069946
111;62;53;5.840769290924072
112;63;54;5.882749319076538
113;62;54;5.926894664764404
114;62;53;6.111595392227173
115;60;54;6.15092396736145
116;60;54;6.19076132774353
117;61;52;6.230788469314575
118;61;54;6.270639896392822
119;61;53;6.309444904327393
120;62;52;6.349450349807739
121;63;50;6.387094736099243
122;61;55;6.425071954727173
123;62;55;6.464643955230713
124;61;56;6.502694606781006
125;62;52;6.541082382202148
126;62;53;6.721656084060669
127;61;55;6.758632659912109
128;62;54;6.7984654903411865
129;62;55;6.837713003158569
130;61;54;6.876566171646118
131;63;55;6.9184582233428955
132;63;57;6.957153797149658
133;64;52;6.999027967453003
134;64;51;7.037623167037964
135;60;52;7.076786279678345
136;60;53;7.120378494262695
137;60;54;7.1579978466033936
138;61;55;7.337805986404419
139;62;52;7.376989126205444
140;62;55;7.413410902023315
141;62;56;7.453123331069946
142;63;54;7.4907379150390625
143;62;55;7.530445337295532
144;63;52;7.56746506690979
145;64;52;7.603671550750732
146;64;54;7.645164728164673
147;63;52;7.681364059448242
148;63;55;7.7158918380737305
149;64;55;7.7545998096466064
150;63;53;7.936662912368774
151;63;54;7.976444959640503
152;63;55;8.016539573669434
153;62;54;8.055164813995361
154;62;50;8.095107555389404
155;62;48;8.133416414260864
156;61;49;8.170881509780884
157;60;49;8.2071213722229
158;61;49;8.246572971343994
159;60;52;8.28565502166748
160;61;51;8.324615955352783
161;62;54;8.361809253692627
162;61;54;8.541126012802124
163;63;55;8.579189538955688
164;64;58;8.618921756744385
165;65;58;8.657442331314087
166;65;58;8.696382761001587
167;66;59;8.733790636062622
168;65;57;8.773967266082764
169;65;60;8.809688091278076
170;65;57;8.848032474517822
171;65;55;8.885903120040894
172;66;57;8.925392389297485
173;66;60;8.963988065719604
174;65;57;9.145320415496826
175;66;57;9.181161642074585
176;67;57;9.219648361206055
177;67;58;9.25802755355835
178;67;58;9.297738313674927
179;67;59;9.335680484771729
180;67;55;9.376875638961792
181;66;57;9.414909601211548
182;66;56;9.452433109283447
183;67;59;9.495574951171875
184;66;58;9.53205156326294
185;65;57;9.571006298065186
186;66;58;9.748769044876099
187;66;59;9.786526203155518
188;66;56;9.823101043701172
189;66;58;9.86148977279663
190;66;57;9.898683071136475
191;66;57;9.93715214729309
192;67;57;9.976977348327637
193;67;60;10.014994621276855
194;67;59;10.053338289260864
195;68;60;10.092486143112183
196;69;59;10.131371974945068
197;68;57;10.172288417816162
198;68;58;10.35063886642456
199;68;58;10.38934588432312
200;68;59;10.433390378952026
201;70;63;10.472102165222168
202;69;59;10.513366937637329
203;69;58;10.560811758041382
204;68;60;10.600665092468262
205;68;58;10.644323587417603
206;68;58;10.684043407440186
207;67;60;10.725107669830322
208;66;58;10.765873193740845
209;66;58;10.808992385864258
210;67;60;10.993005514144897
211;66;59;11.02968454360962
212;67;60;11.066985607147217
213;69;60;11.106297254562378
214;68;59;11.144504070281982
215;67;55;11.183598756790161
216;69;59;11.223171949386597
217;68;59;11.263434648513794
218;67;59;11.301474809646606
219;68;58;11.341234683990479
220;68;59;11.377873420715332
221;66;56;11.415513515472412
222;66;60;11.596868991851807
223;66;59;11.63674807548523
224;67;58;11.672917604446411
225;67;60;11.710496187210083
226;68;61;11.749444961547852
227;67;60;11.787714719772339
228;67;59;11.825366020202637
229;66;57;11.867268562316895
230;66;57;11.903692483901978
231;66;56;11.941656589508057
232;67;59;11.97987985610962
233;67;57;12.018907070159912
234;67;55;12.19929814338684
235;66;56;12.238986730575562
236;67;57;12.278610944747925
237;68;62;12.319612264633179
238;68;60;12.358967065811157
239;69;59;12.393649578094482
240;69;60;12.43480634689331
241;70;61;12.473350286483765
242;70;62;12.512654781341553
243;69;62;12.547416925430298
244;69;60;12.58590054512024
245;70;62;12.628399848937988
246;69;61;12.808107852935791
247;70;62;12.846781969070435
248;70;62;12.884744644165039
249;70;63;12.920794486999512
250;70;62;12.959112882614136
251;70;59;12.997376203536987
252;70;57;13.036720991134644
253;70;60;13.074324369430542
254;70;61;13.111843824386597
255;70;63;13.152865409851074
256;70;60;13.19251799583435
257;70;61;13.231353282928467
258;70;64;13.41171932220459
259;70;63;13.452184438705444
260;70;62;13.490875244140625
261;70;64;13.528653144836426
262;70;64;13.568609952926636
263;71;64;13.607930660247803
264;70;62;13.646715879440308
265;70;61;13.685166835784912
266;71;62;13.722037076950073
267;71;62;13.76082706451416
268;71;63;13.799448728561401
269;71;65;13.838054180145264
270;71;61;13.877103567123413
271;73;67;14.05577039718628
272;72;64;14.094837665557861
273;72;63;14.133526802062988
274;73;65;14.172282695770264
275;73;63;14.209179639816284
276;72;66;14.247660398483276
277;73;63;14.287448167800903
278;73;67;14.326216220855713
279;74;65;14.365915060043335
280;75;68;14.404661417007446
281;74;63;14.44360876083374
282;73;62;14.48203706741333
283;74;63;14.666097640991211
284;72;63;14.704399347305298
285;72;63;14.743039846420288
286;73;64;14.78284764289856
287;73;62;14.821446657180786
288;74;68;14.860990047454834
289;74;67;14.901505470275879
290;74;64;14.940986633300781
291;73;63;14.98090934753418
292;72;66;15.022019863128662
293;73;63;15.059807777404785
294;73;65;15.097307682037354
295;73;65;15.276915788650513
296;73;66;15.319751262664795
297;73;67;15.358612060546875
298;72;64;15.397790908813477
299;72;64;15.437599420547485
300;71;63;15.477381467819214
301;72;62;15.516431331634521
302;72;62;15.55312728881836
303;72;56;15.592198610305786
304;72;64;15.629911184310913
305;72;60;15.667713642120361
306;72;64;15.706017971038818
307;72;67;15.882593631744385
308;73;65;15.918443441390991
309;73;64;15.957241535186768
310;72;66;15.995363712310791
311;73;63;16.033159494400024
312;73;63;16.071072578430176
313;74;65;16.106820344924927
314;74;67;16.14622974395752
315;73;66;16.18241786956787
316;73;63;16.222343683242798
317;73;67;16.261805295944214
318;74;65;16.304381847381592
319;73;65;16.488514184951782
320;73;65;16.52838683128357
321;73;65;16.56728434562683
322;72;66;16.60601544380188
323;72;65;16.64384174346924
324;73;66;16.682607889175415
325;73;65;16.71999955177307
326;73;67;16.75634217262268
327;72;65;16.794590950012207
328;72;63;16.834164142608643
329;72;63;16.874881267547607
330;73;61;16.913504123687744
331;73;63;17.095792293548584
332;74;62;17.134963274002075
333;74;63;17.174999475479126
334;74;64;17.213809728622437
335;74;63;17.252767086029053
336;73;65;17.29253602027893
337;72;64;17.331675052642822
338;73;64;17.37223768234253
339;73;63;17.412421464920044
340;73;63;17.45247721672058
341;73;64;17.49306893348694
342;73;63;17.52929663658142
343;73;63;17.71235156059265
344;73;64;17.7500422000885
345;73;64;17.7880437374115
346;72;64;17.825515031814575
347;73;66;17.866345405578613
348;73;64;17.9045889377594
349;73;65;17.943825006484985
350;73;65;17.982491731643677
351;73;66;18.020995140075684
352;73;66;18.05949592590332
353;73;64;18.109127283096313
354;73;68;18.153814554214478
355;73;68;18.334920644760132
356;74;65;18.375325918197632
357;73;65;18.414767503738403
358;73;68;18.453974962234497
359;74;66;18.492492198944092
360;74;64;18.529300451278687
361;74;66;18.567481756210327
362;73;66;18.60407304763794
363;74;68;18.63854169845581
364;74;64;18.67485523223877
365;74;69;18.716773986816406
366;74;66;18.754921674728394
367;73;60;18.935734510421753
368;74;65;18.972451210021973
369;74;65;19.00950837135315
370;74;62;19.04549503326416
371;74;61;19.0832359790802
372;74;68;19.12256169319153
373;74;65;19.16136407852173
374;73;63;19.199995040893555
375;73;64;19.238566875457764
376;73;62;19.277500867843628
377;73;67;19.31575036048889
378;73;66;19.35460376739502
379;73;64;19.538357257843018
380;74;66;19.583545923233032
381;75;66;19.629838228225708
382;76;66;19.66900324821472
383;76;68;19.70684838294983
384;76;68;19.74660563468933
385;76;68;19.786057949066162
386;76;68;19.824522256851196
387;76;67;19.861360549926758
388;75;68;19.89873743057251
389;75;67;19.936954975128174
390;75;66;19.977082014083862
391;75;66;20.161969900131226
392;75;67;20.201196908950806
393;76;67;20.239957571029663
394;76;68;20.279165267944336
395;75;65;20.317293405532837
396;76;69;20.355445861816406
397;75;65;20.39417028427124
398;76;69;20.435009241104126
399;76;69;20.474435806274414
400;76;68;20.510936737060547
401;76;68;20.547762870788574
402;76;65;20.584699630737305
403;76;64;20.765995264053345
404;76;68;20.80458950996399
405;76;65;20.842116117477417
406;77;66;20.879836082458496
407;77;68;20.917654514312744
408;76;68;20.959235191345215
409;76;67;20.997572422027588
410;76;67;21.03551149368286
411;76;66;21.073222160339355
412;76;68;21.11159324645996
413;75;66;21.149657726287842
414;75;66;21.187931299209595
415;76;69;21.366252899169922
416;77;69;21.4043447971344
417;77;70;21.441835403442383
418;77;72;21.479276180267334
419;77;70;21.522103309631348
420;77;70;21.55949378013611
421;76;70;21.599637985229492
422;76;68;21.635353326797485
423;76;67;21.67125415802002
424;75;67;21.708935499191284
425;76;67;21.746806859970093
426;76;70;21.784685611724854
427;76;70;21.96847176551819
428;76;70;22.00522255897522
429;76;70;22.043254137039185
430;76;71;22.081682682037354
431;77;71;22.121503591537476
432;78;69;22.16402268409729
433;77;71;22.203246116638184
434;77;67;22.239624738693237
435;77;67;22.279747486114502
436;76;63;22.31781530380249
437;78;66;22.356738805770874
