generations;average_fitness;best_fitness;time
0;40;32;0.04302382469177246
1;40;32;0.07923150062561035
2;41;35;0.11605000495910645
3;43;36;0.15325236320495605
4;45;38;0.19105792045593262
5;45;37;0.2268381118774414
6;44;38;0.26573967933654785
7;46;36;0.3034520149230957
8;45;38;0.34096598625183105
9;46;39;0.378795862197876
10;47;41;0.4181029796600342
11;48;39;0.5975620746612549
12;47;40;0.6338362693786621
13;48;41;0.6700656414031982
14;49;41;0.716956377029419
15;48;41;0.7578380107879639
16;48;42;0.7944514751434326
17;48;42;0.829334020614624
18;49;43;0.8675282001495361
19;50;43;0.9161882400512695
20;51;41;0.9563608169555664
21;48;42;0.9959626197814941
22;48;42;1.03511381149292
23;49;42;1.222956895828247
24;50;41;1.260345220565796
25;49;41;1.2966344356536865
26;49;41;1.3313498497009277
27;49;42;1.3698534965515137
28;49;42;1.408262014389038
29;49;41;1.4513978958129883
30;49;41;1.4906651973724365
31;49;42;1.5260989665985107
32;50;42;1.5629472732543945
33;50;42;1.6011121273040771
34;49;41;1.63755202293396
35;49;41;1.8181817531585693
36;50;43;1.8570923805236816
37;51;43;1.8954713344573975
38;51;43;1.9450280666351318
39;51;41;1.9882943630218506
40;52;42;2.026904582977295
41;50;40;2.0635247230529785
42;49;42;2.114469289779663
43;50;43;2.1543569564819336
44;50;44;2.1928257942199707
45;52;43;2.230461597442627
46;52;45;2.267404317855835
47;51;46;2.458122730255127
48;52;47;2.4969818592071533
49;53;46;2.535468816757202
50;54;48;2.573042392730713
51;54;49;2.607938289642334
52;54;49;2.645430088043213
53;55;48;2.6841869354248047
54;54;47;2.721583127975464
55;56;49;2.7599220275878906
56;56;48;2.797858238220215
57;56;49;2.835132122039795
58;55;49;2.874239206314087
59;56;46;3.0525403022766113
60;55;46;3.096082925796509
61;52;45;3.133960008621216
62;52;46;3.173196792602539
63;53;45;3.2132625579833984
64;53;47;3.251052141189575
65;54;49;3.2902636528015137
66;55;48;3.3292579650878906
67;56;47;3.3696610927581787
68;55;47;3.4086594581604004
69;55;50;3.4486629962921143
70;56;50;3.484654664993286
71;56;50;3.66855525970459
72;57;51;3.7051029205322266
73;58;50;3.743230104446411
74;58;52;3.7794277667999268
