generations;average_fitness;best_fitness;time
0;49;35;2.886415719985962
1;47;35;5.227538585662842
2;46;34;7.745170593261719
3;45;34;10.135190486907959
4;44;33;12.624130010604858
5;43;29;15.04043173789978
6;43;29;17.490628719329834
7;42;29;19.902644634246826
8;42;29;22.425438404083252
9;41;29;24.85482668876648
10;40;29;27.381229162216187
11;40;29;29.83766746520996
12;39;28;32.34735989570618
13;39;28;34.7785906791687
14;38;28;37.33327388763428
15;38;25;39.853787899017334
16;38;25;42.43528127670288
17;37;25;45.043723821640015
18;37;25;47.68596124649048
19;36;25;50.236125230789185
20;36;25;52.87973141670227
21;35;25;55.39689660072327
22;35;25;58.01927185058594
23;35;25;60.56720685958862
24;34;24;63.22679805755615
25;34;24;65.69614863395691
26;34;21;68.28785991668701
27;33;19;70.83304357528687
28;33;19;73.40634846687317
29;33;19;75.96903562545776
30;32;19;78.5175895690918
31;32;19;81.01699328422546
32;32;19;83.60492205619812
33;31;19;86.10922503471375
34;31;19;88.66402578353882
35;30;19;91.17381811141968
36;30;17;93.70937943458557
37;29;17;96.18543410301208
38;29;17;98.77032852172852
39;29;14;101.30630683898926
40;28;14;103.88253355026245
41;28;14;106.44775652885437
42;27;14;109.02241325378418
43;27;14;111.52362442016602
44;27;14;114.09589409828186
45;26;14;116.64771914482117
46;26;14;119.23437023162842
47;25;13;121.79159092903137
48;24;13;124.34821939468384
49;24;13;126.86364769935608
50;23;13;129.4512801170349
51;23;13;132.0090789794922
52;23;11;134.56533122062683
53;22;11;137.1462345123291
54;22;8;139.70479536056519
55;21;8;142.20756149291992
56;21;8;144.78220629692078
57;20;8;147.3865683078766
58;19;8;149.9702033996582
59;19;6;152.5443787574768
60;18;6;155.14975261688232
61;17;6;157.84259295463562
62;17;6;160.4581334590912
63;16;3;163.00451469421387
64;15;3;165.59327721595764
65;14;3;168.33369326591492
66;14;3;170.88194966316223
67;13;2;173.42284202575684
68;12;2;176.0460741519928
69;11;2;178.59600687026978
70;10;2;181.17909622192383
71;9;2;183.76739192008972
72;8;2;186.34670734405518
73;8;2;188.84382820129395
74;7;2;191.59571313858032
75;6;2;194.1499879360199
76;5;2;196.71048593521118
77;5;2;199.29533505439758
78;4;2;201.84430980682373
79;4;2;204.32331156730652
80;4;2;206.90887022018433
81;4;2;209.45040559768677
82;4;2;212.0126597881317
83;4;2;214.59294843673706
84;4;2;217.16339421272278
85;4;2;219.71652841567993
86;4;2;222.2974374294281
87;4;2;224.8092577457428
88;4;2;227.40671014785767
89;4;2;229.98834705352783
90;4;2;232.539315700531
91;4;2;235.06041073799133
92;4;2;237.6427047252655
93;4;2;240.18798851966858
94;4;2;242.7330939769745
95;4;2;245.28057551383972
96;4;2;247.8467869758606
97;4;2;250.36414647102356
98;4;2;252.9604618549347
99;4;2;255.50770688056946
100;4;2;258.0789866447449
101;4;2;260.6377866268158
102;4;2;263.2035448551178
103;4;2;265.83419966697693
104;4;2;268.45142674446106
105;4;2;271.0054500102997
106;4;2;273.56870222091675
107;4;2;276.1552679538727
108;4;2;278.7493119239807
109;4;2;281.2748863697052
110;4;2;283.85496950149536
111;4;2;286.4120440483093
112;4;2;288.9910764694214
113;4;2;291.5628881454468
114;4;2;294.13002133369446
115;4;2;296.6566860675812
116;4;2;299.25478076934814
117;4;2;301.82413029670715
118;4;2;304.4109480381012
119;4;2;307.0410189628601
120;4;2;309.6347086429596
121;4;2;312.18697476387024
122;4;2;314.7923083305359
123;4;2;317.35757327079773
124;4;2;319.94351959228516
125;4;2;322.54850244522095
126;4;2;325.11908531188965
127;3;2;327.6773314476013
128;4;2;330.2440047264099
129;4;2;332.8185844421387
130;3;2;335.40888118743896
131;4;2;338.1051182746887
132;4;2;340.6868667602539
133;4;2;343.2269477844238
134;4;2;345.86342310905457
135;4;2;348.4364757537842
136;4;2;351.0240626335144
137;4;2;353.63364338874817
138;4;2;356.21877455711365
139;4;2;358.7397961616516
140;4;2;361.34545969963074
141;4;2;363.91426706314087
142;4;2;366.5721378326416
143;4;2;369.3355305194855
144;4;2;371.9308452606201
145;4;2;374.5300962924957
146;4;2;377.1490960121155
147;4;2;379.75016236305237
148;4;2;382.3688337802887
149;4;2;384.95393991470337
150;4;2;387.513302564621
151;4;2;390.05282831192017
152;4;2;392.815705537796
153;4;2;395.4365282058716
154;4;2;398.0174865722656
155;4;2;400.65622329711914
156;3;2;403.2417848110199
157;4;2;405.7953631877899
158;4;2;408.40253162384033
159;4;2;410.9921774864197
160;4;2;413.59661769866943
161;4;2;416.18607091903687
162;4;2;418.7726240158081
163;4;2;421.3347547054291
164;4;2;423.940633058548
165;3;2;426.5416488647461
166;4;2;429.14269399642944
167;4;2;431.7582793235779
168;4;2;434.33812046051025
169;4;2;436.87754917144775
170;4;2;439.4860327243805
171;4;2;442.08522748947144
172;4;2;444.7024552822113
173;4;2;447.3790762424469
174;4;2;449.9898703098297
175;4;2;452.54821014404297
176;4;2;455.17104721069336
177;4;2;457.75156712532043
178;4;2;460.34815859794617
