generations;average_fitness;best_fitness;time
0;50;40;0.1864476203918457
1;44;35;0.33263516426086426
2;41;30;0.6607778072357178
3;38;29;0.8178629875183105
4;35;29;0.9756100177764893
5;33;28;1.3091456890106201
6;32;27;1.4539177417755127
7;31;26;1.621304988861084
8;30;23;1.950277328491211
9;29;21;2.1100242137908936
10;28;21;2.269874095916748
11;27;20;2.4220526218414307
12;26;20;2.7605910301208496
13;25;20;2.9158449172973633
14;25;18;3.0742335319519043
15;24;18;3.4123950004577637
16;24;18;3.5666308403015137
17;23;17;3.7259840965270996
18;23;17;3.884354829788208
19;22;17;4.218889951705933
20;21;16;4.384027004241943
21;21;16;4.545064926147461
22;21;16;4.878734111785889
23;20;15;5.036586046218872
24;20;15;5.193342924118042
25;20;12;5.522560119628906
26;20;12;5.68031644821167
27;19;12;5.842771291732788
28;18;12;5.99773907661438
29;18;12;6.329550266265869
30;17;12;6.484205007553101
31;17;12;6.649381637573242
32;17;12;6.979806661605835
33;17;12;7.135740518569946
34;17;12;7.289480924606323
35;17;12;7.620145320892334
36;17;12;7.784108638763428
37;17;12;7.944162130355835
38;17;11;8.099523067474365
39;16;11;8.426893472671509
40;17;11;8.589150428771973
41;17;11;8.754659175872803
42;17;11;9.085370540618896
43;16;10;9.242018222808838
44;16;10;9.397559881210327
45;16;10;9.557238101959229
46;16;10;9.882850170135498
47;16;10;10.043546676635742
48;16;10;10.197957992553711
49;16;10;10.534325361251831
50;17;10;10.69542384147644
51;16;10;10.85404109954834
52;15;10;11.179659366607666
53;16;10;11.338292121887207
54;16;10;11.498207092285156
55;15;10;11.650939702987671
56;16;10;11.98042607307434
57;15;10;12.140150547027588
58;15;10;12.298250436782837
59;15;10;12.62626338005066
60;15;10;12.78867244720459
61;16;10;12.946491718292236
62;16;10;13.282816886901855
63;15;10;13.456573486328125
64;15;10;13.615112066268921
65;15;10;13.773155927658081
66;15;10;14.104867935180664
67;15;9;14.259540557861328
68;16;9;14.425307989120483
69;15;9;14.759732961654663
70;15;9;14.91488528251648
71;15;9;15.071537971496582
72;15;9;15.403144121170044
73;15;9;15.567133665084839
74;15;9;15.724682092666626
75;15;7;15.881582498550415
76;14;7;16.210663318634033
77;14;7;16.370842695236206
78;14;7;16.52736258506775
79;14;7;16.865599393844604
80;14;7;17.02044701576233
81;13;7;17.175429821014404
82;13;7;17.506094217300415
83;13;7;17.66468834877014
84;12;7;17.820879459381104
85;13;7;17.98165535926819
86;13;7;18.31701636314392
87;13;7;18.473188161849976
88;13;7;18.630091190338135
89;12;7;18.963228225708008
90;12;7;19.11673378944397
91;12;7;19.272329092025757
92;13;7;19.599425077438354
93;12;7;19.761691331863403
94;13;7;19.914601802825928
95;13;7;20.07189965248108
96;13;7;20.3973708152771
97;12;7;20.558010578155518
98;13;7;20.713599681854248
