generations;average_fitness;best_fitness;time
0;48;36;0.6748325824737549
1;47;36;1.078812837600708
2;46;36;1.7049901485443115
3;45;36;2.34431791305542
4;45;35;2.7649343013763428
5;44;35;3.4012484550476074
6;44;34;3.830090284347534
7;43;34;4.4702699184417725
8;43;31;5.120977401733398
9;43;31;5.530120134353638
10;43;31;6.176170587539673
11;43;31;6.595787525177002
12;42;31;7.225617408752441
13;42;31;7.895297527313232
14;42;31;8.31118631362915
15;42;29;8.966458320617676
16;42;29;9.382628917694092
17;42;29;10.035476446151733
18;42;29;10.701240539550781
19;42;29;11.124693393707275
20;41;29;11.790365934371948
21;41;29;12.213959693908691
22;41;28;12.859244346618652
23;40;28;13.506574392318726
24;41;28;13.92569637298584
25;41;28;14.58584475517273
26;40;28;15.005780935287476
27;40;28;15.664855003356934
28;40;28;16.33405041694641
29;40;28;16.75670838356018
30;40;28;17.528651237487793
31;40;25;17.968822240829468
32;40;25;18.62435030937195
33;39;25;19.296090126037598
34;39;25;19.71185302734375
35;39;25;20.380224227905273
36;39;25;20.804169416427612
37;39;25;21.480226039886475
38;39;25;22.15167999267578
39;39;25;22.572906732559204
40;38;25;23.257173538208008
41;38;25;23.687355756759644
42;38;25;24.344998598098755
43;38;25;25.040786027908325
44;38;25;25.46524429321289
45;38;25;26.163800716400146
46;38;25;26.633029222488403
47;38;25;27.322052717208862
48;38;25;27.795405626296997
49;38;22;28.4408278465271
50;38;22;29.124200582504272
51;38;22;29.549198150634766
52;38;22;30.212281227111816
53;38;22;30.647318601608276
54;37;22;31.307430505752563
55;37;22;31.983905792236328
56;37;22;32.40980243682861
57;37;22;33.07524633407593
58;37;22;33.49840331077576
59;37;22;34.17910051345825
60;37;22;34.86433529853821
61;37;22;35.28909349441528
62;37;22;35.95351791381836
63;37;22;36.38087725639343
64;37;22;37.05095434188843
65;36;22;37.73342156410217
66;36;22;38.15242576599121
67;37;22;38.81841444969177
68;37;22;39.24470090866089
69;37;22;39.90408515930176
70;37;22;40.58459949493408
71;36;22;41.01719784736633
72;37;22;41.67781949043274
73;36;22;42.10184168815613
74;36;22;42.75298523902893
75;36;22;43.56779718399048
76;36;22;43.978848457336426
77;36;22;44.64513087272644
78;35;22;45.07936096191406
79;35;22;45.745176553726196
80;35;22;46.42630171775818
81;36;22;46.87109994888306
82;35;21;47.54127097129822
83;35;21;47.965556621551514
84;35;21;48.63804221153259
85;35;21;49.3047137260437
86;35;21;49.727696657180786
87;35;21;50.398805141448975
88;35;21;50.82890343666077
89;35;21;51.49984550476074
90;35;21;52.17774438858032
91;35;21;52.60067892074585
92;35;21;53.275087118148804
93;35;21;53.70437836647034
94;35;21;54.37323832511902
95;34;21;55.06215047836304
96;35;21;55.48870325088501
97;35;19;56.159241914749146
98;35;19;56.61025905609131
99;35;19;57.28527760505676
100;35;19;58.01601791381836
101;34;19;58.43991827964783
102;34;19;59.12314510345459
103;34;19;59.554980754852295
104;34;19;60.22121524810791
105;34;19;60.9071524143219
106;34;19;61.33156943321228
107;34;19;62.012760639190674
108;34;19;62.44037866592407
109;34;19;63.104414224624634
110;34;19;63.789215326309204
111;34;19;64.21017146110535
112;34;19;64.8763816356659
113;34;19;65.30922746658325
114;34;19;65.97001600265503
115;34;19;66.654217004776
116;34;19;67.0773115158081
117;33;19;67.74513721466064
118;33;19;68.17708277702332
119;34;19;68.84542894363403
120;34;19;69.52129244804382
121;34;19;69.93903708457947
122;34;19;70.62154388427734
123;33;19;71.04703426361084
124;33;19;71.69953083992004
125;33;19;72.38728141784668
126;33;19;72.8025598526001
127;33;19;73.47564172744751
128;33;19;73.90586972236633
129;33;19;74.58610463142395
130;33;19;75.27645802497864
131;34;19;75.70079493522644
132;33;19;76.38975477218628
133;33;19;76.83157110214233
134;33;19;77.51466727256775
135;33;19;78.19012546539307
136;33;19;78.61955618858337
137;33;19;79.3008325099945
138;33;19;79.7244393825531
139;32;19;80.39548802375793
140;33;19;81.08784174919128
141;32;19;81.50760746002197
142;32;19;82.17956399917603
143;33;19;82.6126561164856
144;33;19;83.277419090271
145;32;19;83.95936441421509
146;33;19;84.38964581489563
147;33;19;85.05605721473694
148;33;19;85.49867129325867
149;33;19;86.16331005096436
150;33;19;86.87132406234741
151;32;19;87.2912244796753
152;33;19;87.96781015396118
153;33;19;88.39465260505676
154;32;18;89.05924582481384
155;32;18;89.74518394470215
156;32;18;90.17302918434143
157;32;14;90.85117721557617
158;32;14;91.28631091117859
159;32;14;91.95499277114868
160;32;14;92.64482975006104
161;32;14;93.07318353652954
162;31;14;93.74195146560669
163;32;14;94.16889095306396
164;32;14;94.83918070793152
165;32;14;95.53892755508423
166;32;14;95.98197507858276
167;31;14;96.66781878471375
168;32;14;97.09260535240173
169;31;14;97.77910256385803
170;31;14;98.45018148422241
171;31;14;98.87739396095276
172;31;14;99.56094479560852
173;31;14;99.99223136901855
174;31;14;100.64541149139404
175;31;14;101.33871078491211
176;31;14;101.76147174835205
177;31;14;102.4504497051239
178;31;14;102.89189743995667
179;31;14;103.57162618637085
180;31;14;104.25551629066467
181;31;14;104.69858503341675
182;31;14;105.37169623374939
183;31;14;105.79931712150574
184;31;14;106.46707057952881
185;30;14;107.14613747596741
186;30;14;107.56993675231934
187;31;14;108.24561786651611
188;31;14;108.67781662940979
189;31;14;109.3575963973999
190;30;14;110.04930925369263
191;30;14;110.46798324584961
192;31;14;111.14587020874023
193;30;14;111.58219385147095
194;30;14;112.26274991035461
195;30;14;112.9572606086731
196;30;14;113.38825559616089
197;30;14;114.07239198684692
198;30;14;114.49470162391663
199;30;14;115.16938424110413
200;30;14;115.85107445716858
201;29;14;116.29067087173462
202;30;14;116.96737551689148
203;30;14;117.39340043067932
204;30;14;118.05479502677917
205;30;13;118.73404502868652
206;30;13;119.16120147705078
207;30;13;119.8403708934784
208;30;13;120.28094506263733
209;30;13;120.94470357894897
210;30;13;121.37438082695007
211;29;13;122.02958369255066
212;29;13;122.7097716331482
213;29;12;123.11979651451111
214;29;12;123.79442000389099
215;29;12;124.22215747833252
216;28;12;124.89243245124817
217;28;12;125.58628606796265
218;28;12;126.01300382614136
219;29;12;126.69439435005188
220;28;12;127.13313174247742
221;28;12;127.80152893066406
222;28;12;128.4887731075287
223;28;12;128.93168330192566
224;28;12;129.62111258506775
225;28;12;130.05634593963623
226;28;12;130.715350151062
227;28;12;131.3946259021759
228;28;12;131.82369351387024
229;28;12;132.50896406173706
230;28;12;132.94423174858093
231;28;12;133.6118519306183
232;28;12;134.28469109535217
233;27;12;134.7028980255127
234;27;12;135.36674070358276
235;27;12;135.79288482666016
236;27;12;136.45689511299133
237;27;12;137.13996267318726
238;27;12;137.56380081176758
239;27;12;138.24500918388367
240;26;12;138.68173336982727
241;27;12;139.3519401550293
242;26;12;140.05212712287903
243;27;12;140.47995567321777
244;27;12;141.14720368385315
245;27;12;141.57685661315918
246;27;12;142.24502515792847
247;27;12;142.91813492774963
248;25;12;143.34737038612366
249;26;12;144.04588270187378
250;26;12;144.47107648849487
251;26;12;145.13732433319092
252;26;12;145.82331442832947
253;25;12;146.2425606250763
254;26;12;146.9081301689148
255;26;12;147.34485411643982
256;26;12;148.01734948158264
257;26;12;148.70580339431763
258;26;12;149.12955379486084
259;26;12;149.80490112304688
260;26;12;150.2309911251068
261;26;12;150.9030065536499
262;25;12;151.60468244552612
263;25;12;152.0257396697998
264;25;12;152.70464777946472
265;25;12;153.12339043617249
266;25;12;153.79234266281128
267;25;12;154.47601103782654
268;25;12;154.90223145484924
269;25;12;155.57179641723633
270;25;10;156.00178933143616
271;25;10;156.66516160964966
272;25;10;157.3340232372284
273;25;10;157.75314617156982
274;25;10;158.42541360855103
275;25;10;158.8663206100464
276;25;10;159.52948307991028
277;25;10;160.20618343353271
278;25;10;160.61697268486023
279;25;10;161.29408740997314
280;24;10;161.7189381122589
281;24;10;162.3837959766388
282;25;10;163.06475472450256
283;24;10;163.50102353096008
284;25;10;164.18185329437256
285;25;10;164.6192181110382
286;25;10;165.27664399147034
287;24;10;165.96158504486084
288;24;10;166.37108206748962
289;24;10;167.0387670993805
290;25;10;167.47022151947021
291;25;10;168.12509107589722
292;24;10;168.82735013961792
293;24;10;169.2621955871582
294;24;10;169.93161749839783
295;24;10;170.35502219200134
296;24;10;171.0199465751648
297;24;10;171.70280194282532
298;24;10;172.13172554969788
299;24;10;172.8087637424469
300;24;10;173.234112739563
301;24;10;173.89463305473328
302;24;10;174.58319902420044
303;25;10;175.00210165977478
304;24;10;175.6744155883789
305;24;10;176.096595287323
306;24;10;176.7649450302124
307;24;10;177.43422770500183
308;24;10;177.84867405891418
309;23;10;178.53527307510376
310;24;10;178.98202109336853
311;24;10;179.6439242362976
312;24;10;180.32869172096252
313;24;10;180.74279856681824
314;24;10;181.42456817626953
315;24;10;181.86583757400513
316;23;10;182.54476523399353
317;23;10;183.23750376701355
318;24;10;183.66002488136292
319;24;10;184.3311128616333
320;23;10;184.75972723960876
321;23;10;185.4239523410797
322;24;10;186.09706711769104
323;24;10;186.52646589279175
324;24;10;187.20506262779236
325;24;10;187.63744735717773
326;24;10;188.31540775299072
327;23;10;189.0040681362152
328;24;10;189.42929601669312
329;24;10;190.1181139945984
330;24;10;190.55038452148438
331;23;10;191.2233681678772
332;23;10;191.91147327423096
333;23;10;192.34495902061462
334;23;10;193.00761461257935
335;23;10;193.44336771965027
336;23;10;194.1135971546173
337;23;10;194.8101029396057
338;23;10;195.22832083702087
339;23;10;195.9000380039215
340;23;10;196.32488703727722
341;23;10;196.99879813194275
342;23;10;197.70716857910156
343;22;10;198.12571024894714
344;23;10;198.79292917251587
345;23;10;199.22042798995972
346;23;10;199.88146471977234
347;23;10;200.55283284187317
348;23;10;200.98596930503845
349;23;10;201.66416311264038
350;23;10;202.09269762039185
351;23;10;202.74423217773438
352;23;10;203.42813968658447
353;23;10;203.85616850852966
354;23;10;204.51975011825562
355;23;10;204.9499876499176
356;23;10;205.63163328170776
357;23;10;206.32018208503723
358;23;10;206.75005269050598
359;23;10;207.44408464431763
360;23;10;207.87425804138184
361;23;10;208.54681491851807
362;23;10;209.23514580726624
363;23;10;209.66767597198486
364;23;10;210.35003638267517
365;22;10;210.78352642059326
366;23;10;211.4583306312561
367;23;10;212.15359544754028
368;23;10;212.58052039146423
369;23;10;213.26310181617737
370;23;10;213.68304586410522
371;23;10;214.3500897884369
372;23;9;214.78074955940247
373;23;9;215.43851137161255
374;23;9;216.12819385528564
375;23;9;216.557231426239
376;23;9;217.244699716568
377;22;9;217.67020225524902
378;22;9;218.35063529014587
379;22;9;219.03538155555725
380;22;9;219.46561527252197
381;22;9;220.1404676437378
382;22;9;220.57817816734314
383;22;9;221.2388379573822
384;22;9;221.93525767326355
385;22;9;222.37063026428223
386;23;9;223.04940533638
387;22;9;223.4762477874756
388;22;9;224.14297366142273
389;22;9;224.82079601287842
390;22;9;225.25573587417603
391;22;9;225.92299842834473
392;23;9;226.34426546096802
393;23;9;227.0159411430359
394;22;9;227.69835805892944
395;22;9;228.13619112968445
396;22;9;228.81022191047668
397;22;9;229.24320316314697
398;22;9;229.89836978912354
399;22;9;230.57808256149292
400;22;9;230.98257112503052
401;22;9;231.65094685554504
402;22;9;232.07108330726624
403;22;9;232.73943567276
404;22;9;233.43854236602783
405;22;8;233.876935005188
406;22;8;234.55882668495178
407;22;8;234.98950719833374
408;23;8;235.65333437919617
409;22;8;236.3272635936737
410;22;8;236.744455575943
411;22;8;237.42028951644897
412;21;8;237.84783911705017
413;22;8;238.55447793006897
414;22;8;239.26394152641296
415;22;8;239.6993055343628
416;22;8;240.43870449066162
417;21;8;240.86757946014404
418;22;8;241.53875136375427
419;22;8;242.21584558486938
420;22;8;242.63699388504028
421;22;8;243.29357981681824
422;21;8;243.72474336624146
423;22;8;244.3939926624298
424;22;8;245.08249139785767
425;22;8;245.48773455619812
426;22;8;246.15851402282715
427;22;8;246.58624243736267
428;22;8;247.26170945167542
429;21;8;247.9418284893036
430;22;8;248.3655652999878
431;22;8;249.0316083431244
432;22;8;249.46604418754578
433;21;8;250.13413548469543
434;22;8;250.8079390525818
435;22;8;251.2438085079193
436;22;8;251.91346549987793
437;21;8;252.34036827087402
438;22;8;253.00585389137268
439;21;8;253.69184947013855
440;21;8;254.12190651893616
441;21;8;254.79324102401733
442;21;8;255.2163417339325
443;22;8;255.87765765190125
444;22;8;256.56521344184875
445;21;8;256.99496936798096
446;22;8;257.66893553733826
447;21;8;258.0935266017914
448;22;8;258.7630407810211
449;22;8;259.4451882839203
450;22;8;259.8453416824341
451;22;8;260.52317571640015
452;22;8;260.945552110672
453;22;8;261.6260645389557
454;21;8;262.30600118637085
455;21;8;262.7229018211365
456;21;8;263.3949353694916
457;22;8;263.82359170913696
458;22;8;264.49470257759094
459;21;8;265.16983366012573
460;22;8;265.58433771133423
461;22;8;266.2438414096832
462;22;8;266.6707327365875
463;22;8;267.3352618217468
464;21;8;268.0107595920563
465;21;8;268.4447863101959
466;21;8;269.1247191429138
467;21;8;269.5468111038208
468;21;8;270.21022748947144
469;21;8;270.88959860801697
470;21;8;271.30691266059875
471;21;8;271.96687841415405
472;21;8;272.3930881023407
473;22;8;273.0526342391968
474;22;8;273.7390995025635
475;22;8;274.149117231369
476;22;8;274.81832695007324
477;21;8;275.25304770469666
478;20;8;275.91930413246155
479;22;8;276.61447644233704
480;22;8;277.0449583530426
481;22;8;277.72936367988586
482;21;8;278.159197807312
483;21;8;278.82919454574585
484;20;8;279.5101594924927
485;20;8;279.9452426433563
486;21;8;280.6297423839569
487;21;8;281.05021572113037
488;21;8;281.7236177921295
489;21;8;282.4163041114807
490;22;8;282.8419017791748
491;21;8;283.5152254104614
492;21;8;283.94543075561523
493;21;8;284.613974571228
494;21;8;285.3007049560547
495;20;8;285.7320156097412
496;21;8;286.4198696613312
497;21;8;286.85861897468567
498;22;8;287.5290548801422
499;21;8;288.2160041332245
