generations;average_fitness;best_fitness;time
0;47;31;7.917145252227783
1;45;31;15.040839195251465
2;43;29;23.213030099868774
3;42;29;30.739659070968628
4;41;28;39.086554765701294
5;40;27;46.714359521865845
6;39;24;55.13958668708801
7;39;23;62.925119161605835
8;38;22;71.37199378013611
9;37;22;79.2054374217987
10;36;20;87.74984335899353
11;36;20;95.64135146141052
12;35;20;104.20894622802734
13;35;20;112.22165942192078
14;34;20;120.79240393638611
15;34;18;128.8561065196991
16;33;18;137.60323023796082
17;33;18;145.71242833137512
18;33;18;154.52634048461914
19;32;14;162.80671787261963
20;32;14;171.67364072799683
21;31;13;179.95185923576355
22;31;11;188.72658848762512
23;31;11;197.1708869934082
24;30;11;206.1368796825409
25;30;11;214.4657130241394
26;30;11;223.34538388252258
27;29;11;231.78409886360168
28;29;11;240.68560409545898
29;29;11;249.20690608024597
30;28;11;258.1250467300415
31;28;11;266.6198446750641
32;28;11;275.49877524375916
33;27;11;283.8946301937103
34;27;11;292.7988123893738
35;27;11;301.34161043167114
36;26;11;310.3362443447113
37;26;11;318.9766550064087
38;26;11;327.76707768440247
39;25;11;336.35881996154785
40;25;9;345.4451639652252
41;25;9;354.20737957954407
42;25;9;363.16794323921204
43;24;9;371.89362049102783
44;24;9;380.9782774448395
45;24;9;389.581618309021
46;24;9;398.52407026290894
47;23;9;407.11211013793945
48;23;6;416.123104095459
49;23;6;424.73824858665466
50;23;4;433.9218575954437
51;22;4;442.6208384037018
52;22;4;451.6533567905426
53;22;4;460.2506685256958
54;22;4;469.2379193305969
55;21;4;477.7975904941559
56;21;4;486.83998131752014
57;21;4;495.4943940639496
58;21;4;504.4066677093506
59;21;4;513.0424749851227
60;20;4;522.1497669219971
61;20;4;530.9202711582184
62;20;4;539.9505167007446
63;20;4;548.6299798488617
64;19;4;557.7361578941345
65;19;4;566.4407439231873
66;19;2;575.5538454055786
67;19;2;584.2464883327484
68;18;2;593.1636445522308
69;18;2;601.8148980140686
70;18;2;610.9504554271698
71;17;2;619.6336929798126
72;17;2;628.5825536251068
73;17;2;637.3446950912476
74;17;2;646.3411204814911
75;17;2;654.9647181034088
76;16;2;663.8738136291504
77;16;2;672.4137945175171
78;16;2;681.4323577880859
79;16;2;690.1074221134186
80;16;2;699.1153724193573
81;15;2;707.7980771064758
82;15;2;716.787721157074
83;15;2;725.3957326412201
84;15;2;734.3881907463074
85;14;2;743.0214951038361
86;14;2;752.0000126361847
87;14;2;760.9413366317749
88;14;2;769.8933763504028
89;14;2;778.5838096141815
90;14;2;787.5653116703033
91;13;2;796.2548968791962
92;13;2;805.226645231247
93;13;2;813.8912019729614
94;13;2;822.6970565319061
95;13;0;831.3449428081512
