generations;average_fitness;best_fitness;time
0;47;38;0.04616236686706543
1;47;38;0.08345556259155273
2;48;42;0.11955642700195312
3;48;39;0.16114425659179688
4;48;37;0.1993105411529541
5;46;38;0.23940157890319824
6;47;37;0.2775282859802246
7;47;37;0.3157222270965576
8;47;38;0.35361814498901367
9;46;40;0.5385093688964844
10;46;39;0.5759177207946777
11;47;38;0.6156976222991943
12;46;39;0.655493974685669
13;47;38;0.6982650756835938
14;46;38;0.7381327152252197
15;45;39;0.7778868675231934
16;46;38;0.8113152980804443
17;46;39;0.8564648628234863
18;47;39;0.8952279090881348
19;47;39;0.933081865310669
20;48;40;0.9697601795196533
21;47;38;1.154865026473999
22;46;36;1.191481590270996
23;45;37;1.2328901290893555
24;44;34;1.2694032192230225
25;43;35;1.3099474906921387
26;42;33;1.3486347198486328
27;43;36;1.3862321376800537
28;43;34;1.4199857711791992
29;43;35;1.4552440643310547
30;43;34;1.4929814338684082
31;42;35;1.5339243412017822
32;43;35;1.5759227275848389
33;43;36;1.7622532844543457
34;44;38;1.8015491962432861
35;46;39;1.8393449783325195
36;44;38;1.8778562545776367
37;45;39;1.9167041778564453
38;46;37;1.9551889896392822
39;44;37;1.9954659938812256
40;45;39;2.0323429107666016
41;45;38;2.070617437362671
42;44;38;2.1063976287841797
43;45;39;2.14296555519104
44;46;40;2.1802263259887695
45;47;39;2.361595869064331
46;47;40;2.4005918502807617
47;47;39;2.4374208450317383
48;47;39;2.4761950969696045
49;46;39;2.5135295391082764
50;47;39;2.5508511066436768
51;47;37;2.589507579803467
52;46;38;2.6297507286071777
53;44;37;2.661463499069214
54;45;38;2.7070000171661377
55;45;37;2.744082450866699
56;44;37;2.7813453674316406
57;44;39;2.9618425369262695
58;45;40;3.0010569095611572
59;46;38;3.0385570526123047
60;45;38;3.084277868270874
61;44;36;3.1193695068359375
62;44;36;3.1605148315429688
63;44;36;3.197904348373413
64;43;35;3.236881732940674
65;42;35;3.274582862854004
66;42;34;3.311347007751465
67;41;33;3.34936261177063
68;41;34;3.3861851692199707
69;41;34;3.572340726852417
70;42;35;3.6083667278289795
71;41;36;3.6457321643829346
72;42;34;3.68346905708313
73;43;33;3.7218453884124756
74;40;34;3.7585251331329346
75;40;34;3.796030044555664
76;40;35;3.8315184116363525
77;41;34;3.8696184158325195
78;40;34;3.9065728187561035
79;40;34;3.944974184036255
80;40;35;3.9836390018463135
81;41;34;4.019801139831543
82;40;33;4.2029218673706055
83;40;33;4.238171339035034
84;39;33;4.274844408035278
85;40;33;4.319522380828857
86;41;33;4.357074975967407
87;40;32;4.395366668701172
88;40;32;4.433085680007935
89;39;33;4.469438791275024
90;38;31;4.505512237548828
91;38;31;4.5428547859191895
92;38;29;4.579326391220093
93;37;31;4.616390943527222
94;37;31;4.79880690574646
95;38;29;4.836832284927368
96;36;29;4.877876043319702
97;36;28;4.915327548980713
98;36;29;4.954161882400513
99;35;28;4.9916558265686035
100;35;28;5.030589580535889
101;34;28;5.0654566287994385
102;34;28;5.10845685005188
103;34;28;5.1434996128082275
104;35;28;5.17972731590271
