generations;average_fitness;best_fitness;time
0;36;27;3.515195369720459
1;30;21;6.2450110912323
2;24;17;9.135741233825684
3;21;15;11.950930833816528
4;19;12;14.818020105361938
5;16;12;17.695120573043823
6;16;11;20.581621885299683
7;15;9;23.46250820159912
8;13;9;26.39802861213684
9;13;9;29.32671332359314
10;13;9;32.2815420627594
11;13;8;35.290372371673584
12;12;7;38.2002694606781
13;12;7;41.19388198852539
14;12;7;44.168773889541626
15;11;7;47.13890075683594
16;12;7;50.1751127243042
17;11;6;53.177865982055664
18;11;6;56.163172245025635
19;11;6;59.132041692733765
20;11;6;62.115216970443726
21;11;6;65.08403658866882
22;11;6;68.11842489242554
23;11;6;71.14349055290222
24;10;5;74.17397117614746
25;10;5;77.20681095123291
26;10;5;80.22838926315308
27;10;5;83.23520636558533
28;10;5;86.28235101699829
29;10;5;89.35110116004944
30;10;5;92.40944910049438
31;10;4;95.45495438575745
32;9;4;98.45470356941223
33;9;4;101.50200533866882
34;9;4;104.56493735313416
35;9;4;107.64069080352783
36;9;4;110.7157769203186
37;9;4;113.76025176048279
38;9;4;116.84865403175354
39;9;4;119.92446517944336
40;9;4;123.00583982467651
41;9;4;126.06817984580994
42;9;4;129.12723851203918
43;9;4;132.20180678367615
44;9;4;135.28420567512512
45;9;4;138.38021230697632
46;9;4;141.473078250885
47;9;4;144.57988786697388
48;9;4;147.7076301574707
49;9;4;150.82671332359314
50;9;4;153.93086457252502
51;9;4;157.03695940971375
52;9;4;160.17189407348633
53;9;4;163.29431986808777
54;9;4;166.36888217926025
55;9;4;169.46390104293823
56;9;4;172.56938791275024
57;9;4;175.66643571853638
58;9;4;178.72362685203552
59;9;4;181.81810784339905
60;9;4;185.0769476890564
61;9;4;188.20193696022034
62;9;4;191.33586883544922
63;9;4;194.4540832042694
64;9;4;197.59248876571655
65;9;4;200.70023608207703
66;9;4;203.84554314613342
67;9;4;206.99283623695374
68;9;4;210.12145471572876
69;9;4;213.22960257530212
70;9;4;216.44966459274292
71;9;4;219.55005931854248
72;9;4;222.7702441215515
73;9;4;226.04257774353027
74;9;4;229.11635398864746
75;9;4;232.25876259803772
76;9;4;235.41477704048157
77;9;4;238.57653427124023
78;9;4;241.75915384292603
79;9;4;244.8812997341156
80;9;4;247.98912835121155
81;9;4;251.13001585006714
82;9;4;254.33710503578186
83;9;4;257.461576461792
84;9;4;260.60192227363586
85;9;4;263.77178955078125
86;9;4;266.9023234844208
87;9;4;270.03399085998535
88;9;4;273.1898398399353
89;9;4;276.34297013282776
90;9;4;279.8259735107422
91;9;4;282.892870426178
92;9;4;286.0570697784424
93;9;4;289.2741894721985
94;9;4;292.47091794013977
95;9;4;295.66412019729614
96;9;4;298.8525743484497
97;9;4;302.03214025497437
98;9;4;305.2235732078552
99;9;4;308.3711929321289
100;9;4;311.5591948032379
101;9;4;314.7652978897095
102;9;4;317.97742652893066
103;9;4;321.1976799964905
104;9;4;324.3404974937439
105;9;4;327.5076353549957
106;9;4;330.68343901634216
107;9;4;333.8732852935791
108;9;4;337.0448112487793
109;9;4;340.24891090393066
110;9;4;343.44688963890076
111;9;4;346.6612389087677
112;9;4;349.7832009792328
113;9;4;352.9462037086487
114;9;4;356.2083086967468
115;9;4;359.43081641197205
116;9;4;362.64927434921265
117;9;4;365.90670466423035
118;9;4;369.15199089050293
119;9;4;372.36076283454895
120;9;4;375.60488200187683
121;9;4;378.8092472553253
122;9;4;382.0721507072449
123;9;4;385.24906492233276
124;9;4;388.514226436615
125;9;4;391.7138686180115
126;9;4;394.96597504615784
127;9;4;398.15788888931274
128;9;4;401.38462495803833
129;9;4;404.627831697464
130;9;4;407.8403444290161
131;9;4;411.084237575531
132;9;4;414.3340938091278
133;9;4;417.6173462867737
134;9;4;420.79183769226074
135;9;4;424.00345849990845
136;9;4;427.2357978820801
137;9;4;430.5371198654175
138;9;4;433.88468742370605
139;9;4;437.1041262149811
140;9;4;440.3253688812256
141;9;4;443.52509021759033
142;9;4;446.76308965682983
143;9;4;450.0047688484192
144;9;4;453.2602753639221
145;9;4;456.53813219070435
146;9;4;459.8621211051941
147;9;4;463.09078788757324
148;9;4;466.371844291687
149;9;4;469.5769610404968
150;9;4;472.80568408966064
151;9;4;476.032244682312
152;9;4;479.2516429424286
153;9;4;482.48948550224304
154;9;4;485.7519872188568
155;9;4;488.9651892185211
156;9;4;492.2200057506561
157;9;4;495.4993748664856
158;9;4;498.7979667186737
159;9;4;502.03567266464233
160;9;4;505.27856040000916
161;9;4;508.5223684310913
162;9;4;511.7880563735962
163;9;4;515.0336716175079
164;9;4;518.2761979103088
165;9;4;521.5529704093933
166;9;4;524.8338348865509
167;9;4;528.0967917442322
168;9;4;531.3594582080841
169;9;4;534.5897541046143
170;9;4;537.8475363254547
171;9;4;541.0692210197449
172;9;4;544.2490131855011
173;9;4;547.5544517040253
174;9;4;550.8245761394501
175;9;4;554.064649105072
176;9;4;557.3296508789062
177;9;4;560.6487338542938
178;9;4;563.968868970871
179;9;4;567.2385184764862
180;9;4;570.528790473938
