generations;average_fitness;best_fitness;time
0;47;34;1.4466283321380615
1;39;28;2.8001976013183594
2;34;25;3.781902551651001
3;32;23;5.148120403289795
4;31;22;6.537060499191284
5;30;21;7.9135448932647705
6;29;20;9.286888122558594
7;29;20;10.694610834121704
8;28;19;12.070472955703735
9;27;18;13.497305631637573
10;26;17;14.4827241897583
11;26;17;15.867616653442383
12;25;16;17.272818565368652
13;24;16;18.679928064346313
14;24;16;20.07336449623108
15;24;16;21.504805088043213
16;24;16;22.8847017288208
17;23;16;24.297802209854126
18;23;16;25.31329345703125
19;23;16;26.743030548095703
20;23;16;28.184004068374634
21;23;16;29.593294620513916
22;23;15;31.030191898345947
23;23;15;32.440717458724976
24;23;15;33.85593390464783
25;23;15;35.27584099769592
26;22;15;36.25795578956604
27;22;15;37.688684940338135
28;22;15;39.093597173690796
29;22;15;40.514108657836914
30;22;15;41.95069932937622
31;22;15;43.377044916152954
32;22;15;44.77409243583679
33;22;15;46.20799136161804
34;22;15;47.23182773590088
35;22;15;48.66967582702637
36;22;15;50.11624526977539
37;22;15;51.554577112197876
38;22;15;53.04186654090881
39;22;15;54.45722484588623
40;22;15;55.87556266784668
41;22;15;57.33508658409119
42;22;15;58.368388414382935
43;22;15;59.81331276893616
44;22;15;61.23476815223694
45;22;15;62.673887968063354
46;22;15;64.11855125427246
47;22;15;65.52484154701233
48;22;15;66.94425249099731
49;22;15;68.41179513931274
50;22;15;69.44403052330017
51;22;15;70.84733176231384
52;22;15;72.26190948486328
53;22;15;73.72727918624878
54;22;15;75.18584275245667
55;22;15;76.61934995651245
56;22;15;78.03526258468628
57;22;15;79.49098420143127
58;22;15;80.49561905860901
59;22;15;81.92006611824036
60;22;15;83.37701845169067
61;22;15;84.82573223114014
62;22;15;86.26655864715576
63;22;15;87.67756581306458
64;22;15;89.11903238296509
65;22;15;90.57001519203186
66;22;15;91.58845162391663
67;22;15;93.01491832733154
68;22;15;94.47923278808594
69;22;15;95.90387678146362
70;22;15;97.36396074295044
71;22;15;98.79826521873474
72;22;15;100.22621846199036
73;22;15;101.66988730430603
74;22;15;102.6806960105896
75;22;15;104.1194097995758
76;22;15;105.55347418785095
77;22;15;106.98851442337036
78;22;15;108.439932346344
79;22;15;109.88127756118774
80;22;15;111.30374264717102
81;22;15;112.75252079963684
82;22;15;113.76703214645386
83;22;15;115.21351456642151
84;22;15;116.67529392242432
85;22;15;118.11693930625916
86;22;15;119.60874104499817
87;22;15;121.05639982223511
88;22;15;122.47198438644409
89;22;15;123.93179059028625
90;22;15;124.94454860687256
91;22;15;126.3887186050415
92;22;15;127.81347060203552
93;22;15;129.27030301094055
94;22;15;130.7400197982788
95;22;15;132.20642971992493
96;22;15;133.6436061859131
97;22;15;135.11788368225098
98;22;15;136.14321494102478
99;22;15;137.58593273162842
100;22;15;139.0447015762329
101;22;15;140.54612851142883
102;22;15;142.05111980438232
103;22;15;143.4999339580536
104;22;15;144.9442286491394
105;22;15;146.4585485458374
106;22;15;147.48568987846375
107;22;15;148.9605588912964
108;22;15;150.4233899116516
109;22;15;151.88860082626343
110;22;15;153.3371410369873
111;22;15;154.79271292686462
112;22;15;156.229647397995
113;22;15;157.66640996932983
114;22;15;158.6915090084076
115;22;15;160.13757824897766
116;22;15;161.63405632972717
117;22;15;163.11961674690247
118;22;15;164.62000703811646
119;22;15;166.06341457366943
120;22;15;167.5062494277954
121;22;15;168.96975255012512
122;22;15;169.99054741859436
123;21;15;171.45081520080566
124;22;15;172.92122960090637
125;22;15;174.39104747772217
126;22;15;175.86119651794434
127;22;15;177.3200228214264
128;22;15;178.75862836837769
129;22;15;180.21621370315552
130;22;15;181.23845672607422
131;22;15;182.70405101776123
132;22;15;184.14270186424255
133;22;15;185.60217547416687
134;22;15;187.07618713378906
135;22;15;188.53649711608887
136;22;15;189.97035241127014
137;22;15;191.42027711868286
138;22;15;192.44450569152832
139;22;15;193.92616963386536
140;22;15;195.4004156589508
141;22;15;196.86247968673706
142;22;15;198.32127046585083
143;22;15;199.7641568183899
144;22;15;201.20827770233154
145;22;15;202.68952345848083
146;22;15;203.7251808643341
147;22;15;205.16484904289246
148;22;15;206.62148594856262
149;22;15;208.0966866016388
150;22;15;209.56357669830322
151;22;15;211.05316615104675
152;22;15;212.47962999343872
153;22;15;213.97178888320923
154;22;15;214.98127484321594
155;22;15;216.41058540344238
156;22;15;217.87836003303528
157;22;15;219.3545858860016
158;22;15;220.8808400630951
159;22;15;222.3175220489502
160;22;15;223.78494715690613
161;22;15;225.2387158870697
162;22;15;226.2459855079651
163;22;15;227.7179696559906
164;22;15;229.17032957077026
165;22;15;230.6346914768219
166;22;15;232.0802755355835
167;22;15;233.51974391937256
168;22;15;234.9724247455597
169;22;15;236.457843542099
170;22;15;237.484619140625
171;22;15;238.93246054649353
