generations;average_fitness;best_fitness;time
0;48;33;8.915062665939331
1;47;33;15.884758472442627
2;46;25;24.466607570648193
3;45;25;32.36695170402527
4;44;25;41.090280532836914
5;43;24;49.13458847999573
6;43;24;58.03902268409729
7;42;24;66.10320115089417
8;42;24;75.08094215393066
9;41;24;83.35208082199097
10;40;24;92.29467844963074
11;40;24;100.52687311172485
12;39;21;109.57875633239746
13;39;19;117.82790970802307
14;38;19;126.7421178817749
15;38;19;135.0947506427765
16;37;18;144.14662957191467
17;37;18;152.9261655807495
18;36;18;162.05325365066528
19;36;18;170.621915102005
20;35;18;179.77181458473206
21;35;16;188.30699396133423
22;35;16;197.42738556861877
23;34;16;205.93351984024048
24;34;16;215.1859176158905
25;33;13;223.75407791137695
26;33;13;232.89052295684814
27;32;13;241.52914357185364
28;31;13;250.7667007446289
29;31;13;259.42018699645996
30;30;12;268.714506149292
31;30;12;277.3127429485321
32;30;12;286.5107843875885
33;29;9;295.19281697273254
34;29;9;304.45155239105225
35;28;9;313.1652431488037
36;28;9;322.50704622268677
37;27;9;331.2510678768158
38;27;9;340.6566722393036
39;26;9;349.47095823287964
40;26;7;358.80520462989807
41;25;7;367.53549242019653
42;25;7;376.8373427391052
43;24;7;385.5628151893616
44;23;7;394.90091824531555
45;23;6;403.54996609687805
46;22;5;412.78506445884705
47;21;3;421.50509214401245
48;20;2;430.8190155029297
49;19;2;439.4003036022186
50;18;2;448.81545090675354
51;17;0;457.4821426868439
