generations;average_fitness;best_fitness;time
0;51;36;0.9955644607543945
1;50;33;1.935943365097046
2;49;33;2.9136641025543213
3;49;33;3.5928146839141846
4;48;33;4.565583229064941
5;47;33;5.604505300521851
6;47;33;6.594076156616211
7;46;32;7.274109363555908
8;46;32;8.24496603012085
9;45;32;9.260689735412598
10;45;32;10.280720472335815
11;45;31;10.974400997161865
12;45;31;11.971780061721802
13;45;31;12.975042819976807
14;45;31;13.99853253364563
15;44;31;14.692268133163452
16;44;31;15.695802211761475
17;44;31;16.7113618850708
18;44;31;17.721508264541626
19;44;31;18.45903778076172
20;43;31;19.476823568344116
21;43;28;20.505130290985107
22;43;28;21.525059461593628
23;43;28;22.218180894851685
24;43;28;23.229306936264038
25;43;28;24.2691912651062
26;42;28;25.295783519744873
27;42;28;26.021047830581665
28;41;28;27.047107219696045
29;41;28;28.057655334472656
30;41;28;29.092555284500122
31;41;28;29.804008722305298
32;41;28;30.84362530708313
33;41;28;31.874171495437622
34;41;28;32.89398694038391
35;41;28;33.588603019714355
36;41;28;34.618916034698486
37;41;27;35.667301416397095
38;41;27;36.72772789001465
39;41;27;37.42488145828247
40;41;27;38.447500705718994
41;40;27;39.51494026184082
42;41;27;40.577582359313965
43;40;27;41.31914973258972
44;40;27;42.34939098358154
45;39;27;43.41748571395874
46;39;25;44.46125030517578
47;39;25;45.17177152633667
48;39;25;46.215311765670776
49;38;25;47.259708881378174
50;38;24;48.2799916267395
51;38;24;49.02006268501282
52;38;24;50.06102395057678
53;38;24;51.10185980796814
54;38;24;52.13697004318237
55;38;24;52.851911306381226
56;37;24;53.89394950866699
57;37;24;54.947704792022705
58;37;24;55.992711544036865
59;36;24;56.69871187210083
60;37;23;57.74268317222595
61;36;22;58.78580021858215
62;36;22;59.81615471839905
63;36;22;60.53155016899109
64;36;20;61.550514698028564
65;35;20;62.58877158164978
66;35;20;63.63652038574219
67;34;20;64.34532976150513
68;34;20;65.37562870979309
69;34;20;66.42701292037964
70;35;20;67.49552321434021
71;34;20;68.19019675254822
72;34;20;69.2069149017334
73;34;20;70.23692727088928
74;34;20;71.26300716400146
75;33;20;71.96973299980164
76;33;20;72.99071049690247
77;32;18;74.03724002838135
78;32;18;75.07968640327454
79;32;18;75.76958227157593
80;32;18;76.79472136497498
81;31;16;77.84850096702576
82;31;16;78.89447283744812
83;31;16;79.60103273391724
84;31;16;80.63461709022522
85;31;16;81.68563437461853
86;30;16;82.74684476852417
87;30;16;83.4557671546936
88;30;16;84.45798230171204
89;30;16;85.50819516181946
90;29;16;86.54852032661438
91;29;14;87.26841592788696
92;29;14;88.29126119613647
93;28;14;89.31813740730286
94;28;14;90.33759379386902
95;28;14;91.03274154663086
96;27;14;92.06821775436401
97;27;14;93.14711403846741
98;27;14;94.18785166740417
99;27;14;94.89786553382874
100;27;14;95.92868232727051
101;26;14;96.97346901893616
102;26;14;98.03925657272339
103;26;14;98.73198127746582
104;25;14;99.74188208580017
105;25;11;100.77502083778381
106;25;11;101.79537558555603
107;25;11;102.48914170265198
108;24;11;103.54417037963867
109;24;11;104.57509088516235
110;23;11;105.60242056846619
111;23;10;106.31130075454712
112;23;10;107.33105039596558
113;22;9;108.41909646987915
114;22;9;109.46222424507141
115;22;9;110.16768789291382
116;21;9;111.19339609146118
117;21;9;112.27295303344727
118;20;9;113.31689882278442
119;20;9;114.03577780723572
120;21;9;115.09565377235413
121;20;9;116.12537026405334
122;20;9;117.19339942932129
123;20;9;117.96270990371704
124;19;9;119.01828527450562
125;19;8;120.05061793327332
126;19;8;121.1008038520813
127;19;8;121.85869860649109
128;19;8;122.89145708084106
129;19;8;123.89773535728455
130;19;8;124.9575867652893
131;18;8;125.65259337425232
132;18;8;126.6930787563324
133;18;8;127.7315821647644
134;18;8;128.7656705379486
135;18;8;129.48202848434448
136;18;8;130.48849964141846
137;18;8;131.53058743476868
138;18;8;132.57171607017517
139;17;8;133.2984688282013
140;17;8;134.33858036994934
141;17;8;135.38792371749878
142;17;8;136.42034339904785
143;17;8;137.14379811286926
144;16;7;138.1673619747162
145;16;7;139.23853206634521
146;16;7;140.32350993156433
147;16;7;141.0386300086975
148;16;7;142.05756998062134
149;16;7;143.09633231163025
150;15;7;144.13809037208557
151;15;7;144.85045313835144
152;15;7;145.87651109695435
153;15;7;146.92425680160522
