generations;average_fitness;best_fitness;time
0;56;43;1.1120359897613525
1;55;41;2.122851848602295
2;54;41;2.8441407680511475
3;53;38;3.8754916191101074
4;53;38;4.923227548599243
5;53;38;5.986726760864258
6;52;38;6.753446578979492
7;52;38;7.803835153579712
8;51;38;8.882663488388062
9;51;38;9.938246726989746
10;51;38;10.67030119895935
11;51;38;11.70222282409668
12;51;38;12.769855737686157
13;50;38;13.835388660430908
14;50;38;14.586801528930664
15;50;36;15.633468866348267
16;50;36;16.712066650390625
17;50;36;17.782923936843872
18;50;36;18.497689723968506
19;50;36;19.549455404281616
20;49;36;20.63671588897705
21;49;36;21.719918489456177
22;50;35;22.465440034866333
23;49;35;23.51032066345215
24;49;35;24.558371543884277
25;49;35;25.620373725891113
26;49;35;26.394094944000244
27;49;35;27.43740153312683
28;48;35;28.508241415023804
29;48;35;29.590970516204834
30;47;33;30.350003957748413
31;47;32;31.39651870727539
32;47;32;32.492531299591064
33;47;32;33.58490967750549
34;47;32;34.31545853614807
35;46;32;35.38513374328613
36;46;32;36.454309701919556
37;46;32;37.53305673599243
38;45;32;38.27154231071472
39;45;31;39.29361653327942
40;45;30;40.366469860076904
41;45;30;41.41869378089905
42;45;30;42.14984178543091
43;45;30;43.220062494277954
44;44;30;44.385183334350586
45;44;29;45.47334694862366
46;44;26;46.21137595176697
47;44;26;47.28319025039673
48;43;26;48.37579298019409
49;43;26;49.429216146469116
50;43;26;50.15155363082886
51;43;26;51.219889402389526
52;42;26;52.27953481674194
53;42;26;53.34322166442871
54;42;26;54.10679483413696
55;42;26;55.1707227230072
56;42;26;56.241838693618774
57;42;26;57.333831787109375
58;42;26;58.124709606170654
59;42;26;59.18072843551636
60;41;26;60.25618553161621
61;41;26;61.326414823532104
62;41;26;62.10883688926697
63;40;26;63.22244453430176
64;40;26;64.3126163482666
65;40;25;65.37648606300354
66;40;25;66.11507725715637
67;40;20;67.18242049217224
68;40;20;68.26673007011414
69;39;20;69.35581707954407
70;39;20;70.07338523864746
71;39;20;71.11134576797485
72;38;20;72.1912751197815
73;38;20;73.24043154716492
74;37;19;74.02244472503662
75;36;19;75.08055424690247
76;36;19;76.13556838035583
77;36;19;77.20049500465393
78;35;19;77.92727041244507
79;35;19;78.98555660247803
80;34;19;80.04892992973328
81;34;19;81.1506597995758
82;34;18;81.87631225585938
83;34;18;82.93169474601746
84;33;18;83.99234080314636
85;33;18;85.07278060913086
86;33;18;85.8013424873352
87;32;18;86.85182404518127
88;32;18;87.91384410858154
89;32;18;88.98045468330383
90;32;18;89.74712133407593
