generations;average_fitness;best_fitness;time
0;54;40;1.4019367694854736
1;52;40;2.7155494689941406
2;50;37;4.077805519104004
3;48;37;5.413419485092163
4;47;37;6.745355606079102
5;45;35;8.08895993232727
6;44;33;9.502387523651123
7;43;32;10.865944147109985
8;42;30;12.257888317108154
9;40;28;13.638776302337646
10;39;28;15.02564525604248
11;38;28;15.996086835861206
12;36;27;17.345251321792603
13;35;24;18.71588969230652
14;34;23;20.12870693206787
15;33;23;21.471123695373535
16;32;22;22.850324392318726
17;31;21;24.25386643409729
18;29;21;25.65802502632141
19;28;21;27.05446171760559
20;27;20;28.47355079650879
21;26;20;29.84696888923645
22;25;17;31.25072979927063
23;24;17;32.627219438552856
24;24;17;34.037500619888306
25;23;15;35.425103425979614
26;22;15;36.92508506774902
27;22;15;38.32840156555176
28;21;14;39.74407649040222
29;20;14;40.7194561958313
30;20;14;42.059624671936035
31;19;14;43.446094274520874
32;19;12;44.838685274124146
33;18;12;46.21915864944458
34;18;12;47.60150694847107
35;17;12;48.99025583267212
36;17;12;50.3750364780426
37;16;12;51.7743284702301
38;16;12;53.164249420166016
39;16;12;54.54644227027893
40;15;12;55.93396973609924
41;15;11;57.32994222640991
42;14;11;58.70461559295654
43;14;11;60.093549489974976
44;13;11;61.518980264663696
45;13;10;62.909844636917114
46;12;10;64.32212495803833
47;12;10;65.30301308631897
48;12;10;66.69491362571716
49;12;10;68.08815312385559
50;11;9;69.48057961463928
51;11;8;70.89054369926453
52;11;8;72.29114985466003
53;10;8;73.69711804389954
54;10;8;75.12820410728455
55;10;7;76.56801271438599
56;10;6;77.98066520690918
57;9;6;79.38662767410278
58;9;6;80.75921154022217
59;9;6;82.18286323547363
60;9;6;83.58915877342224
61;8;6;85.00103282928467
62;8;6;86.00155639648438
63;8;5;87.4009313583374
64;7;5;88.82121515274048
65;7;5;90.2295572757721
66;7;5;91.63896441459656
67;7;4;93.02011775970459
68;7;4;94.43026566505432
69;6;4;95.86350321769714
70;6;4;97.29180765151978
71;6;4;98.72255158424377
72;6;4;100.15209412574768
73;5;4;101.56365251541138
74;5;4;102.96796035766602
75;5;4;104.39253687858582
76;5;4;105.82888388633728
77;5;4;106.78743410110474
78;5;4;108.22814393043518
79;4;4;109.64830493927002
80;4;4;111.07039475440979
81;4;4;112.49102997779846
82;4;4;113.92119216918945
83;4;4;115.35256886482239
84;4;4;116.78117299079895
85;4;4;118.18313765525818
86;4;4;119.58150243759155
87;4;4;121.11467456817627
88;4;4;122.57060599327087
89;4;4;124.01395416259766
90;4;4;125.4610812664032
91;4;4;126.47220277786255
92;4;4;127.89225649833679
93;4;4;129.29332852363586
94;4;4;130.70927548408508
95;4;4;132.1027889251709
96;4;4;133.5109360218048
97;4;4;134.93228197097778
98;4;4;136.35331988334656
99;4;4;137.7894332408905
100;4;4;139.21155548095703
101;4;4;140.61459016799927
102;4;4;142.00982666015625
103;4;4;143.4382622241974
104;4;4;144.8702518939972
105;4;4;146.3401255607605
106;4;4;147.33884477615356
107;4;4;148.7623553276062
108;4;4;150.18217539787292
109;4;4;151.615065574646
110;4;4;153.01905345916748
111;4;4;154.45919132232666
112;4;4;155.83807349205017
113;4;4;157.28457236289978
114;4;4;158.7124445438385
115;4;4;160.12342381477356
116;4;4;161.52582573890686
117;4;4;162.92057943344116
118;4;4;164.33572626113892
119;4;4;165.73892331123352
120;4;4;167.18539762496948
121;4;4;168.59907937049866
122;4;4;170.00425481796265
123;4;4;170.98822236061096
124;4;4;172.40817975997925
125;4;4;173.82018780708313
126;4;4;175.21565341949463
127;4;4;176.6261420249939
128;4;4;178.03827095031738
129;4;4;179.44148969650269
130;4;4;180.8656837940216
