generations;average_fitness;best_fitness;time
0;48;37;0.19734835624694824
1;42;32;0.5399348735809326
2;40;31;0.7069246768951416
3;37;28;0.8789935111999512
4;35;27;1.2213716506958008
5;33;23;1.3913171291351318
6;31;23;1.5612938404083252
7;30;22;1.7337563037872314
8;29;22;2.073946475982666
9;28;17;2.245746612548828
10;26;17;2.4211831092834473
11;25;17;2.7623841762542725
12;24;15;2.9297356605529785
13;23;15;3.099574327468872
14;23;13;3.469438314437866
15;22;13;3.637593984603882
16;21;10;3.8044369220733643
17;21;10;3.9718191623687744
18;20;10;4.31742262840271
19;20;10;4.483521938323975
20;19;10;4.651288747787476
21;18;10;4.99977970123291
22;17;9;5.167564868927002
23;17;9;5.334398984909058
24;18;9;5.521568536758423
25;17;9;5.869852542877197
26;17;9;6.038158655166626
27;17;9;6.20479941368103
28;17;9;6.554576396942139
29;16;8;6.7265942096710205
30;16;8;6.901604890823364
31;16;8;7.253206968307495
32;15;8;7.434245824813843
33;15;8;7.6115617752075195
34;15;8;7.782071590423584
35;15;8;8.134344339370728
36;15;7;8.302308797836304
37;15;7;8.471633434295654
38;15;7;8.82167387008667
39;14;7;8.990307092666626
40;14;7;9.158238649368286
41;14;7;9.51562237739563
42;14;7;9.68500280380249
43;14;7;9.850611686706543
44;14;7;10.016756534576416
45;13;7;10.363581657409668
46;13;7;10.53437876701355
47;14;7;10.701727151870728
48;14;7;11.05746865272522
49;14;7;11.225383996963501
50;14;7;11.403210401535034
51;13;7;11.575685739517212
52;13;7;11.923025846481323
53;13;7;12.096558809280396
54;13;7;12.273255586624146
55;13;7;12.666595697402954
56;13;7;12.836238145828247
57;13;7;13.006614923477173
58;13;7;13.176627397537231
59;13;7;13.526774168014526
60;13;7;13.696085453033447
61;13;7;13.865164041519165
62;13;7;14.21811032295227
63;13;7;14.387518882751465
64;13;7;14.559509992599487
65;14;7;14.730502128601074
66;13;7;15.08336091041565
67;13;7;15.26739239692688
68;13;7;15.439257383346558
69;13;7;15.79710841178894
70;14;7;15.964855194091797
71;13;7;16.13379740715027
72;13;7;16.305986166000366
73;13;7;16.647988080978394
74;13;7;16.826260328292847
75;13;7;16.995673179626465
76;14;7;17.339308261871338
77;14;7;17.510123014450073
78;13;7;17.679163694381714
79;13;7;18.023967266082764
80;14;7;18.193830490112305
81;13;7;18.365280151367188
82;13;7;18.53309988975525
83;13;7;18.879917860031128
84;13;7;19.04838514328003
85;14;7;19.218559503555298
86;14;7;19.57215976715088
87;14;7;19.74335789680481
88;14;7;19.911185264587402
89;13;7;20.26026225090027
90;13;7;20.42808723449707
91;13;7;20.605225563049316
92;13;7;20.775683641433716
93;13;7;21.122036695480347
94;13;7;21.290470838546753
95;13;7;21.461907386779785
96;14;7;21.81094455718994
97;13;7;21.980820178985596
98;14;7;22.151269912719727
99;13;7;22.32040524482727
100;13;7;22.667691469192505
101;13;7;22.83734107017517
102;13;7;23.00459599494934
103;14;7;23.355804443359375
104;13;7;23.527976036071777
105;14;7;23.69700264930725
106;14;7;23.869239330291748
107;13;7;24.218905925750732
108;13;7;24.388837814331055
109;13;7;24.558926343917847
110;13;7;24.911991357803345
111;13;7;25.08250331878662
112;13;7;25.26278519630432
113;13;7;25.614137649536133
114;13;7;25.782565593719482
115;13;7;25.958482265472412
116;13;7;26.12948441505432
117;13;7;26.474194526672363
118;13;7;26.64071297645569
119;13;7;26.810900449752808
120;14;7;27.15653085708618
121;14;7;27.32544755935669
122;13;7;27.49639391899109
123;13;7;27.845439434051514
124;13;7;28.013297080993652
125;13;7;28.185121536254883
126;13;7;28.356637954711914
127;13;7;28.704540967941284
128;13;7;28.873132467269897
129;13;7;29.03985571861267
130;13;7;29.381174087524414
131;13;7;29.55074143409729
132;14;7;29.716763973236084
133;13;7;30.06673502922058
134;13;7;30.23949098587036
135;13;7;30.406181573867798
136;13;7;30.574416399002075
137;14;7;30.919347763061523
138;14;7;31.088193655014038
139;13;7;31.25759196281433
140;14;7;31.611626386642456
141;13;7;31.78104257583618
142;14;7;31.950294733047485
143;13;7;32.122538566589355
144;14;7;32.46386909484863
145;13;7;32.6364951133728
146;13;7;32.807697772979736
147;13;7;33.1549072265625
148;13;7;33.32300019264221
149;13;7;33.49004650115967
150;13;7;33.655906677246094
151;13;7;33.99966835975647
152;13;7;34.16601610183716
153;13;7;34.333834409713745
154;13;7;34.68397760391235
155;13;7;34.854331493377686
156;13;7;35.024277687072754
157;13;7;35.37496566772461
158;13;7;35.545092821121216
159;14;7;35.71909952163696
160;14;7;35.88990306854248
161;13;7;36.23779058456421
162;14;7;36.41913604736328
163;13;7;36.597649812698364
164;13;7;36.9585075378418
165;13;7;37.125707387924194
166;13;7;37.29380679130554
167;13;7;37.45914673805237
168;13;7;37.80681896209717
169;14;7;37.97343158721924
170;13;7;38.14484238624573
171;13;7;38.50600004196167
172;13;7;38.67135453224182
173;13;7;38.83796548843384
174;14;7;39.191447257995605
175;13;7;39.35791230201721
176;14;7;39.53758955001831
177;13;7;39.71299910545349
178;13;7;40.05730962753296
179;13;7;40.22855734825134
180;13;7;40.401161432266235
181;13;7;40.752978801727295
182;13;7;40.920047760009766
183;13;7;41.0922749042511
184;13;7;41.43915128707886
185;14;7;41.60902452468872
