generations;average_fitness;best_fitness;time
0;54;38;3.7041804790496826
1;52;36;6.839243650436401
2;51;37;10.109270334243774
3;50;34;13.382798910140991
4;49;32;16.66673707962036
5;47;31;19.94439959526062
6;46;31;23.20031714439392
7;45;31;26.484647750854492
8;44;29;29.760421752929688
9;43;29;32.99924278259277
10;42;29;36.28661823272705
11;42;25;39.580355405807495
12;41;24;42.88712453842163
13;40;24;46.26211071014404
14;39;21;49.555307388305664
15;37;22;52.87872242927551
16;35;22;56.23408389091492
17;35;20;59.573012351989746
18;35;19;62.90780711174011
19;34;20;66.2890465259552
20;34;20;69.58935189247131
21;34;20;72.91547679901123
22;34;19;76.23543810844421
23;34;19;79.64148736000061
24;34;19;83.0105209350586
25;33;19;86.39577579498291
26;33;19;89.69735312461853
27;33;18;93.10403394699097
28;32;17;96.46557903289795
29;32;15;99.8561635017395
30;30;15;103.18128991127014
31;28;13;106.55303907394409
32;28;13;109.93476271629333
33;27;13;113.39721155166626
34;26;13;116.7707908153534
35;26;13;120.17728018760681
36;26;12;123.74765682220459
37;25;13;127.09483504295349
38;24;13;130.51729464530945
39;25;13;133.89313006401062
40;25;12;137.2722818851471
41;24;11;140.6542043685913
42;24;11;144.05064606666565
43;23;11;147.4032702445984
44;23;11;150.82703399658203
45;23;11;154.15495991706848
46;22;10;157.54340171813965
47;21;10;160.92143201828003
48;22;10;164.29458093643188
49;22;10;167.69881629943848
50;21;10;171.05454683303833
51;21;10;174.4254925251007
52;21;10;177.79786491394043
53;21;10;181.16255021095276
54;21;10;184.55215430259705
55;20;10;187.94337916374207
56;21;10;191.34350991249084
57;20;10;194.68042373657227
58;20;10;198.06902551651
59;20;10;201.5019268989563
60;20;10;205.0169641971588
61;20;10;208.52326655387878
62;20;10;211.87205457687378
63;20;10;215.21182298660278
64;19;10;218.57494831085205
65;19;10;221.89047741889954
66;19;10;225.25251984596252
67;19;10;228.66701459884644
68;19;10;232.0418713092804
69;19;10;235.39849162101746
70;19;10;238.7784264087677
71;19;10;242.19235610961914
72;19;10;245.55992007255554
73;19;10;248.9687056541443
74;19;10;252.28992176055908
75;19;10;255.62266659736633
76;19;10;258.9983570575714
77;19;10;262.3688714504242
78;19;10;265.7088665962219
79;19;10;269.09195828437805
80;19;10;272.40614557266235
81;18;10;275.6906259059906
82;18;10;279.15394282341003
83;18;10;282.47484827041626
84;18;10;285.82273411750793
85;18;10;289.13156366348267
86;18;10;292.45726799964905
87;18;10;295.7985770702362
88;18;10;299.102046251297
89;18;10;302.4265835285187
90;18;10;305.76324343681335
91;18;10;309.0784239768982
92;18;10;312.40737438201904
93;18;10;315.67769718170166
94;18;10;319.0065224170685
95;18;10;322.3610875606537
96;18;10;325.67727518081665
97;18;10;328.99031710624695
98;18;10;332.30998826026917
99;18;10;335.6679759025574
100;18;10;339.0051693916321
101;18;10;342.3082163333893
102;18;10;345.6562850475311
103;18;10;348.96961975097656
104;18;10;352.26941442489624
105;18;10;355.6267020702362
106;18;10;358.9028925895691
107;18;10;362.2172236442566
108;18;10;365.5286548137665
109;18;10;368.8485634326935
110;18;10;372.1871917247772
111;18;10;375.52648520469666
112;18;10;378.8443808555603
113;18;10;382.1825587749481
114;18;10;385.5101697444916
115;18;10;388.8208005428314
116;18;10;392.16280460357666
117;18;10;395.5379378795624
118;18;10;398.8766133785248
119;18;10;402.2047896385193
120;18;10;405.5172493457794
121;18;10;408.8114869594574
122;18;10;412.14485573768616
123;18;10;415.4751241207123
124;18;10;418.8071451187134
125;18;10;422.16740584373474
126;18;10;425.4936113357544
127;18;10;428.81490874290466
128;18;10;432.12485361099243
129;18;10;435.43523025512695
130;18;10;438.76999163627625
131;18;10;442.1268665790558
132;18;10;445.4532997608185
133;18;10;448.74585938453674
134;18;10;452.09289622306824
135;18;10;455.4707987308502
136;18;10;458.79762148857117
137;18;10;462.20030307769775
138;18;10;465.67262506484985
139;18;10;469.0753347873688
140;18;10;472.47830057144165
141;18;10;475.8298690319061
142;18;10;479.184219121933
143;18;10;482.5529589653015
144;18;10;485.88919496536255
145;18;10;489.2445602416992
146;18;10;492.5833013057709
147;18;10;495.8765332698822
148;18;10;499.2073624134064
149;18;10;502.52415323257446
150;18;10;505.83249855041504
151;18;10;509.1796364784241
152;18;10;512.5245361328125
153;18;10;515.866349697113
154;18;10;519.2204430103302
155;18;10;522.5767493247986
156;18;10;525.8635947704315
157;18;10;529.2291066646576
158;18;10;532.57781457901
159;18;10;535.8325033187866
160;18;10;539.1438894271851
161;18;10;542.4606733322144
162;18;10;545.7681090831757
163;18;10;549.1216993331909
164;18;10;552.4755260944366
165;17;10;555.8376359939575
166;18;10;559.1598370075226
167;18;10;562.5496287345886
168;18;10;565.9079165458679
169;18;10;569.2484977245331
170;18;10;572.621237039566
171;18;10;575.9791736602783
172;18;10;579.3237175941467
173;18;10;582.5962800979614
174;18;10;585.9461584091187
175;18;10;589.3343026638031
176;18;10;592.6845517158508
177;18;10;596.0719976425171
178;18;10;599.4130585193634
179;18;10;602.7791540622711
180;18;10;606.0854947566986
181;18;10;609.4687204360962
182;18;10;612.8111896514893
183;18;10;616.159417629242
184;18;10;619.4984152317047
185;18;10;622.8031566143036
186;18;10;626.0996043682098
187;18;10;629.4684031009674
188;18;10;632.8361577987671
189;18;10;636.1853489875793
190;18;10;639.512033700943
191;18;10;642.8412175178528
192;18;10;646.1338837146759
193;18;10;649.4821634292603
194;18;10;652.8702402114868
195;18;10;656.2757434844971
