generations;average_fitness;best_fitness;time
0;47;32;3.3762290477752686
1;38;25;5.918225049972534
2;32;20;8.496493101119995
3;29;17;11.11999225616455
4;26;16;13.729155778884888
5;25;14;16.347556829452515
6;23;8;18.92791223526001
7;20;8;21.57779884338379
8;18;5;24.205678701400757
9;16;5;26.848761558532715
10;15;5;29.517121076583862
11;15;5;32.174930810928345
12;15;4;34.824265241622925
13;14;2;37.48610305786133
14;13;2;40.1584906578064
15;13;2;42.79186940193176
16;13;2;45.498095989227295
17;12;2;48.18841218948364
18;12;2;50.81751298904419
19;12;2;53.52308893203735
20;12;2;56.201401233673096
21;12;2;58.918710231781006
22;12;2;61.64227795600891
23;12;2;64.29739379882812
24;12;2;67.0208728313446
25;12;2;69.68207383155823
26;12;2;72.38674449920654
27;12;2;75.08634161949158
28;12;2;77.84369206428528
29;12;2;80.60094594955444
30;12;2;83.32423377037048
31;12;2;86.03573274612427
32;12;2;88.72394609451294
33;12;2;91.46752619743347
34;12;2;94.20909929275513
35;12;2;96.94555258750916
36;12;2;99.62384533882141
37;12;2;102.38710355758667
38;12;2;105.17446494102478
39;12;2;107.89534449577332
40;12;2;110.65678572654724
41;12;2;113.3870062828064
42;12;2;116.06360721588135
43;12;2;118.75605177879333
44;12;2;121.44444346427917
45;12;2;124.15957260131836
46;12;2;126.85469365119934
47;12;2;129.61539220809937
48;12;2;132.27707934379578
49;12;2;134.96935534477234
50;12;2;137.70615148544312
51;12;2;140.45392513275146
52;12;2;143.20072674751282
53;12;2;145.9289586544037
54;12;2;148.65790820121765
55;12;2;151.35246992111206
56;12;2;154.06511616706848
57;12;2;156.81627869606018
58;12;2;159.50052666664124
59;12;2;162.2447955608368
60;11;2;164.97739624977112
61;12;2;167.68130135536194
62;12;2;170.40488958358765
63;12;2;173.11579060554504
64;12;2;175.8615322113037
65;12;2;178.5852460861206
66;12;2;181.25677490234375
67;12;2;183.9544005393982
68;12;2;186.67030668258667
69;12;2;189.37202310562134
70;12;2;192.1145567893982
71;12;2;194.85794496536255
72;12;2;197.5591320991516
73;12;2;200.2799575328827
74;12;2;202.97755193710327
75;12;2;205.69917488098145
76;12;2;208.45554494857788
77;11;2;211.1711072921753
78;11;2;213.88384199142456
79;12;2;216.61024951934814
80;12;2;219.33023381233215
81;11;2;222.07583141326904
82;12;2;224.7989945411682
83;11;2;227.57708311080933
84;12;2;230.29506540298462
85;12;2;233.03373956680298
86;12;2;235.76851558685303
87;12;2;238.50251364707947
88;12;2;241.2550013065338
89;11;2;243.9514238834381
90;11;2;246.7220470905304
91;12;2;249.49702548980713
92;11;2;252.23626255989075
93;12;2;254.9572138786316
94;12;2;257.6928720474243
95;12;2;260.4432601928711
96;12;2;263.23943066596985
97;12;2;265.99867010116577
98;12;2;268.7201154232025
99;12;2;271.45366501808167
100;11;2;274.20168256759644
101;12;2;276.93067693710327
102;12;2;279.66006875038147
103;12;2;282.3756010532379
104;12;2;285.11083149909973
105;11;2;288.01996898651123
106;11;2;290.8165829181671
107;11;2;293.56563115119934
108;12;2;296.3364827632904
109;12;2;299.08031821250916
110;12;2;301.8404884338379
111;11;2;304.62137055397034
112;12;2;307.3994975090027
113;11;2;310.15115189552307
114;12;2;312.90686082839966
115;12;2;315.63555240631104
116;12;2;318.3715567588806
117;12;2;321.1291501522064
118;12;2;323.8769574165344
119;11;2;326.6110677719116
120;11;2;329.32870173454285
121;11;2;332.07100439071655
122;12;2;334.8544034957886
123;12;2;337.6228041648865
124;12;2;340.3578300476074
125;11;2;343.06671929359436
126;12;2;345.7995615005493
127;12;2;348.5752110481262
128;12;2;351.344122171402
129;12;2;354.1383566856384
130;12;2;356.89934182167053
131;12;2;359.67047691345215
132;11;2;362.4493374824524
133;12;2;365.2400062084198
134;12;2;368.02968287467957
135;12;2;370.77704906463623
136;12;2;373.5414991378784
137;12;2;376.2569670677185
138;11;2;378.9932544231415
139;12;2;381.7609691619873
140;12;2;384.5033006668091
141;11;2;387.24431109428406
142;12;2;390.0200810432434
143;12;2;392.7488160133362
144;12;2;395.5015721321106
145;11;2;398.2678346633911
146;11;2;401.01175928115845
147;12;2;403.73446226119995
148;11;2;406.4814991950989
149;11;2;409.2266426086426
150;12;2;411.9588882923126
151;12;2;414.7464964389801
152;12;2;417.5029411315918
153;12;2;420.2827818393707
154;12;2;423.0204529762268
155;11;2;425.75242161750793
156;12;2;428.5402626991272
157;12;2;431.3108763694763
158;11;2;434.0299799442291
159;12;2;436.8076822757721
160;12;2;439.54796600341797
161;12;2;442.2940673828125
162;12;2;445.0483055114746
