generations;average_fitness;best_fitness;time
0;49;33;1.4716660976409912
1;39;27;2.2665722370147705
2;35;24;3.385451555252075
3;32;18;4.479809761047363
4;27;17;5.58320164680481
5;24;13;6.696889400482178
6;21;11;7.798670053482056
7;18;7;8.906246662139893
8;15;5;10.047595262527466
9;12;4;11.163430452346802
10;10;4;11.957251787185669
11;9;4;13.055468797683716
12;9;4;14.160946369171143
13;9;4;15.26392912864685
14;9;4;16.39583992958069
15;9;4;17.530975580215454
16;9;4;18.6544828414917
17;9;4;19.778146505355835
18;9;4;20.894317865371704
19;9;4;21.704015970230103
20;9;4;22.816911220550537
21;9;4;23.938505172729492
22;10;4;25.078495264053345
23;9;4;26.194693565368652
24;9;4;27.30664563179016
25;9;4;28.4280686378479
26;9;4;29.556029319763184
27;9;4;30.679331064224243
28;9;4;31.478655338287354
29;9;4;32.592880725860596
30;9;4;33.71305990219116
31;9;4;34.84625577926636
32;9;4;35.98689341545105
33;9;4;37.11858630180359
34;9;4;38.266324043273926
35;9;4;39.408880949020386
36;9;4;40.53208565711975
37;9;4;41.34107327461243
38;9;4;42.4435293674469
39;10;4;43.56421446800232
40;9;4;44.70649003982544
41;9;4;45.84950804710388
42;9;4;46.96799159049988
43;9;4;48.089141607284546
44;9;4;49.21342086791992
45;9;4;50.36051058769226
46;9;4;51.167860984802246
47;9;4;52.28985357284546
48;9;4;53.41660714149475
49;9;4;54.563369274139404
50;9;4;55.72713804244995
51;9;4;56.86957311630249
52;9;4;58.0105345249176
53;9;4;59.168785572052
54;9;4;60.307905435562134
55;9;4;61.128430128097534
56;9;4;62.24417519569397
57;9;4;63.36136507987976
58;9;4;64.518137216568
59;10;4;65.66453123092651
60;9;4;66.7912175655365
61;9;4;67.9121835231781
62;9;4;69.0582754611969
63;9;4;70.20256876945496
64;9;4;71.026935338974
65;9;4;72.1542022228241
66;9;4;73.30833292007446
67;9;4;74.45646548271179
68;9;4;75.59254741668701
69;9;4;76.72829103469849
70;9;4;77.86170744895935
71;9;4;78.99464416503906
72;9;4;80.14087557792664
73;9;4;80.9572741985321
74;9;4;82.07301187515259
75;9;4;83.22061038017273
76;9;4;84.36756825447083
77;9;4;85.5037829875946
78;9;4;86.65697860717773
79;9;4;87.78125095367432
80;9;4;88.93154621124268
81;9;4;90.08469438552856
82;9;4;90.89714860916138
83;9;4;92.02828001976013
84;9;4;93.15163350105286
85;9;4;94.3180480003357
86;9;4;95.4679057598114
87;9;4;96.59884548187256
88;9;4;97.7314133644104
89;9;4;98.89260053634644
90;9;4;100.03924179077148
91;9;4;100.86449313163757
92;9;4;102.04392409324646
93;9;4;103.17505526542664
94;9;4;104.32385206222534
95;9;4;105.48386669158936
96;9;4;106.61049699783325
97;9;4;107.75218462944031
98;10;4;108.89701509475708
99;9;4;110.05707597732544
100;9;4;110.8759696483612
101;9;4;112.00514197349548
102;9;4;113.16088843345642
103;9;4;114.30420684814453
104;9;4;115.4702079296112
105;9;4;116.60261988639832
106;9;4;117.74854516983032
107;9;4;118.89596557617188
108;9;4;120.04036355018616
109;9;4;120.84691095352173
110;9;4;121.96959900856018
111;9;4;123.07768893241882
112;9;4;124.20765042304993
113;9;4;125.33889436721802
114;9;4;126.48288249969482
115;9;4;127.62713670730591
116;9;4;128.7712118625641
117;9;4;129.93745756149292
118;9;4;130.7588484287262
119;9;4;131.89743447303772
120;9;4;133.05905985832214
121;9;4;134.22203540802002
122;9;4;135.37123775482178
123;9;4;136.5091950893402
124;9;4;137.6916389465332
125;9;4;138.84055280685425
126;9;4;139.98574018478394
127;9;4;140.81744194030762
128;9;4;141.94059872627258
129;9;4;143.0956165790558
130;9;4;144.28926372528076
131;9;4;145.48869705200195
132;9;4;146.62367939949036
133;9;4;147.76648998260498
134;9;4;148.90875482559204
135;9;4;150.0918173789978
136;10;4;150.921231508255
137;9;4;152.0535750389099
138;9;4;153.18996572494507
139;9;4;154.37351870536804
140;9;4;155.52562355995178
141;10;4;156.68095803260803
142;9;4;157.83838033676147
143;9;4;159.00852870941162
144;9;4;160.16017818450928
145;9;4;160.99154376983643
146;9;4;162.13947796821594
147;9;4;163.28686833381653
148;9;4;164.42927813529968
149;9;4;165.56537771224976
150;9;4;166.73279571533203
151;9;4;167.86766266822815
152;9;4;169.0242793560028
153;9;4;170.21811628341675
154;9;4;171.045640707016
155;9;4;172.23558640480042
156;9;4;173.3652617931366
157;9;4;174.50788569450378
158;9;4;175.6641664505005
