generations;average_fitness;best_fitness;time
0;50;32;0.5917220115661621
1;40;29;1.0883519649505615
2;35;25;1.6998028755187988
3;32;23;2.211082935333252
4;30;17;2.819227933883667
5;28;17;3.3267829418182373
6;26;15;3.9521658420562744
7;24;15;4.461708068847656
8;23;12;5.073889970779419
9;21;11;5.5933849811553955
10;21;10;6.215344190597534
11;20;9;6.724154949188232
12;20;8;7.35006308555603
13;19;8;7.865792989730835
14;19;8;8.486066818237305
15;18;8;9.01120400428772
16;18;8;9.641807794570923
17;17;8;10.162938833236694
18;17;7;10.802489042282104
19;16;6;11.323141098022461
20;16;6;11.961836099624634
21;16;5;12.492832899093628
22;15;5;13.114315032958984
23;15;5;13.638915061950684
24;15;5;14.285245895385742
25;15;5;14.806534767150879
26;15;5;15.461947917938232
27;14;5;15.98953914642334
28;14;5;16.632049798965454
29;14;5;17.163522005081177
30;13;5;17.812880754470825
31;14;4;18.33552098274231
32;14;4;18.981749057769775
33;14;4;19.504066944122314
34;14;4;20.141519784927368
35;14;4;20.674892902374268
36;13;4;21.32295799255371
37;13;4;21.854578971862793
38;13;4;22.507304906845093
39;13;4;23.03324580192566
40;13;4;23.687738180160522
41;13;4;24.212028980255127
42;13;4;24.854191064834595
43;13;4;25.378720998764038
44;13;4;26.052361965179443
45;13;4;26.585806131362915
46;13;4;27.20964503288269
47;13;4;27.72295594215393
48;12;4;28.342966079711914
49;13;4;28.869462966918945
50;13;4;29.483187913894653
51;13;4;30.010974884033203
52;13;4;30.628540992736816
53;13;4;31.138683795928955
54;13;4;31.759809970855713
55;13;4;32.28338980674744
56;13;4;32.91316509246826
57;13;4;33.42937994003296
58;13;4;34.04154586791992
59;13;4;34.55553412437439
60;13;4;35.19459104537964
61;13;4;35.712862968444824
62;13;4;36.351852893829346
63;13;4;36.875892877578735
64;13;4;37.492480993270874
65;13;4;38.00674605369568
66;13;4;38.627195835113525
67;13;4;39.13319706916809
68;13;4;39.76352596282959
69;13;4;40.28140115737915
70;12;4;40.9181969165802
71;12;4;41.43557095527649
72;13;4;42.06212401390076
73;13;4;42.5720739364624
74;13;4;43.207098722457886
75;13;4;43.72128987312317
76;13;4;44.34474802017212
77;13;4;44.85342192649841
78;13;4;45.475825786590576
79;13;4;45.990654945373535
80;12;4;46.62337398529053
81;13;4;762.0869519710541
82;13;4;762.8209939002991
83;13;4;763.3234181404114
84;12;4;763.9441018104553
85;13;4;764.4597790241241
86;13;4;765.0682229995728
87;13;4;765.5702359676361
88;12;4;766.1939997673035
89;13;4;766.6970098018646
90;13;4;767.3765020370483
91;13;4;767.866956949234
92;13;4;768.4419209957123
93;13;4;768.9265940189362
94;13;4;769.5180509090424
95;13;4;769.9977719783783
96;13;4;770.5838420391083
97;13;4;771.0649440288544
98;13;4;771.6391580104828
99;13;4;772.1191821098328
100;13;4;772.7631978988647
101;13;4;773.2470488548279
102;13;4;797.2044358253479
103;13;4;797.7220089435577
104;13;4;798.3064000606537
105;13;4;798.7851059436798
106;13;4;799.3589050769806
107;12;4;799.8377888202667
108;13;4;800.4280200004578
109;13;4;800.9063379764557
110;13;4;801.482969045639
111;13;4;801.9611530303955
112;13;4;802.5350241661072
113;13;4;803.0138208866119
114;12;4;803.5957591533661
115;13;4;804.075520992279
116;12;4;804.6520738601685
117;13;4;805.1260058879852
118;13;4;805.703115940094
119;13;4;806.179948091507
120;13;4;806.7552938461304
121;13;4;807.2329430580139
122;13;4;807.8212509155273
123;13;4;808.3000078201294
124;13;4;808.8825657367706
125;13;4;809.3655879497528
126;13;4;809.9475739002228
127;13;4;810.4307708740234
128;13;4;811.0058188438416
129;13;4;811.482834815979
130;13;4;812.0594680309296
131;13;4;812.534029006958
132;13;4;813.1119689941406
133;13;4;813.5903050899506
134;13;4;814.164666891098
135;13;4;814.6489629745483
136;13;4;815.23188996315
137;13;4;815.7038788795471
138;13;4;816.2811830043793
139;13;4;816.7588448524475
140;13;4;817.3374259471893
141;13;4;817.8229088783264
142;13;4;818.4108788967133
143;13;4;818.8992159366608
144;13;4;819.4824268817902
145;13;4;819.9575958251953
146;13;4;820.5381569862366
147;13;4;821.0156190395355
148;13;4;821.5935158729553
149;13;4;822.0716819763184
150;13;4;822.6480839252472
151;13;4;823.1212358474731
152;13;4;823.7224309444427
153;13;4;824.2019119262695
154;13;4;824.7787780761719
155;13;4;825.2612960338593
156;13;4;825.8380780220032
157;13;4;826.3133790493011
158;13;4;826.8875949382782
159;13;4;827.3613901138306
160;13;4;827.9471769332886
161;13;4;828.4315519332886
162;13;4;829.0163559913635
163;13;4;829.4934320449829
164;13;4;830.0692217350006
165;13;4;830.5418980121613
166;13;4;831.1204211711884
167;13;4;831.5981109142303
168;13;4;832.1732420921326
169;13;4;832.6509439945221
170;13;4;833.224937915802
171;13;4;833.7040441036224
172;13;4;834.2845051288605
173;13;4;834.7595629692078
174;13;4;835.3381869792938
175;13;4;835.8208749294281
176;12;4;836.4004950523376
177;13;4;836.878053188324
178;13;4;837.4542009830475
179;13;4;837.9283850193024
180;13;4;838.5065960884094
