generations;average_fitness;best_fitness;time
0;49;33;0.855208158493042
1;49;33;1.5238919258117676
2;48;33;2.339492082595825
3;48;33;3.0126829147338867
4;47;33;3.820578098297119
5;47;33;4.503277063369751
6;47;33;5.3116700649261475
7;47;33;5.993718147277832
8;46;33;6.803047180175781
9;46;33;7.48485803604126
10;46;33;8.307102918624878
11;46;33;9.005879163742065
12;45;32;9.828967094421387
13;45;32;10.51810908317566
14;45;28;11.33950686454773
15;45;28;12.030699014663696
16;45;28;12.850056886672974
17;45;28;13.54660701751709
18;44;28;14.379727125167847
19;44;28;15.080394983291626
20;44;28;15.920309066772461
21;44;28;16.627819061279297
22;44;28;17.46054697036743
23;44;28;18.15632724761963
24;44;28;18.99239230155945
25;44;28;19.69515895843506
26;44;28;20.531267166137695
27;44;28;21.232296228408813
28;44;28;22.077836990356445
29;44;28;22.783010005950928
30;43;28;23.629831075668335
31;43;28;24.339729070663452
32;43;28;25.180010080337524
33;43;28;25.877124071121216
34;44;28;26.72027325630188
35;44;28;27.429490089416504
36;43;28;28.27464008331299
37;43;27;28.975547075271606
38;43;27;29.81771492958069
39;43;26;30.523147106170654
40;43;26;31.382774114608765
41;43;26;32.09038996696472
42;43;26;32.94248604774475
43;43;26;33.65647625923157
44;43;26;34.511709213256836
45;43;26;35.22471022605896
46;42;26;36.11234998703003
47;42;26;36.83369016647339
48;42;26;37.69897222518921
49;42;26;38.4569730758667
50;42;25;39.31696605682373
51;42;25;40.02570700645447
52;42;25;951.6123881340027
53;42;25;952.3474853038788
54;42;25;953.2573690414429
55;42;25;953.9720151424408
56;42;25;954.8577060699463
57;42;25;955.5699210166931
58;42;25;956.4266018867493
59;42;25;957.1319050788879
60;41;25;957.9881751537323
61;42;25;958.6919910907745
62;42;25;959.5432879924774
63;41;25;960.2472991943359
64;42;25;961.0981349945068
65;42;25;961.8065800666809
66;42;25;962.6561951637268
67;41;25;963.3696072101593
68;41;25;964.223886013031
69;41;25;964.9341020584106
70;41;25;965.7891840934753
71;41;25;966.4955570697784
72;41;25;967.3486020565033
73;41;23;968.0527701377869
74;41;23;968.9044079780579
75;41;23;969.6099979877472
76;41;23;970.4618391990662
77;40;23;971.177412033081
