generations;average_fitness;best_fitness;time
0;42;30;1.6128010749816895
1;37;26;2.829799175262451
2;34;22;4.3165833950042725
3;29;19;5.561800956726074
4;26;16;7.036023139953613
5;23;16;8.298822164535522
6;21;14;9.776103973388672
7;20;14;11.043057203292847
8;18;12;12.545982122421265
9;17;10;13.814615249633789
10;16;9;15.350053310394287
11;15;9;16.618757247924805
12;13;8;18.13846206665039
13;12;7;19.42277216911316
14;12;7;20.956806182861328
15;11;6;22.227344274520874
16;11;6;23.75929617881775
17;10;6;25.04590916633606
18;10;6;26.554249048233032
19;9;6;27.835578203201294
20;9;6;29.360766172409058
21;8;6;30.63581109046936
22;8;6;32.16869115829468
23;8;4;33.44846701622009
24;8;4;34.98974919319153
25;8;4;36.27501320838928
26;8;4;37.81442308425903
27;8;4;39.10426115989685
28;7;4;40.64369511604309
29;7;4;41.93699407577515
30;6;4;43.48041129112244
31;6;4;44.76751637458801
32;5;4;46.30609107017517
33;5;4;47.583399295806885
34;5;4;49.13372802734375
35;5;4;50.42624521255493
36;5;4;51.96570611000061
37;5;4;53.24510312080383
38;5;4;54.79841113090515
39;5;4;56.086097955703735
40;5;4;57.642478227615356
41;5;4;58.94993615150452
42;5;4;60.48131203651428
43;5;4;61.78070616722107
44;5;4;63.34233808517456
45;5;4;64.63710618019104
46;5;4;66.18560719490051
47;5;4;67.48329019546509
48;5;4;69.0303361415863
49;5;4;70.32728815078735
50;5;4;71.88799023628235
51;5;4;73.19907927513123
52;5;4;74.76637530326843
53;5;4;76.06172800064087
54;5;4;77.62638521194458
55;5;4;78.93615627288818
56;5;4;80.47937512397766
57;5;4;81.78535413742065
58;5;4;83.33671617507935
59;5;4;84.64345908164978
60;5;4;86.21127605438232
61;5;4;87.50530624389648
62;5;4;89.05996012687683
63;5;4;90.34570503234863
64;5;4;91.90329504013062
65;5;4;93.20447111129761
66;5;4;94.7818832397461
67;5;4;96.08320212364197
68;5;4;97.64501523971558
69;5;4;98.93820118904114
70;5;4;100.49627113342285
71;5;4;101.79855918884277
72;5;4;103.35981011390686
73;5;4;104.64727401733398
74;5;4;106.20853209495544
75;5;4;107.51028823852539
76;6;4;109.088210105896
77;6;4;110.38658118247986
78;6;4;111.95492005348206
79;5;4;113.25771903991699
80;5;4;114.8180661201477
81;5;4;116.12273001670837
82;6;4;117.70023822784424
83;5;4;119.00833010673523
84;6;4;120.57403516769409
85;6;4;121.884348154068
86;6;4;123.45558023452759
87;6;4;124.74935507774353
88;6;4;126.32045698165894
89;6;4;127.61648726463318
90;6;4;129.18935418128967
91;6;4;130.50992727279663
92;6;4;132.07510924339294
93;6;4;133.40135502815247
94;6;4;134.99218010902405
95;6;4;136.29482126235962
96;6;4;137.891122341156
97;6;4;139.20039916038513
98;6;4;140.7544891834259
99;6;4;142.05961918830872
100;6;4;143.6262080669403
101;6;4;144.9330313205719
102;6;4;146.5028281211853
103;6;4;147.80171918869019
104;6;4;149.36773419380188
105;6;4;150.66556811332703
106;6;4;152.23213911056519
107;6;4;153.53912234306335
108;6;4;155.1054379940033
109;6;4;156.42521619796753
110;6;4;158.03031611442566
111;6;4;159.3325650691986
112;6;4;160.90616130828857
113;6;4;162.20753717422485
114;6;4;163.785560131073
115;6;4;165.0908591747284
116;6;4;166.66025519371033
117;6;4;167.96853709220886
118;6;4;169.5381419658661
119;6;4;170.84303331375122
120;6;4;172.41325426101685
121;6;4;173.7212359905243
122;6;4;175.30762219429016
123;6;4;176.6082592010498
124;6;4;178.18235111236572
125;6;4;179.48610997200012
126;6;4;181.0585741996765
127;7;4;182.36761617660522
128;7;4;183.95133018493652
129;7;4;185.25740814208984
130;7;4;186.83074426651
131;7;4;188.14787316322327
132;7;4;189.72384428977966
133;7;4;191.04495429992676
134;7;4;192.61413097381592
135;7;4;193.93357014656067
136;6;4;195.52207899093628
137;7;4;196.84387516975403
138;6;4;198.43417501449585
139;6;4;199.73939108848572
140;7;4;201.3465461730957
141;7;4;202.66901421546936
142;7;4;204.24501204490662
143;7;4;205.55409216880798
144;7;4;207.13318419456482
145;7;4;208.44125127792358
146;7;4;210.01638913154602
147;7;4;211.33686304092407
148;7;4;212.92530822753906
149;7;4;214.24135398864746
150;7;4;215.82017517089844
151;7;4;217.12787008285522
152;7;4;218.7068030834198
153;7;4;220.03078198432922
154;7;4;221.61160135269165
155;7;4;222.92808723449707
156;7;4;224.51412916183472
157;7;4;225.8230221271515
158;7;4;227.42747616767883
159;7;4;228.72826027870178
160;7;4;230.3123152256012
161;7;4;231.62425827980042
162;7;4;233.2041311264038
163;7;4;234.52504706382751
164;7;4;236.08910703659058
165;7;4;237.42424726486206
166;7;4;239.03477931022644
167;7;4;240.34724831581116
168;8;4;241.93589305877686
169;8;4;243.24537134170532
170;8;4;244.82624912261963
171;8;4;246.14089226722717
172;8;4;247.72345614433289
