generations;average_fitness;best_fitness;time
0;50;40;0.16338562965393066
1;42;34;0.3180806636810303
2;37;31;0.4716789722442627
3;34;28;0.5978119373321533
4;31;26;0.7523179054260254
5;29;25;0.87823486328125
6;27;23;1.0278446674346924
7;26;20;1.1832666397094727
8;23;19;1.310755729675293
9;21;18;1.4680027961730957
10;20;17;1.5925445556640625
11;19;17;1.7489006519317627
12;19;16;1.9083917140960693
13;18;14;2.0330398082733154
14;18;14;2.1968507766723633
15;17;14;2.3224446773529053
16;16;14;2.48420786857605
17;16;13;2.6383047103881836
18;16;12;2.7679288387298584
19;15;11;2.927952766418457
20;14;9;3.055661678314209
21;13;9;3.2098288536071777
22;12;6;3.3678388595581055
23;11;6;3.4914708137512207
24;9;6;3.64607572555542
25;9;6;3.7747907638549805
26;9;6;3.928440809249878
27;9;6;4.078139781951904
28;9;6;4.203964710235596
29;9;4;4.363036870956421
30;9;4;4.516578674316406
31;7;4;4.6433727741241455
32;7;4;4.798799753189087
33;7;4;4.928368806838989
34;7;4;5.081166744232178
35;7;4;5.238269805908203
36;7;4;5.3686888217926025
37;7;4;5.532191514968872
38;7;4;5.664705753326416
39;7;4;5.823153734207153
40;7;4;5.977224826812744
41;7;4;6.1019446849823
42;7;4;6.256344795227051
43;7;4;6.385957717895508
44;7;4;6.5379626750946045
45;7;4;6.697796821594238
46;7;4;6.82457971572876
47;7;4;6.9844207763671875
48;7;4;7.10664176940918
49;7;4;7.254797697067261
50;7;4;7.404804706573486
51;7;4;7.532527685165405
52;7;4;7.690578937530518
53;7;4;7.8150646686553955
54;7;4;7.9658026695251465
55;7;4;8.127533674240112
56;7;4;8.255526781082153
57;7;4;8.415955781936646
58;7;4;8.576907634735107
59;6;4;8.705507755279541
60;7;4;8.863547801971436
61;7;4;8.993628740310669
62;6;4;9.14828872680664
63;6;4;9.305349826812744
64;7;4;9.431536674499512
65;7;4;9.584831953048706
66;7;4;9.71456265449524
67;7;4;9.869278907775879
68;7;4;10.023591756820679
69;7;4;10.149541854858398
70;7;4;10.310780763626099
71;7;4;10.437245845794678
72;7;4;10.590590953826904
73;7;4;10.747735738754272
74;7;4;10.874674797058105
75;7;4;11.041385889053345
76;7;4;11.163389921188354
77;7;4;11.317984580993652
78;7;4;11.471916675567627
79;7;4;11.599003791809082
80;7;4;11.760206699371338
81;7;4;11.890549659729004
82;6;4;12.04422378540039
83;7;4;12.207231998443604
84;7;4;12.336042642593384
85;6;4;12.494504928588867
86;7;4;12.650113582611084
87;7;4;12.781875848770142
88;7;4;12.941794633865356
89;7;4;13.070956707000732
90;7;4;13.232212781906128
91;7;4;13.390898942947388
92;7;4;13.518675804138184
93;7;4;13.673036575317383
94;7;4;13.80126953125
95;6;4;13.956450700759888
96;7;4;14.114570617675781
97;7;4;14.243724584579468
98;7;4;14.395286560058594
99;7;4;14.52558970451355
100;7;4;14.686907768249512
101;7;4;14.843771696090698
102;7;4;14.970595836639404
103;7;4;15.12905764579773
104;7;4;15.256013631820679
105;7;4;15.4125337600708
106;7;4;15.565451622009277
107;6;4;15.688292741775513
108;7;4;15.844627857208252
109;6;4;15.97768497467041
110;7;4;16.136369705200195
111;7;4;16.296796798706055
112;7;4;16.428277730941772
113;7;4;16.58574676513672
114;7;4;16.747013807296753
115;7;4;16.87257671356201
116;7;4;17.0287127494812
117;7;4;17.1524338722229
118;7;4;17.32084369659424
119;7;4;17.475602865219116
120;7;4;17.606592655181885
121;7;4;17.76208472251892
122;7;4;17.892374753952026
123;7;4;18.043113946914673
124;7;4;18.19428253173828
125;7;4;18.324432849884033
126;7;4;18.481058597564697
127;7;4;18.604931831359863
128;7;4;18.762906789779663
129;7;4;18.92031478881836
130;6;4;19.046655893325806
131;7;4;19.204705715179443
132;7;4;19.3295738697052
133;7;4;19.48784875869751
134;7;4;19.647104740142822
135;7;4;19.77594757080078
136;7;4;19.931880950927734
137;7;4;20.095707893371582
138;7;4;20.221263647079468
139;7;4;20.37840485572815
140;7;4;20.50355362892151
141;7;4;20.661016702651978
142;7;4;20.813292741775513
143;7;4;20.935476779937744
144;7;4;21.09418272972107
145;7;4;21.218307733535767
146;7;4;21.372240781784058
147;7;4;21.53377890586853
148;7;4;21.661795616149902
149;7;4;21.823328733444214
150;7;4;21.9524827003479
151;7;4;22.11087465286255
152;7;4;22.269012928009033
153;7;4;22.39848780632019
154;7;4;22.561524868011475
155;7;4;22.69361686706543
156;7;4;22.850246906280518
157;7;4;23.009047746658325
158;7;4;23.135141849517822
159;7;4;23.285316705703735
160;7;4;23.41150164604187
161;7;4;23.573113679885864
162;7;4;23.732776880264282
163;7;4;23.855573654174805
164;6;4;24.01651883125305
165;7;4;24.178590774536133
166;7;4;24.306302785873413
167;7;4;24.458293676376343
168;7;4;24.58901357650757
169;7;4;24.75099754333496
170;7;4;24.90900182723999
171;7;4;25.043968677520752
172;7;4;25.20202374458313
173;7;4;25.33364772796631
174;7;4;25.492538690567017
175;6;4;25.649191856384277
176;7;4;25.7788827419281
177;7;4;25.942012786865234
178;7;4;26.069324731826782
