generations;average_fitness;best_fitness;time
0;48;31;1.7229490280151367
1;38;26;3.2800891399383545
2;31;22;4.587280035018921
3;27;18;6.170950889587402
4;23;15;7.48498797416687
5;19;13;9.114091157913208
6;17;13;10.435920000076294
7;15;11;12.081510066986084
8;15;11;13.43295693397522
9;14;10;15.073569059371948
10;13;9;16.42422890663147
11;12;8;18.10050320625305
12;11;7;19.472316026687622
13;11;6;21.177528858184814
14;10;6;22.5364511013031
15;9;6;24.236804962158203
16;9;5;25.630839109420776
17;9;5;27.31291699409485
18;8;5;28.68157124519348
19;8;5;30.38538098335266
20;8;5;31.75937795639038
21;8;4;33.4593448638916
22;8;4;34.82544493675232
23;7;2;36.54150986671448
24;7;2;37.90897488594055
25;6;2;39.62889003753662
26;5;2;41.024882078170776
27;5;2;42.743216037750244
28;5;2;44.137274980545044
29;5;2;45.86152100563049
30;5;2;47.242491006851196
31;5;2;48.97332000732422
32;5;2;50.35326600074768
33;5;2;52.07331418991089
34;5;2;53.47049617767334
35;5;2;55.201977014541626
36;5;2;56.59435820579529
37;5;2;58.35103106498718
38;5;2;59.746286153793335
39;5;2;61.472699880599976
40;5;2;62.86691403388977
41;5;2;64.59625506401062
42;5;2;65.99145817756653
43;5;2;67.72851514816284
44;5;2;69.13697218894958
45;5;2;70.86592698097229
46;5;2;72.25962924957275
47;5;2;74.0034670829773
48;5;2;75.40094304084778
49;5;2;77.16051697731018
50;5;2;78.55444002151489
51;5;2;80.29708194732666
52;5;2;81.69395208358765
53;5;2;83.44320487976074
54;5;2;84.83747911453247
55;5;2;86.58373403549194
56;5;2;87.98732805252075
57;5;2;89.72815608978271
58;5;2;91.13679218292236
59;5;0;92.89460515975952
