generations;average_fitness;best_fitness;time
0;52;37;0.6573028564453125
1;52;37;1.197739839553833
2;53;38;1.878174066543579
3;53;36;2.4449410438537598
4;53;36;3.1604011058807373
5;53;36;3.7189669609069824
6;54;39;4.376780986785889
7;54;37;4.930350065231323
8;54;38;5.590528964996338
9;54;36;6.143551826477051
10;54;37;6.808746814727783
11;55;41;7.363448858261108
12;55;40;8.036073207855225
13;55;41;8.589674234390259
14;55;37;9.250483989715576
15;55;41;9.811625003814697
16;55;43;10.47618293762207
17;55;41;11.03256106376648
18;55;39;11.702945947647095
19;55;39;12.262510061264038
20;55;41;12.938431978225708
21;55;42;13.501731872558594
22;55;35;14.165140151977539
23;55;41;14.725083112716675
24;55;42;15.395475149154663
25;56;40;15.962834119796753
26;55;38;16.63112211227417
27;55;40;17.196969032287598
28;55;41;17.876487970352173
29;56;39;18.435614109039307
30;56;39;19.106842041015625
31;56;35;19.67691397666931
32;56;41;20.357890844345093
33;56;42;20.93727993965149
34;56;43;21.610978841781616
35;56;41;22.1736741065979
36;56;40;22.851686000823975
37;56;41;23.413555145263672
38;56;42;24.096767902374268
39;56;37;24.66072702407837
40;56;39;25.341761827468872
41;56;37;25.909621238708496
42;56;40;26.610103845596313
43;55;39;27.18172812461853
44;56;36;27.8703830242157
45;56;39;28.441776037216187
46;56;41;29.120271921157837
47;56;43;29.686047077178955
48;56;42;30.36605191230774
49;56;41;30.93087100982666
50;56;40;31.612181186676025
51;56;43;32.17931413650513
52;56;40;32.86473512649536
53;56;41;33.426934003829956
54;57;40;34.099069118499756
55;57;39;34.6726770401001
56;57;42;35.359987020492554
57;57;43;35.92643594741821
58;57;40;36.59828281402588
59;57;40;37.16178297996521
60;56;34;37.84865999221802
61;57;39;38.41504502296448
62;56;40;39.08993697166443
63;56;41;39.660706996917725
64;56;41;40.33557605743408
65;56;41;40.91371703147888
66;56;40;41.602128982543945
67;56;41;42.164978981018066
68;57;44;42.84484386444092
69;57;42;43.408231019973755
70;57;41;44.08375692367554
71;57;39;44.65128421783447
72;57;38;45.328227043151855
73;57;43;45.89453601837158
74;57;41;46.56838011741638
75;56;39;47.13510704040527
76;57;44;47.85037302970886
77;56;41;48.43830895423889
78;56;41;49.12204313278198
79;56;43;49.690043926239014
80;56;41;50.369828939437866
81;57;37;50.93406915664673
82;56;43;51.61174416542053
83;57;35;52.18678689002991
84;57;41;52.88578391075134
85;56;39;53.452882051467896
86;56;39;54.12533903121948
87;57;43;54.693767070770264
88;57;41;55.37008190155029
89;57;41;55.946237087249756
90;57;44;56.61975693702698
91;57;39;57.18724703788757
92;57;42;57.87849688529968
93;57;43;58.45473384857178
94;57;43;59.13933610916138
95;56;41;59.705698013305664
96;56;42;60.38078713417053
97;56;40;60.94583487510681
98;56;42;61.625953912734985
99;57;39;62.18954515457153
100;56;44;62.882232904434204
101;56;39;63.45339798927307
102;56;42;64.13491106033325
103;56;41;64.69956994056702
104;56;40;65.37343406677246
105;56;41;65.94545698165894
106;56;41;66.62442898750305
107;56;42;67.19198393821716
108;56;44;67.88902688026428
109;56;42;68.45765590667725
110;57;42;69.13433885574341
111;56;41;69.70543718338013
112;57;38;70.3916289806366
113;57;39;70.95762610435486
114;57;42;71.64130997657776
115;57;42;72.205570936203
116;57;40;72.8917589187622
117;57;42;73.46410512924194
118;57;40;74.14356207847595
119;57;43;74.71056604385376
120;57;43;75.39457082748413
121;57;41;75.96019387245178
122;57;36;76.64210104942322
123;57;38;77.20919704437256
124;57;42;77.90556192398071
125;57;38;78.47540593147278
126;57;40;79.16152000427246
127;57;44;79.72981119155884
128;57;43;80.41512703895569
129;57;43;80.98239183425903
130;57;41;81.66184306144714
131;57;43;82.22975397109985
132;57;40;82.93818616867065
133;57;42;83.5150408744812
134;57;41;84.19387292861938
135;57;43;84.77405881881714
136;57;42;85.44943809509277
137;57;40;86.0155611038208
138;57;40;86.70555520057678
139;57;42;87.27349996566772
140;57;43;87.9579689502716
141;57;41;88.53276705741882
142;58;40;89.21147513389587
143;58;38;89.7807719707489
144;57;40;90.46745109558105
145;57;40;91.03955602645874
146;57;41;91.73287892341614
147;57;40;92.30487298965454
148;57;40;93.00695586204529
149;57;41;93.57545208930969
150;57;40;94.26273488998413
151;57;44;94.83185696601868
152;57;41;95.5120120048523
153;57;40;96.08362293243408
154;57;38;96.7565701007843
155;57;41;97.32438206672668
156;57;43;98.02425599098206
157;57;43;98.59531617164612
158;57;44;99.28735995292664
159;57;37;99.85393595695496
