generations;average_fitness;best_fitness;time
0;48;35;0.38601183891296387
1;49;35;0.7133476734161377
2;49;35;1.095472812652588
3;49;34;1.431344747543335
4;48;34;1.764530897140503
5;48;33;2.0970988273620605
6;48;33;2.4359638690948486
7;48;33;2.828925848007202
8;48;33;3.17065691947937
9;48;33;3.5086138248443604
10;48;33;3.8510777950286865
11;48;33;4.184316873550415
12;47;29;4.5830159187316895
13;48;29;4.928823947906494
14;47;29;5.272065877914429
15;47;29;5.618205785751343
16;47;29;5.9607768058776855
17;47;29;6.298892021179199
18;47;27;6.700779914855957
19;47;27;7.0499267578125
20;47;27;7.398774862289429
21;47;27;7.747957944869995
22;46;27;8.089793920516968
23;46;27;8.428627967834473
24;46;27;8.82947301864624
25;46;27;9.17234182357788
26;47;27;9.511286973953247
27;46;27;9.857702732086182
28;46;27;10.232642889022827
29;46;27;10.635648965835571
30;46;27;10.980719804763794
31;47;27;11.325145721435547
32;47;27;11.668685674667358
33;47;27;12.01190185546875
34;46;27;12.430356979370117
35;46;27;12.774237871170044
36;46;27;13.122363805770874
37;47;27;13.471410751342773
38;47;27;13.813223838806152
39;47;27;14.219327926635742
40;46;27;14.568569660186768
41;47;27;14.912745952606201
42;46;27;15.260663986206055
43;46;27;15.60245680809021
44;46;27;16.007304906845093
45;46;27;16.35757279396057
46;46;27;16.702327013015747
47;46;27;17.046085834503174
48;46;27;17.391101837158203
49;46;27;17.796524047851562
50;46;27;18.139588832855225
51;46;27;18.48683190345764
52;46;27;18.83972668647766
53;46;27;19.187412977218628
54;46;27;19.594392776489258
55;46;27;19.943086862564087
56;46;27;20.288547039031982
57;47;27;20.64121985435486
58;47;27;20.98658585548401
59;47;27;21.39329981803894
60;46;27;21.7420437335968
61;47;27;22.0881028175354
62;47;27;22.441690683364868
63;46;27;22.790180683135986
64;47;27;23.199352741241455
65;47;27;23.554608821868896
66;47;27;23.90512990951538
67;47;27;24.25431489944458
68;47;27;24.594778776168823
69;47;27;24.999761819839478
70;47;27;25.34678888320923
71;48;27;25.692535877227783
72;48;27;26.04415202140808
73;47;27;26.388624906539917
74;47;27;26.732062816619873
75;47;27;27.139153718948364
76;48;27;27.492965698242188
77;48;27;27.837390661239624
78;48;27;28.184250831604004
79;47;27;28.525479793548584
80;48;27;28.931201934814453
81;48;27;29.279518842697144
82;48;27;29.624969959259033
83;48;27;29.97237491607666
84;48;27;30.322184801101685
85;48;27;30.73386287689209
86;48;27;31.078821897506714
87;48;27;31.425174951553345
88;48;27;31.769699096679688
89;49;27;32.11325287818909
90;48;27;32.5268919467926
91;48;27;32.8827109336853
92;48;27;33.23348879814148
93;48;27;33.58450484275818
94;48;27;33.92901086807251
95;48;27;34.33312678337097
96;48;27;34.68173170089722
97;48;27;35.03167366981506
98;48;27;35.3914999961853
99;48;27;35.73640179634094
100;48;27;36.081363916397095
101;48;27;36.48540687561035
102;49;27;36.841317892074585
103;49;27;37.188270807266235
104;49;27;37.54868507385254
105;49;27;37.898685932159424
106;49;27;38.308793783187866
107;49;27;38.657553911209106
108;48;27;39.00674295425415
109;49;27;39.35729479789734
110;48;27;39.70071792602539
111;48;27;40.12430381774902
112;48;27;40.47236609458923
113;48;27;40.816704988479614
114;49;27;41.168983936309814
115;48;27;41.51443791389465
116;48;27;41.91855001449585
117;49;27;42.276450872421265
118;49;27;42.629366874694824
119;49;27;42.97879076004028
120;49;27;43.326297760009766
121;49;27;43.66981506347656
122;49;27;44.07530188560486
123;49;27;44.42658472061157
124;49;27;44.774030685424805
125;50;27;45.12955689430237
126;49;27;45.47420883178711
127;50;27;45.8176589012146
128;50;27;46.220924854278564
129;50;27;46.566932916641235
130;50;27;46.91883993148804
131;50;27;47.26545977592468
132;49;27;47.6249577999115
133;49;27;47.97220778465271
134;49;27;48.37528085708618
135;49;27;48.72504687309265
136;50;27;49.07297372817993
137;49;27;49.41976499557495
138;50;27;49.763898849487305
139;50;27;50.17252492904663
140;50;27;50.51968789100647
141;50;27;50.866599798202515
142;49;27;51.21774983406067
143;50;27;51.56079983711243
144;50;27;51.97279191017151
145;50;27;52.32291769981384
146;50;27;52.70399284362793
147;50;27;53.05734872817993
148;50;27;53.40187478065491
149;50;27;53.81760096549988
150;50;27;54.16989994049072
151;50;27;54.517751932144165
152;50;27;54.86473274230957
153;51;27;55.21164679527283
154;50;27;55.61489200592041
155;51;27;55.96429681777954
156;51;27;56.310855865478516
157;50;27;56.656996726989746
158;50;27;57.00024604797363
159;50;27;57.41426873207092
160;51;27;57.76708984375
161;50;27;58.11180782318115
162;50;27;58.46558094024658
163;51;27;58.8132688999176
164;50;27;59.22108793258667
165;50;27;59.57184982299805
166;50;27;59.91843891143799
167;50;27;60.26496982574463
