generations;average_fitness;best_fitness;time
0;40;32;0.38794970512390137
1;37;27;0.715937614440918
2;33;24;1.112764835357666
3;31;20;1.4466538429260254
4;27;19;1.7770938873291016
5;25;19;2.1128246784210205
6;24;17;2.4430088996887207
7;24;14;2.8305087089538574
8;21;12;3.1627109050750732
9;20;12;3.496271848678589
10;19;11;3.831749677658081
11;18;11;4.167301893234253
12;18;11;4.561192750930786
13;18;9;4.897956848144531
14;16;9;5.2322838306427
15;16;9;5.572059869766235
16;16;7;5.909283638000488
17;15;6;6.3042707443237305
18;14;6;6.641557931900024
19;14;5;6.973031759262085
20;13;5;7.307936906814575
21;13;5;7.639214754104614
22;13;5;8.029826641082764
23;13;5;8.362853765487671
24;12;5;8.696013689041138
25;12;4;9.031816959381104
26;12;4;9.374517917633057
27;12;4;9.768840789794922
28;12;4;10.103758811950684
29;12;4;10.43635892868042
30;12;4;10.77173399925232
31;11;3;11.104399681091309
32;11;3;11.435384750366211
33;12;3;11.827261924743652
34;11;3;12.164180994033813
35;11;3;12.503919839859009
36;11;3;12.844303846359253
37;11;3;13.17662787437439
38;11;3;13.58276081085205
39;11;3;13.920241832733154
40;10;3;14.268022775650024
41;11;3;14.604328870773315
42;11;3;14.941267967224121
43;11;3;15.333921670913696
44;11;3;15.670584678649902
45;11;3;16.005574703216553
46;11;3;16.34240484237671
47;10;3;16.673272848129272
48;11;3;17.068599700927734
49;10;3;17.40589475631714
50;11;3;17.739592790603638
51;10;3;18.074752807617188
52;11;3;18.42210292816162
53;11;3;18.81447172164917
54;10;3;19.156529903411865
55;10;3;19.493029832839966
56;11;3;19.839094638824463
57;11;3;20.178014755249023
58;11;3;20.574456691741943
59;11;3;20.91287088394165
60;11;3;21.248840808868408
61;11;3;21.583881855010986
62;11;3;21.91578698158264
63;11;3;22.30872392654419
64;11;3;22.64363980293274
65;10;3;22.978529691696167
66;10;3;23.315584897994995
67;11;3;23.64897084236145
68;10;3;24.04237174987793
69;11;3;24.38949465751648
70;10;3;24.723920822143555
71;11;3;25.058814764022827
72;11;3;25.390928745269775
73;11;3;25.725231885910034
74;11;3;26.115020751953125
75;10;3;26.45182991027832
76;11;3;26.785818815231323
77;11;3;27.122084856033325
78;10;3;27.463438749313354
79;10;3;27.857868671417236
80;11;3;28.1975679397583
81;11;3;28.537259817123413
82;11;3;28.871861934661865
83;10;3;29.233609914779663
84;11;3;29.630499839782715
85;11;3;29.96867299079895
86;10;3;30.30335569381714
87;11;3;30.643093824386597
88;10;3;30.97461175918579
89;11;3;31.367227792739868
90;10;3;31.70297861099243
91;10;3;32.03962802886963
92;11;3;32.374573707580566
93;11;3;32.70949459075928
94;11;3;33.105703830718994
95;11;3;33.443458795547485
96;10;3;33.782564878463745
97;11;3;34.13134694099426
98;11;3;34.467264890670776
99;11;3;34.86201763153076
100;11;3;35.19941186904907
101;11;3;35.53193187713623
102;10;3;35.8696346282959
103;11;3;36.21300458908081
104;11;3;36.609325647354126
105;11;3;36.94868469238281
106;10;3;37.281789779663086
107;10;3;37.61572766304016
108;10;3;37.95951581001282
109;11;3;38.35697674751282
110;11;3;38.69562578201294
111;11;3;39.031370878219604
112;10;3;39.3869047164917
113;11;3;39.720337867736816
114;11;3;40.05903887748718
115;11;3;40.45017385482788
116;10;3;40.78593373298645
117;10;3;41.123143911361694
118;10;3;41.459760904312134
119;11;3;41.796069860458374
120;11;3;42.19629788398743
121;10;3;42.53724789619446
122;11;3;42.871325731277466
123;11;3;43.20783591270447
124;11;3;43.54201292991638
125;10;3;43.93897271156311
126;11;3;44.29102683067322
127;11;3;44.63078498840332
128;11;3;44.97507882118225
129;11;3;45.309441804885864
130;11;3;45.709882736206055
131;10;3;46.05345273017883
132;10;3;46.3878288269043
133;11;3;46.72234797477722
134;11;3;47.0571026802063
135;11;3;47.452637910842896
136;11;3;47.793442726135254
137;11;3;48.13204765319824
138;11;3;48.47474670410156
139;11;3;48.81455898284912
140;11;3;49.213846921920776
141;11;3;49.565502882003784
142;11;3;49.90237998962402
143;11;3;50.237955808639526
144;11;3;50.57368874549866
145;10;3;50.97000479698181
146;10;3;51.30893683433533
147;10;3;51.645402669906616
148;11;3;51.98056983947754
149;10;3;52.31415867805481
150;11;3;52.710885763168335
151;11;3;53.05041980743408
152;10;3;53.384705781936646
153;10;3;53.72399282455444
154;11;3;54.05671191215515
155;10;3;54.39764475822449
156;10;3;54.79046082496643
157;11;3;55.12539577484131
158;10;3;55.4599826335907
159;11;3;55.798855781555176
160;11;3;56.14045572280884
161;11;3;56.53423261642456
162;11;3;56.87248682975769
163;11;3;57.207359790802
164;11;3;57.542980670928955
165;11;3;57.878052711486816
166;11;3;58.27244782447815
167;11;3;58.61121201515198
168;11;3;58.94961380958557
169;11;3;59.29495191574097
170;11;3;59.6320698261261
171;11;3;60.03061485290527
172;11;3;60.368703842163086
173;11;3;60.70355463027954
174;11;3;61.04291296005249
175;11;3;61.38102865219116
176;11;3;61.775967836380005
177;10;3;62.114842891693115
178;11;3;62.45094966888428
179;10;3;62.78718686103821
180;11;3;63.13016486167908
