generations;average_fitness;best_fitness;time
0;48;35;1.6501963138580322
1;45;33;2.9106950759887695
2;43;30;4.4520440101623535
3;42;29;5.774198055267334
4;40;29;7.298371076583862
5;38;27;8.600931167602539
6;37;27;10.145960092544556
7;36;25;11.4548180103302
8;34;25;13.022064208984375
9;33;23;14.324341058731079
10;32;22;15.888520240783691
11;31;22;17.20269012451172
12;30;21;18.76356291770935
13;30;21;20.077802896499634
14;28;20;21.64107322692871
15;28;19;22.95219612121582
16;27;14;24.541726112365723
17;26;14;25.854910135269165
18;25;14;27.459129095077515
19;24;14;28.804599046707153
20;23;14;30.372938871383667
21;22;13;31.698111295700073
22;21;12;33.29205513000488
23;20;12;34.6150541305542
24;19;11;36.216350078582764
25;19;10;37.548705101013184
26;18;7;39.16007328033447
27;17;7;40.50445818901062
28;17;7;42.08986687660217
29;16;4;43.42607808113098
30;16;4;45.06370496749878
31;15;4;46.41671419143677
32;14;4;48.008811950683594
33;13;4;49.36164212226868
34;12;4;50.95719003677368
35;11;4;52.29246711730957
36;10;4;53.91433525085449
37;9;4;55.240118980407715
38;8;4;56.83994507789612
39;7;4;58.15359616279602
40;7;4;59.776758909225464
41;7;4;61.37206816673279
42;7;4;62.70198106765747
43;7;4;64.30327105522156
44;7;4;65.62359714508057
45;7;4;67.22383713722229
46;7;4;68.82308411598206
47;7;4;70.14924001693726
48;7;4;71.7590880393982
49;7;4;73.07473611831665
50;7;4;74.69138312339783
51;7;4;76.29875922203064
52;7;4;77.62249112129211
53;7;4;79.22963309288025
54;7;4;80.56190991401672
55;7;4;82.1736512184143
56;7;4;83.7919430732727
57;7;4;85.13731408119202
58;7;4;86.72951316833496
59;6;4;88.04655504226685
60;7;4;89.66988015174866
61;6;4;91.27010703086853
62;6;4;92.58061623573303
63;6;4;94.18838405609131
64;6;4;95.51869010925293
65;6;4;97.12041711807251
66;6;4;98.70757699012756
67;6;4;100.03791522979736
68;6;4;101.64692306518555
69;6;4;102.96978306770325
70;6;4;104.59236025810242
71;6;4;106.1844699382782
72;6;4;107.50554323196411
73;6;4;109.1063621044159
74;6;4;110.4370641708374
75;6;4;112.04082703590393
76;6;4;113.63175702095032
77;6;4;114.96019911766052
78;6;4;116.57103705406189
79;6;4;117.89805102348328
80;6;4;119.50729012489319
81;6;4;120.83844017982483
82;6;4;122.46168327331543
83;6;4;123.79763698577881
84;6;4;125.44220995903015
85;6;4;126.76821494102478
86;6;4;128.36783003807068
87;6;4;129.69452214241028
88;6;4;131.3108901977539
89;6;4;132.90166020393372
90;6;4;134.23160219192505
91;6;4;135.83720421791077
92;6;4;137.15307807922363
93;6;4;138.77152609825134
94;6;4;140.10389494895935
95;6;4;141.70788717269897
96;6;4;143.02947187423706
97;6;4;144.63904809951782
98;6;4;145.97705698013306
99;6;4;147.57999992370605
100;6;4;148.9076452255249
101;6;4;150.51633191108704
102;6;4;151.84699010849
103;6;4;153.41836404800415
104;6;4;154.75412917137146
105;6;4;156.35345029830933
106;6;4;157.67094612121582
107;6;4;159.2875530719757
108;6;4;160.60599493980408
109;6;4;162.20307302474976
110;6;4;163.53114414215088
111;6;4;165.12787508964539
112;6;4;166.48132514953613
113;6;4;168.08671522140503
114;5;4;169.42369723320007
115;6;4;171.0252809524536
116;6;4;172.35462594032288
117;6;4;173.96144008636475
118;6;4;175.30569410324097
119;6;4;176.85879802703857
120;6;4;178.19100308418274
121;6;4;179.79392004013062
122;6;4;181.12306022644043
123;6;4;182.7273030281067
124;6;4;184.0477740764618
125;6;4;185.66781306266785
126;6;4;186.9945662021637
127;6;4;188.57190799713135
128;6;4;189.90808606147766
129;6;4;191.50029611587524
130;6;4;192.81884217262268
131;6;4;194.44064712524414
132;6;4;195.77185702323914
133;6;4;197.37161803245544
134;6;4;198.70435118675232
135;6;4;200.2696659564972
136;6;4;201.60271620750427
137;6;4;203.20921516418457
138;6;4;204.5826051235199
139;6;4;206.2035219669342
140;6;4;207.52144622802734
141;6;4;209.13044023513794
142;6;4;210.49052000045776
143;6;4;212.0777461528778
144;6;4;213.41026496887207
145;6;4;215.02510619163513
146;6;4;216.35889101028442
147;6;4;217.97959804534912
148;6;4;219.30478715896606
149;6;4;220.93665194511414
150;6;4;222.26707291603088
151;6;4;223.86885595321655
152;6;4;225.21163702011108
153;6;4;226.8433210849762
154;6;4;228.171293258667
155;6;4;229.78732204437256
156;6;4;231.11218905448914
157;6;4;232.73157596588135
158;6;4;234.05771207809448
159;6;4;235.67229104042053
160;6;4;237.00095105171204
161;6;4;238.62879824638367
162;6;4;239.96083116531372
163;6;4;241.57425498962402
164;6;4;243.18223404884338
165;6;4;244.51651310920715
166;6;4;246.13113522529602
167;6;4;247.49124908447266
168;6;4;249.10200595855713
169;6;4;250.70938324928284
170;6;4;252.03626012802124
171;6;4;253.657408952713
172;6;4;254.9912600517273
173;6;4;256.60226702690125
174;6;4;258.2075660228729
175;6;4;259.538250207901
176;6;4;261.1559491157532
177;6;4;262.48007321357727
178;6;4;264.0814940929413
