generations;average_fitness;best_fitness;time
0;47;35;0.1347179412841797
1;45;35;0.26195383071899414
2;42;33;0.36542391777038574
3;42;33;0.4943559169769287
4;41;31;0.5979709625244141
5;40;31;0.7266979217529297
6;39;30;0.8305919170379639
7;39;30;0.9539039134979248
8;38;30;1.0581798553466797
9;37;26;1.1955509185791016
10;37;26;1.3005120754241943
11;36;26;1.4261858463287354
12;35;23;1.5301718711853027
13;34;23;1.6540799140930176
14;33;23;1.757969856262207
15;33;23;1.8822999000549316
16;32;23;1.9865286350250244
17;32;22;2.1167938709259033
18;31;22;2.2211389541625977
19;30;22;2.345118999481201
20;29;22;2.4488446712493896
21;28;21;2.5734269618988037
22;27;20;2.6775267124176025
23;26;20;2.801586866378784
24;26;16;2.9056427478790283
25;25;16;3.0306577682495117
26;24;16;3.134929895401001
27;24;16;3.2652409076690674
28;23;16;3.374011754989624
29;23;16;3.502213954925537
30;22;15;3.605595827102661
31;21;14;3.735413074493408
32;21;11;3.8393778800964355
33;20;11;3.9638609886169434
34;20;11;4.067959785461426
35;19;11;4.192721843719482
36;18;11;4.296801805496216
37;18;11;4.421782732009888
38;17;11;4.525746822357178
39;16;11;4.650778770446777
40;16;11;4.754555940628052
41;16;11;4.8785529136657715
42;16;11;4.98235297203064
43;15;10;5.109067678451538
44;15;10;5.213268041610718
45;15;10;5.338207006454468
46;15;10;5.442025899887085
47;15;10;5.567128896713257
48;15;10;5.671066761016846
49;14;10;5.795287847518921
50;14;10;5.899035930633545
51;14;10;6.022982835769653
52;14;10;6.126755714416504
53;15;9;6.2509448528289795
54;14;9;6.354662895202637
55;14;9;6.478833913803101
56;14;9;6.582491874694824
57;14;9;6.706992864608765
58;14;9;6.810553789138794
59;14;9;6.93473482131958
60;14;9;7.038503885269165
61;14;9;7.167823791503906
62;14;9;7.272089719772339
63;14;7;7.395718812942505
64;15;7;7.499831676483154
65;14;7;7.6240997314453125
66;13;7;7.72812294960022
67;13;7;7.851787090301514
68;13;7;7.955514907836914
69;13;7;8.079768896102905
70;13;7;8.183472871780396
71;13;7;8.311916828155518
72;12;7;8.415680646896362
73;13;7;8.53977084159851
74;13;7;8.64362382888794
75;13;7;8.777877807617188
76;12;7;8.881135940551758
