generations;average_fitness;best_fitness;time
0;57;42;0.7132289409637451
1;57;43;1.1313023567199707
2;56;38;1.8194365501403809
3;56;42;2.2562789916992188
4;56;41;2.949985980987549
5;56;42;3.3906099796295166
6;56;42;4.066447019577026
7;56;43;4.5091845989227295
8;56;43;5.1975202560424805
9;56;43;5.64009165763855
10;56;44;6.3213958740234375
11;56;42;6.775909423828125
12;56;42;7.461419582366943
13;56;42;7.90380334854126
14;56;41;8.589769124984741
15;56;41;9.037642478942871
16;56;39;9.73379111289978
17;56;43;10.177882671356201
18;56;42;10.871790885925293
19;56;43;11.590635538101196
20;56;40;12.030492305755615
21;56;43;12.751877784729004
22;56;44;13.191735982894897
23;56;43;13.895840167999268
24;56;40;14.34430742263794
25;56;41;15.056270837783813
26;56;45;15.50793194770813
27;56;41;16.209725379943848
28;56;41;16.659892797470093
29;55;40;17.35410165786743
30;55;40;17.805002689361572
31;54;40;18.51318860054016
32;54;37;19.229941844940186
33;54;39;19.683687448501587
34;54;41;20.407426595687866
35;54;38;20.85924792289734
36;54;37;21.570526838302612
37;54;37;22.023921489715576
38;54;35;22.72406816482544
39;54;41;23.17722511291504
40;54;40;23.876250505447388
41;54;43;24.334065198898315
42;54;43;25.082092761993408
43;55;41;25.82926106452942
44;55;39;26.27753973007202
45;54;39;27.01406478881836
46;55;40;27.46064853668213
47;54;40;28.170523643493652
48;54;40;28.632000207901
49;54;40;29.348822355270386
50;54;41;29.807419300079346
51;54;40;30.534125328063965
52;54;41;30.988757133483887
53;54;35;31.815834522247314
54;54;35;32.35458207130432
55;54;37;33.100847005844116
56;54;38;33.572076082229614
57;54;34;34.29580783843994
58;54;34;34.75450801849365
59;54;38;35.464574337005615
60;54;38;35.93170213699341
61;54;38;36.63931345939636
62;54;37;37.35875487327576
63;54;39;37.80432963371277
64;54;37;38.55195617675781
65;54;39;38.999836683273315
66;54;39;39.72321271896362
67;54;39;40.17699575424194
68;55;39;40.89094281196594
69;55;40;41.34521436691284
70;54;38;42.0550012588501
71;54;37;42.508437156677246
72;54;37;43.218547344207764
73;54;37;43.95247292518616
74;55;37;44.403541803359985
75;55;37;45.14457702636719
76;55;37;45.59760618209839
77;55;37;46.32428526878357
78;55;37;46.794838190078735
79;55;41;47.52129340171814
80;55;38;47.980589151382446
81;55;36;48.700265407562256
82;55;36;49.173768281936646
83;55;36;49.908188581466675
84;55;37;50.38148880004883
85;55;36;51.10470199584961
86;55;37;51.84026098251343
87;55;37;52.322290897369385
88;55;38;53.05030298233032
89;55;41;53.50604748725891
90;55;38;54.22128248214722
91;55;43;54.69323229789734
92;56;40;55.41386151313782
93;56;40;56.17492175102234
94;56;40;56.63185381889343
95;56;38;57.3607873916626
96;57;38;57.81819033622742
97;57;38;58.5254020690918
98;57;38;58.984236001968384
99;57;41;59.700841188430786
100;57;42;60.165417194366455
101;57;42;60.8915741443634
102;57;44;61.36591386795044
103;57;46;62.160452127456665
104;57;44;62.97574043273926
105;57;42;63.45591378211975
106;57;41;64.20331716537476
107;57;39;64.66366386413574
108;57;43;65.37593293190002
109;57;46;65.829913854599
110;57;46;66.54063034057617
111;57;43;67.00382852554321
112;57;43;67.71205306053162
113;57;44;68.4564745426178
114;57;41;68.91568756103516
115;57;44;69.6480164527893
116;56;44;70.10155963897705
117;57;43;70.82627749443054
118;57;41;71.28077006340027
119;56;41;71.9981062412262
120;56;45;72.45636415481567
121;56;45;73.17873096466064
122;56;41;73.63878965377808
123;56;40;74.3605625629425
124;56;40;74.82170033454895
125;56;38;75.53409695625305
126;56;43;75.98860383033752
127;56;41;76.70361804962158
128;56;43;77.4320936203003
129;56;39;77.88282418251038
130;56;43;78.6180968284607
131;56;40;79.09179615974426
132;56;42;79.80620551109314
133;56;42;80.26222825050354
134;56;44;80.98376703262329
135;56;39;81.44831871986389
136;56;44;82.16168403625488
137;57;42;82.88753867149353
138;57;46;83.34034395217896
139;58;45;84.08273482322693
140;58;45;84.52689504623413
141;58;47;85.2502064704895
142;58;46;85.7053656578064
143;59;46;86.427166223526
144;59;45;86.88339400291443
145;59;45;87.61649441719055
146;59;45;88.34602570533752
147;59;46;88.80007553100586
148;59;46;89.52884197235107
149;59;46;89.97981405258179
150;59;49;90.70198178291321
151;59;48;91.16875624656677
152;60;48;91.89483737945557
153;59;47;92.34737014770508
154;59;48;93.05654191970825
155;59;48;93.51416540145874
156;59;48;94.23500537872314
157;59;49;94.68758177757263
158;59;47;95.39825105667114
159;60;47;96.13370394706726
160;60;45;96.57830882072449
161;60;47;97.31360507011414
162;60;48;97.75954294204712
163;60;48;98.46833610534668
164;60;48;98.93094635009766
165;60;49;99.64239597320557
166;59;47;100.10681247711182
167;59;45;100.81853485107422
168;60;47;101.27481436729431
169;60;47;101.983163356781
170;60;48;102.71902775764465
171;60;44;103.17421126365662
