generations;average_fitness;best_fitness;time
0;54;39;1.2831642627716064
1;45;35;2.5253520011901855
2;42;32;3.778184652328491
3;39;28;5.019556760787964
4;36;25;6.335259199142456
5;33;22;7.614032506942749
6;31;21;8.895851612091064
7;29;21;10.231647253036499
8;28;20;11.11229133605957
9;27;16;12.384678602218628
10;26;15;13.685240745544434
11;24;14;14.934616804122925
12;22;14;16.172253131866455
13;21;12;17.432055711746216
14;20;12;18.677765369415283
15;19;12;19.91995644569397
16;18;12;21.148050546646118
17;18;12;22.386213541030884
18;18;12;23.687760829925537
19;18;12;24.987842321395874
20;18;12;26.23224425315857
21;18;12;27.531540632247925
22;18;12;28.78828239440918
23;18;12;29.626387357711792
24;18;12;30.864250659942627
25;18;12;32.089025020599365
26;18;12;33.33756136894226
27;18;12;34.62654662132263
28;18;12;35.95472025871277
29;18;11;37.26944160461426
30;18;11;38.581589698791504
31;18;11;39.84805655479431
32;18;11;41.15621280670166
33;18;11;42.466673135757446
34;18;11;43.76283860206604
35;17;11;45.10605454444885
36;17;11;46.41829061508179
37;17;11;47.323062896728516
38;17;11;48.639559268951416
39;17;11;49.91139841079712
40;17;11;51.25779342651367
41;17;11;52.723079681396484
42;17;11;54.02631592750549
43;17;11;55.34438157081604
44;17;11;56.61998462677002
45;17;11;57.882041692733765
46;17;11;59.1552460193634
47;17;11;60.4266722202301
48;17;11;61.71525812149048
49;17;11;63.04755139350891
50;17;11;64.37667107582092
51;17;11;65.22936415672302
52;17;11;66.43259286880493
53;17;11;67.67066812515259
54;17;11;69.00423192977905
55;17;11;70.25512409210205
56;17;11;71.50783014297485
57;17;11;73.59080672264099
58;17;11;75.84782552719116
59;17;11;77.66956424713135
60;17;11;79.74610662460327
61;17;11;82.05938982963562
62;17;11;84.38599705696106
63;17;11;86.62140560150146
64;17;11;88.89194536209106
65;17;11;90.60856986045837
66;17;11;92.76409673690796
67;17;11;95.00720882415771
68;17;11;97.317626953125
69;17;11;99.53648161888123
70;17;11;101.82215189933777
71;17;11;104.08180832862854
72;17;11;106.34068179130554
73;17;11;108.54504013061523
74;17;11;110.76699542999268
75;17;11;113.05014300346375
76;17;11;115.30324482917786
77;17;11;117.56460452079773
78;17;11;119.77342486381531
79;17;11;122.07956290245056
80;17;11;123.81338167190552
81;17;11;126.06733322143555
82;17;11;128.31761837005615
83;17;11;130.51097559928894
84;17;11;132.8783996105194
85;17;11;135.34271931648254
86;17;11;137.86279463768005
87;17;11;140.39797568321228
88;17;11;142.77050614356995
89;17;11;145.1020965576172
90;17;11;147.34069418907166
91;17;11;149.55288457870483
92;17;11;151.80458760261536
93;17;11;154.06967520713806
94;17;11;156.3605296611786
95;17;11;158.11054158210754
96;17;11;160.37726068496704
97;17;11;162.61855673789978
98;17;11;164.88294672966003
99;17;11;167.21907830238342
100;17;11;169.78656840324402
101;17;11;172.20972204208374
102;17;11;174.6898856163025
103;17;11;177.14065217971802
104;17;11;179.39000582695007
105;18;11;181.70590782165527
106;17;11;184.00409817695618
107;17;11;186.23069167137146
108;17;11;187.98186779022217
109;17;11;190.2338671684265
110;17;11;192.478187084198
111;17;11;194.7552671432495
112;17;11;197.0235230922699
113;17;11;199.33249807357788
114;17;11;201.6546812057495
115;17;11;203.9309265613556
116;17;11;206.2068977355957
117;17;11;208.49866366386414
118;17;11;210.85086464881897
119;17;11;213.15104150772095
120;17;11;215.4303104877472
121;17;11;217.656879901886
122;17;11;219.3764681816101
123;17;11;221.6015944480896
124;17;11;223.85683012008667
125;17;11;226.0803406238556
126;17;11;228.36804008483887
127;17;11;230.62495255470276
128;17;11;232.90253973007202
129;17;11;235.19719195365906
130;17;11;237.46629405021667
131;17;11;239.70245218276978
132;17;11;241.99059081077576
133;18;11;244.26820373535156
134;17;11;246.55335068702698
135;17;11;248.8217351436615
136;17;11;250.54168701171875
137;17;11;252.7655394077301
138;17;11;255.03384232521057
139;17;11;257.32895588874817
140;17;11;259.6044809818268
141;17;11;261.92273712158203
142;17;11;264.1769325733185
143;17;11;266.4353668689728
144;17;11;268.70780539512634
145;17;11;271.03432846069336
146;17;11;273.3115999698639
147;17;11;275.5761892795563
148;17;11;277.8636200428009
149;17;11;280.1827301979065
150;17;11;282.4380910396576
151;17;11;284.2355110645294
152;17;11;286.46176981925964
153;17;11;288.73719692230225
154;17;11;291.0528736114502
155;17;11;293.2755620479584
156;17;11;295.5033996105194
157;17;11;297.75637793540955
158;17;11;300.05852127075195
159;17;11;302.28973627090454
160;17;11;304.5167622566223
161;17;11;306.7661032676697
162;17;11;309.03095746040344
163;17;11;311.31090688705444
164;17;11;313.59120178222656
165;17;11;316.0413484573364
166;17;11;317.80859184265137
167;17;11;319.01669931411743
168;17;11;320.2670726776123
169;17;11;321.5555810928345
170;17;11;322.841609954834
171;17;11;324.09068536758423
172;17;11;325.42479848861694
173;17;11;327.4904863834381
174;17;11;329.6131799221039
175;17;11;331.402028799057
176;17;11;333.2759611606598
177;17;11;335.0918846130371
178;18;11;336.98484349250793
