generations;average_fitness;best_fitness;time
0;51;33;1.9935641288757324
1;41;30;3.1382620334625244
2;36;24;4.650995492935181
3;30;20;6.172359943389893
4;24;17;7.348613500595093
5;20;14;8.836367845535278
6;18;11;10.37970519065857
7;15;10;11.901196479797363
8;13;8;13.054549932479858
9;12;8;14.551725625991821
10;10;7;16.066828727722168
11;10;7;17.5839626789093
12;9;7;18.757017135620117
13;9;7;20.280155658721924
14;9;7;21.79729962348938
15;9;7;23.311197757720947
16;9;7;24.47806429862976
17;8;7;25.996071815490723
18;8;7;27.492114782333374
19;9;7;29.030253887176514
20;9;7;30.18936014175415
21;9;7;31.67709755897522
22;9;7;33.211143016815186
23;8;7;34.734009981155396
24;9;7;35.892797231674194
25;9;7;37.39503002166748
26;9;7;38.9246711730957
27;9;7;40.42687225341797
28;9;7;41.56351184844971
29;9;7;43.08165216445923
30;9;7;44.594374656677246
31;9;7;46.113141775131226
32;9;7;47.264960050582886
33;9;7;48.75839328765869
34;8;7;50.26955008506775
35;8;7;51.809786319732666
36;9;7;52.98605704307556
37;8;7;54.483004093170166
38;9;6;55.99792408943176
39;9;6;57.554726123809814
40;9;5;58.68275022506714
41;8;5;60.19282078742981
42;7;5;61.724971771240234
43;7;5;63.25034999847412
44;7;5;64.39186716079712
45;7;5;65.89318537712097
46;7;5;67.385986328125
47;7;5;69.01385951042175
48;7;5;70.18743014335632
49;7;5;71.78057408332825
50;7;5;73.52209663391113
51;7;5;75.18776392936707
52;7;5;76.34426808357239
53;7;5;77.88090395927429
54;7;5;79.42949628829956
55;7;5;80.9706175327301
56;7;5;82.14462375640869
57;7;5;83.74319410324097
58;7;5;85.2597668170929
59;7;5;86.78680968284607
60;7;5;87.93559312820435
61;7;5;89.44102239608765
62;7;5;90.96221709251404
63;7;5;92.51285862922668
64;7;5;93.69053268432617
65;7;5;95.30075979232788
66;7;5;96.91314840316772
67;7;5;98.51083135604858
68;7;5;99.711585521698
69;7;5;101.22796511650085
70;7;5;102.77020215988159
71;7;5;104.3411500453949
72;7;5;105.53254914283752
73;7;5;107.09106349945068
74;7;5;108.61346387863159
75;7;5;110.17891073226929
76;7;5;111.33261728286743
77;7;5;112.8530786037445
78;7;5;114.37680292129517
79;7;5;115.91181707382202
80;7;5;117.09687876701355
81;7;5;118.63387179374695
82;7;5;120.16221690177917
83;7;5;121.70176768302917
84;7;5;122.86214089393616
85;7;5;124.35761857032776
86;7;5;125.87784147262573
87;7;5;127.42834711074829
88;7;5;128.59224247932434
89;7;5;130.11504673957825
90;7;5;131.6717438697815
91;7;5;133.20656490325928
92;7;5;134.3579888343811
93;7;5;135.87791442871094
94;7;5;137.39437294006348
95;7;5;138.94449019432068
96;7;5;140.13341307640076
97;7;5;141.66199278831482
98;7;5;143.19018363952637
99;7;5;144.72144627571106
100;7;5;145.88240265846252
101;7;5;147.38189554214478
102;7;5;148.92007446289062
103;7;5;150.50216937065125
104;7;5;151.67498779296875
105;7;5;153.2047460079193
106;7;5;154.746235370636
107;7;5;156.30901765823364
108;7;5;157.44749402999878
109;7;5;158.94816279411316
110;7;5;160.47213768959045
111;7;5;162.01479482650757
112;7;5;163.1841561794281
113;7;5;164.68080043792725
114;7;5;166.20413780212402
115;7;5;167.73650121688843
116;7;5;168.89163661003113
117;7;5;170.4211142063141
118;7;5;171.97135949134827
119;7;5;173.53448057174683
120;7;5;174.7086489200592
121;7;5;176.2144660949707
122;7;5;177.74642515182495
123;7;5;179.30308079719543
124;7;5;180.43835401535034
125;7;5;181.98421621322632
126;7;5;183.5201621055603
127;6;5;185.04065322875977
128;7;5;186.20456886291504
129;7;5;187.72006034851074
130;7;5;189.24846363067627
131;7;5;190.8077895641327
132;7;5;191.98264598846436
133;7;5;193.53240299224854
134;7;5;195.07148838043213
135;7;5;196.6306140422821
136;7;5;197.80391669273376
137;7;5;199.3413827419281
138;7;5;200.8910436630249
139;7;5;202.44432973861694
140;7;5;203.60071110725403
141;7;5;205.12226176261902
142;7;5;206.63160824775696
143;7;5;208.16449117660522
144;7;5;209.3342695236206
145;7;5;210.83868288993835
146;7;5;212.36708402633667
147;7;5;213.9160418510437
148;7;5;215.0806427001953
149;7;5;216.58600115776062
150;7;5;218.11727118492126
151;7;5;219.6816155910492
152;7;5;220.8483326435089
153;7;5;222.37352085113525
154;7;5;223.9221031665802
155;7;5;225.49516463279724
156;7;5;226.65710520744324
157;7;5;228.19333338737488
158;7;5;229.74441194534302
159;7;5;231.29441928863525
160;7;5;232.47255444526672
161;7;5;234.0004165172577
162;7;5;235.5226273536682
163;7;5;237.07025146484375
164;7;5;238.23598909378052
165;7;5;239.77536749839783
166;7;5;241.31040287017822
167;7;5;242.87233209609985
168;7;5;244.05669927597046
169;7;5;245.58598685264587
170;7;5;247.13000631332397
171;7;5;248.67231488227844
172;7;5;249.83897161483765
173;7;5;251.36462211608887
174;7;5;252.924489736557
175;7;5;254.47121834754944
176;7;5;255.6436264514923
177;7;5;257.1628692150116
178;7;5;258.70245265960693
179;7;5;260.28411865234375
180;6;5;261.443382024765
181;7;5;262.9595799446106
182;7;5;264.487099647522
183;7;5;266.02668356895447
184;7;5;267.18587160110474
185;7;5;268.7012162208557
186;7;5;270.2666976451874
187;7;5;271.8319160938263
188;7;5;272.9976017475128
189;7;5;274.49740624427795
