generations;average_fitness;best_fitness;time
0;58;40;15.446805238723755
1;46;32;28.620660543441772
2;41;28;43.27363181114197
3;36;25;56.8149151802063
4;33;22;71.51040720939636
5;30;19;84.9324140548706
6;25;15;99.55494046211243
7;21;12;113.13566660881042
8;19;11;127.7092547416687
9;19;10;141.35704851150513
10;17;10;156.08649325370789
11;17;10;169.686354637146
12;16;9;184.21636319160461
13;16;9;197.76435494422913
14;16;9;212.4596185684204
15;15;9;225.84529995918274
16;16;9;238.04323530197144
17;16;9;245.02430701255798
18;16;9;254.86795687675476
19;16;9;263.2998597621918
20;16;9;271.17034935951233
21;15;9;278.2206885814667
22;15;9;286.16624903678894
23;16;9;293.05472326278687
24;16;9;300.8632183074951
25;16;9;307.90157413482666
26;16;9;315.9225585460663
27;16;9;322.99698877334595
28;16;9;331.04876923561096
29;16;9;338.3493015766144
30;16;9;346.6924214363098
31;16;9;353.81429648399353
32;16;9;361.6394498348236
33;15;9;368.83442735671997
34;16;9;376.9300796985626
35;16;9;384.0798554420471
36;15;9;392.0769417285919
37;16;9;399.0960853099823
38;16;9;407.3660452365875
39;16;9;414.4573497772217
40;16;9;422.71688747406006
41;16;9;430.46066975593567
42;16;9;438.64280915260315
43;16;9;445.9382379055023
44;15;9;454.1581747531891
45;16;9;461.6043827533722
46;16;9;469.8439419269562
47;16;9;477.3894958496094
48;16;9;485.5826225280762
49;16;9;492.9633643627167
50;16;9;501.2506721019745
51;16;9;508.5827066898346
52;16;9;516.9911618232727
53;16;9;524.331520318985
54;15;9;532.5244808197021
55;15;9;539.7223217487335
56;15;9;547.7737123966217
57;16;9;554.9427075386047
58;16;9;563.162290096283
59;16;9;570.4588901996613
60;16;9;578.5940773487091
61;15;9;585.7693498134613
62;16;9;594.1376106739044
63;16;9;601.1748135089874
64;15;9;609.6603198051453
65;16;9;617.1654307842255
66;15;9;625.6060783863068
67;16;9;632.9410672187805
68;16;9;641.3714246749878
69;16;9;648.6356728076935
70;16;9;656.8472211360931
71;16;9;664.1974470615387
72;16;9;672.3780252933502
73;15;9;679.6984777450562
74;16;9;688.0106031894684
75;15;9;695.3440203666687
76;16;9;703.6268861293793
77;16;9;711.3224041461945
78;15;9;719.7602264881134
79;16;9;727.25022149086
80;15;9;735.6959562301636
81;16;9;742.9672100543976
82;15;9;751.2821562290192
83;16;9;758.7058806419373
84;16;9;767.1120772361755
85;16;9;774.4323699474335
86;16;9;783.2479860782623
87;15;9;790.8988451957703
