generations;average_fitness;best_fitness;time
0;47;34;0.5196738243103027
1;45;31;1.012969970703125
2;44;31;1.5105338096618652
3;43;31;1.9950549602508545
4;43;30;2.4912331104278564
5;43;30;2.9887139797210693
6;42;30;3.493556022644043
7;42;29;3.954929828643799
8;42;28;4.4567248821258545
9;41;25;4.963188886642456
10;41;25;5.478517055511475
11;40;25;5.941874980926514
12;40;25;6.449497938156128
13;39;25;6.963223695755005
14;39;25;7.481635808944702
15;39;25;7.958046913146973
16;38;25;8.488662004470825
17;38;25;9.003302812576294
18;38;25;9.520214080810547
19;37;25;10.040985822677612
20;38;23;10.508147954940796
21;38;23;11.018146753311157
22;37;23;11.535703897476196
23;37;23;12.06418490409851
24;37;22;12.539047956466675
25;37;22;13.053749084472656
26;37;22;13.565845012664795
27;36;22;14.090625047683716
28;36;22;14.561916828155518
29;36;22;15.075592994689941
30;36;22;15.596813917160034
31;35;22;16.116623878479004
32;36;22;16.59057378768921
33;36;22;17.11056685447693
34;35;22;17.628517866134644
35;35;21;18.154133081436157
36;35;21;18.624955892562866
37;35;19;19.14374303817749
38;35;19;19.661032915115356
39;34;19;20.18499779701233
40;34;19;20.66163682937622
41;34;19;21.181627988815308
42;34;19;21.70129108428955
43;34;17;22.233712911605835
44;34;17;22.765758991241455
45;34;17;23.242231845855713
46;34;17;23.755465984344482
47;33;17;24.276206970214844
48;33;17;24.79961395263672
49;33;17;25.272983074188232
50;33;17;25.792989015579224
51;33;17;26.311413049697876
52;33;17;26.837151050567627
53;33;17;27.358308792114258
54;32;17;27.879896879196167
55;33;17;28.405273914337158
56;33;17;28.935255765914917
57;32;16;29.412354707717896
58;32;16;29.947572946548462
59;32;16;30.468300104141235
60;32;16;31.006107807159424
61;32;16;31.48082995414734
62;31;16;31.999573945999146
63;31;16;32.523836851119995
64;31;16;33.04907488822937
65;31;16;33.52287793159485
66;32;16;34.03939485549927
67;31;16;34.5616888999939
68;31;16;35.09034705162048
69;31;16;35.62729811668396
70;31;16;36.099199056625366
71;31;16;36.61658191680908
72;31;16;37.14690589904785
73;31;16;37.679232120513916
74;30;16;38.154255867004395
75;30;16;38.67305588722229
76;30;16;39.192548751831055
77;30;16;39.720571994781494
78;30;16;40.19494891166687
79;30;16;40.71496772766113
80;30;15;41.23710584640503
81;30;15;41.762624979019165
82;30;15;42.24219489097595
83;30;14;42.76319599151611
84;29;14;43.28567600250244
85;29;14;43.8180718421936
86;29;14;44.2912859916687
87;29;14;44.815353870391846
88;29;14;45.33777379989624
89;29;14;45.86590075492859
90;29;14;46.34001803398132
91;29;14;46.8529269695282
92;29;13;47.38834476470947
93;28;13;47.91754698753357
94;28;13;48.44736099243164
95;28;13;48.92031908035278
96;28;13;49.440025806427
97;28;13;49.95902895927429
98;28;13;50.48960494995117
