generations;average_fitness;best_fitness;time
0;47;34;0.6329848766326904
1;45;33;1.1222209930419922
2;44;33;1.7071139812469482
3;43;33;2.208603858947754
4;43;30;2.804797887802124
5;42;28;3.307101011276245
6;42;28;3.903740882873535
7;41;27;4.409772157669067
8;41;27;5.005273818969727
9;40;27;5.516080856323242
10;39;27;6.115533113479614
11;39;27;6.624424934387207
12;39;26;7.2282068729400635
13;39;26;7.746266841888428
14;39;24;8.359557867050171
15;38;20;8.875269889831543
16;38;20;9.483612060546875
17;38;20;10.000804901123047
18;38;20;10.609705924987793
19;37;20;11.125938892364502
20;37;20;11.734515905380249
21;37;20;12.250851154327393
22;37;20;12.871876001358032
23;36;20;13.388030052185059
24;36;20;14.003435134887695
25;36;20;14.529459953308105
26;36;20;15.14578890800476
27;36;20;15.667800903320312
28;36;20;16.285293102264404
29;36;20;16.805021047592163
30;35;20;17.42318105697632
31;35;20;17.95188307762146
32;35;20;18.57085609436035
33;35;20;19.093682050704956
34;35;20;19.710049152374268
35;35;20;20.231810092926025
36;35;20;20.852567195892334
37;34;20;21.374091148376465
38;34;20;21.996816873550415
39;34;20;22.549132108688354
40;34;20;23.186991930007935
41;34;20;23.710743188858032
42;34;20;24.335572957992554
43;34;20;24.860435962677002
44;34;20;25.485161066055298
45;34;20;26.009069204330444
46;33;20;26.631715059280396
47;33;20;27.15797781944275
48;33;20;27.791187047958374
49;34;20;28.31665587425232
50;33;20;28.962548971176147
51;33;20;29.48921513557434
52;33;20;30.11531901359558
53;33;19;30.650981903076172
54;33;19;31.282227993011475
55;33;19;31.82552409172058
56;33;17;32.454689025878906
57;32;17;32.98566722869873
58;32;17;33.613033056259155
59;32;17;34.136889934539795
60;32;17;34.76566505432129
61;32;17;35.29520320892334
62;32;17;35.92434906959534
63;32;17;36.457287073135376
64;32;17;37.07883405685425
65;32;17;37.611884117126465
66;31;17;38.2413809299469
67;32;17;38.76708698272705
68;31;17;39.39418387413025
69;31;17;39.91830778121948
70;31;17;40.54461908340454
71;31;17;41.07010889053345
72;31;17;41.70237708091736
73;31;17;42.22887992858887
74;31;17;42.860042095184326
75;31;17;43.38671112060547
76;31;17;44.021291971206665
77;31;17;44.55171799659729
78;31;16;45.1811101436615
79;31;16;45.70749592781067
80;31;16;46.33304810523987
81;31;16;46.861851930618286
82;30;16;47.501859188079834
83;30;12;48.03397607803345
84;30;12;48.66145420074463
85;30;12;49.191346883773804
86;30;12;49.83132076263428
87;30;12;50.36004686355591
88;30;12;50.99066495895386
89;30;12;51.52548885345459
90;30;12;52.160719871520996
91;30;12;52.69564199447632
92;29;12;53.32784104347229
93;29;12;53.85702300071716
94;29;12;54.49167013168335
95;29;12;55.01524209976196
96;29;12;55.64391899108887
97;28;12;56.17086601257324
98;29;12;56.803627014160156
99;28;12;57.33107590675354
100;28;12;57.96774506568909
101;28;12;58.4984290599823
102;28;12;59.1422119140625
103;27;12;59.6701819896698
104;28;12;60.29865908622742
105;27;12;60.825660943984985
106;27;12;61.45677709579468
107;27;12;61.9891631603241
108;27;12;62.63795518875122
109;27;12;63.1857271194458
110;26;12;63.8221390247345
111;26;10;64.34988021850586
112;26;10;64.98707103729248
113;26;10;65.51772999763489
114;26;10;66.15264391899109
115;25;10;66.67974209785461
116;26;10;67.31823706626892
117;25;10;67.85366988182068
118;26;10;68.4861249923706
119;25;10;69.01278805732727
120;25;9;69.64506697654724
121;25;9;70.17271780967712
122;25;9;70.80541181564331
123;25;9;71.33401203155518
124;25;9;71.96502780914307
125;25;9;72.4893250465393
126;25;9;73.13482189178467
127;25;9;73.66947317123413
128;25;9;74.30248188972473
129;25;9;74.83018612861633
130;25;9;75.45859885215759
131;24;7;75.9847822189331
132;24;7;76.61453104019165
133;24;7;77.14274311065674
134;24;7;77.77472376823425
135;24;7;78.30842900276184
136;24;7;78.94267797470093
137;23;7;79.47008800506592
138;23;7;80.09930610656738
139;24;7;80.62930107116699
140;23;7;81.26515102386475
141;23;7;81.7923789024353
142;22;7;82.42485404014587
143;23;7;82.96174216270447
144;22;7;83.59225916862488
145;23;7;84.12012696266174
146;23;7;84.75058007240295
147;23;7;85.27323079109192
148;23;7;85.90327405929565
149;23;7;86.43173098564148
150;22;7;87.06369805335999
151;22;7;87.58882784843445
152;23;7;88.23518109321594
153;22;7;88.7813651561737
154;22;7;89.41645812988281
155;22;7;89.94649982452393
156;22;7;90.60153198242188
157;22;7;91.13085007667542
158;22;7;91.77013611793518
159;22;7;92.30037999153137
160;22;7;92.9431529045105
161;21;7;93.46539187431335
162;21;7;94.0973060131073
163;21;7;94.6230239868164
164;21;7;95.25990986824036
165;21;7;95.78748083114624
166;21;7;96.4203999042511
167;21;7;96.94963502883911
168;21;7;97.58117008209229
169;21;7;98.11385703086853
170;21;7;98.74345707893372
171;21;7;99.27029204368591
172;21;7;99.90320587158203
173;21;7;100.43912100791931
174;21;7;101.07145714759827
175;21;7;101.5972170829773
176;21;7;102.22656893730164
177;21;7;102.77790904045105
178;21;7;103.4214129447937
179;21;7;103.94670915603638
180;20;7;104.57905793190002
181;20;7;105.10659313201904
182;20;7;105.74110007286072
183;20;7;106.26591897010803
184;20;7;106.89412903785706
185;20;4;107.42250990867615
186;20;4;108.05649995803833
187;20;4;108.58938813209534
188;20;4;109.22027087211609
189;20;4;109.74622297286987
190;20;4;110.38265490531921
191;20;4;110.90891695022583
192;20;4;111.54064798355103
193;19;4;112.06466317176819
194;20;4;112.69601011276245
195;20;4;113.23571681976318
196;20;4;113.8662850856781
197;19;4;114.39148807525635
198;19;4;115.02382278442383
199;19;4;115.54866099357605
200;19;4;116.17932391166687
201;19;4;116.70622897148132
202;19;4;117.33804297447205
203;19;4;117.87089109420776
204;19;4;118.5049901008606
205;19;4;119.04042100906372
206;19;4;119.66807198524475
207;18;4;120.19489598274231
208;18;4;120.82109999656677
209;19;4;121.34895706176758
210;18;4;121.98003315925598
211;18;4;122.49807381629944
212;17;4;123.13232803344727
213;17;4;123.65965914726257
214;17;4;124.28914093971252
215;17;4;124.81246709823608
216;17;4;125.44228315353394
217;17;4;125.96682500839233
218;17;4;126.59791278839111
219;17;4;127.12338900566101
220;17;4;127.74284386634827
221;17;4;128.27653098106384
222;17;4;128.90717387199402
223;17;4;129.43153381347656
224;16;4;130.0558819770813
225;16;4;130.58239102363586
226;16;4;131.2121570110321
227;16;4;131.73885107040405
228;16;4;132.36931681632996
229;16;4;132.90185499191284
230;16;4;133.5344569683075
231;16;4;134.05799412727356
232;16;4;134.68692207336426
233;16;4;135.2106261253357
234;16;4;135.84205794334412
235;16;4;136.3651750087738
236;16;4;136.99149298667908
237;16;4;137.5141830444336
238;15;4;138.15208506584167
239;15;4;138.67315793037415
240;15;4;139.30037307739258
241;15;4;139.8242449760437
242;15;4;140.45300698280334
243;15;4;140.9774420261383
244;15;4;141.60823512077332
245;15;4;142.13748621940613
246;15;4;142.76807618141174
247;14;4;143.329656124115
248;14;4;143.9579679965973
249;14;4;144.4825689792633
250;14;4;145.1123149394989
251;14;4;145.63486003875732
252;14;4;146.2647590637207
253;14;4;146.78791189193726
254;14;4;147.4145269393921
255;14;4;147.94950604438782
256;14;4;148.58831596374512
257;14;4;149.1149389743805
258;14;4;149.74210476875305
259;13;4;150.26882886886597
260;13;4;150.8930151462555
261;13;4;151.41159510612488
262;13;4;152.03955507278442
263;14;4;152.56833481788635
264;13;4;153.20278787612915
265;13;4;153.72651290893555
266;13;4;154.34336590766907
267;13;4;154.8661367893219
268;14;4;155.50388097763062
269;14;4;156.0290379524231
270;13;4;156.65081191062927
271;13;4;157.17230701446533
