generations;average_fitness;best_fitness;time
0;50;35;0.3866701126098633
1;49;35;0.708172082901001
2;48;34;1.0344078540802002
3;47;34;1.3682618141174316
4;47;34;1.6920077800750732
5;46;34;2.076486825942993
6;46;34;2.4070279598236084
7;45;34;2.7385289669036865
8;44;33;3.066869020462036
9;44;32;3.3943018913269043
10;44;32;3.717681884765625
11;44;32;4.1044018268585205
12;44;32;4.436637878417969
13;44;31;4.764836072921753
14;43;30;5.094174861907959
15;43;30;5.423136949539185
16;43;29;5.818753004074097
17;42;29;6.155821084976196
18;42;27;6.486724138259888
19;41;27;6.817212820053101
20;41;27;7.146683931350708
21;40;26;7.472838878631592
22;40;26;7.861994028091431
23;39;26;8.200431823730469
24;39;26;8.532536029815674
25;39;25;8.865554809570312
26;39;25;9.198611974716187
27;39;25;9.59454894065857
28;38;25;9.929364919662476
29;38;24;10.270681142807007
30;38;24;10.605700016021729
31;38;24;10.945365905761719
32;38;24;11.278177976608276
33;37;24;11.670575141906738
34;38;20;12.00760793685913
35;37;20;12.340236902236938
36;37;20;12.67471694946289
37;37;20;13.005728006362915
38;36;20;13.402710914611816
39;36;20;13.750810146331787
40;36;20;14.088948965072632
41;36;20;14.421199083328247
42;36;20;14.754897832870483
43;35;20;15.084734916687012
44;35;20;15.482001781463623
45;35;20;15.826193809509277
46;35;20;16.1591899394989
47;35;20;16.49142599105835
48;35;20;16.821746826171875
49;35;20;17.214805841445923
50;34;20;17.554823875427246
51;34;20;17.891623973846436
52;34;19;18.226640939712524
53;34;19;18.558648109436035
54;34;18;18.887985944747925
55;34;18;19.286852836608887
56;34;18;19.62132501602173
57;33;18;19.953661918640137
58;33;18;20.293766975402832
59;33;18;20.63107991218567
60;34;18;20.99414610862732
61;34;18;21.395225048065186
62;34;18;21.72952389717102
63;34;18;22.064661026000977
64;33;17;22.398416757583618
65;33;17;22.728391885757446
66;33;17;23.057517051696777
67;33;17;23.457104921340942
68;32;17;23.793751001358032
69;33;17;24.123991012573242
70;32;17;24.45682692527771
71;33;17;24.79014492034912
72;32;17;25.195647954940796
73;32;17;25.529325008392334
74;32;17;25.86667799949646
75;32;17;26.204535007476807
76;32;17;26.539119720458984
77;32;17;26.868835926055908
78;32;17;27.26669692993164
79;32;17;27.604890823364258
80;32;17;27.93531894683838
81;32;17;28.271328926086426
82;31;17;28.60286593437195
83;31;17;28.999781847000122
84;31;17;29.336566925048828
85;32;16;29.671442985534668
86;31;15;30.005725860595703
87;31;15;30.338172912597656
88;30;15;30.667556047439575
89;31;15;31.072511911392212
90;31;15;31.405699968338013
91;30;15;31.738916158676147
92;30;15;32.07673692703247
93;30;15;32.412972927093506
94;30;15;32.74618601799011
95;30;15;33.138479709625244
96;30;15;33.472336769104004
97;30;15;33.813133001327515
98;29;13;34.14829206466675
99;29;13;34.47934889793396
100;29;13;34.87500786781311
101;29;13;35.21267509460449
102;29;13;35.54961681365967
103;29;13;35.88820695877075
104;29;13;36.22432470321655
105;29;13;36.553717851638794
106;29;13;36.95004105567932
107;29;13;37.28387784957886
108;29;13;37.61785697937012
109;28;13;37.95128297805786
110;28;13;38.28526210784912
111;29;13;38.682748794555664
112;29;13;39.01484179496765
113;28;12;39.345654010772705
114;28;12;39.68129301071167
115;27;11;40.016377687454224
116;27;11;40.3531699180603
117;28;11;40.747283935546875
118;27;11;41.089350938797
119;27;11;41.42612385749817
120;27;11;41.76046371459961
121;28;11;42.0948269367218
122;27;10;42.493327140808105
123;27;10;42.828580141067505
124;27;10;43.16415190696716
125;27;10;43.510369062423706
126;27;10;43.84532976150513
127;26;10;44.174842834472656
128;26;10;44.57161283493042
129;26;10;44.91014885902405
130;25;10;45.24043011665344
131;26;10;45.574284076690674
132;26;10;45.91213798522949
133;26;10;46.31540393829346
134;24;10;46.65070104598999
135;24;10;46.982117891311646
136;24;10;47.31763195991516
137;24;10;47.655102014541626
138;25;10;47.985957860946655
139;25;10;48.380584955215454
140;24;9;48.71428298950195
141;25;9;49.048523902893066
142;24;9;49.37913393974304
143;25;9;49.717511892318726
144;24;9;50.04686689376831
145;23;9;50.44219899177551
146;23;9;50.77788496017456
147;23;9;51.11194705963135
148;24;9;51.445910930633545
149;24;9;51.78094005584717
150;24;9;52.19755482673645
151;24;9;52.534387826919556
152;24;8;52.86859893798828
153;24;8;53.20571184158325
154;24;8;53.53722286224365
155;24;8;53.86595392227173
156;22;8;54.2598021030426
157;23;8;54.602789878845215
158;23;8;54.93511080741882
159;23;8;55.269262075424194
160;23;8;55.602328062057495
161;22;8;55.9364538192749
162;23;8;56.33372688293457
163;23;8;56.666080951690674
164;23;8;57.00124216079712
165;23;8;57.335253953933716
166;23;8;57.666638135910034
167;22;8;58.06224298477173
168;22;8;58.39945387840271
169;22;8;58.73050379753113
170;22;8;59.06619477272034
