generations;average_fitness;best_fitness;time
0;49;32;0.3389918804168701
1;44;30;0.6157360076904297
2;41;29;0.8909430503845215
3;39;30;1.1725919246673584
4;38;28;1.4549460411071777
5;36;27;1.739881992340088
6;35;23;2.0214269161224365
7;33;25;2.3483169078826904
8;32;18;2.6302127838134766
9;31;18;2.91056489944458
10;30;16;3.194438934326172
11;28;16;3.4739022254943848
12;27;16;3.756649971008301
13;26;15;4.0945539474487305
14;25;15;4.381501913070679
15;25;15;4.700580835342407
16;24;13;4.994431972503662
17;23;13;5.278662919998169
18;22;13;5.615561008453369
19;21;13;5.904412031173706
20;21;11;6.189373016357422
21;20;12;6.4776411056518555
22;20;12;6.768363952636719
23;20;12;7.0546910762786865
24;20;12;7.394544839859009
25;20;11;7.682871103286743
26;19;11;7.9692230224609375
27;19;11;8.26156997680664
28;18;10;8.547722101211548
29;18;10;8.8330078125
30;18;10;9.167948007583618
31;17;10;9.458063840866089
32;18;10;9.745699167251587
33;18;10;10.035562992095947
34;18;10;10.32266902923584
35;18;10;10.66540002822876
36;18;10;10.959858894348145
37;18;10;11.250873804092407
38;18;9;11.553340911865234
39;17;10;11.847999095916748
40;17;10;12.136279106140137
41;17;10;12.480583906173706
42;17;10;12.770894050598145
43;16;9;13.06053900718689
44;17;9;13.35136890411377
45;17;9;13.638573169708252
46;16;10;13.927200078964233
47;16;9;14.27036190032959
48;16;9;14.562880039215088
49;16;9;14.854602098464966
50;16;9;15.148864030838013
51;16;9;15.437595844268799
52;16;9;15.72735595703125
53;16;8;16.07069492340088
54;17;8;16.3645179271698
55;17;9;16.66004705429077
56;16;9;16.956298112869263
57;16;9;17.24613881111145
58;16;8;17.534832000732422
59;16;8;17.875575065612793
60;16;8;18.16743493080139
61;16;8;18.461027145385742
62;15;9;18.755802869796753
63;15;8;19.043304920196533
64;15;8;19.332552909851074
65;15;8;19.671546936035156
66;15;8;19.962554931640625
67;15;7;20.251890897750854
68;14;7;20.54392981529236
69;14;7;20.832356929779053
70;14;7;21.176271200180054
71;14;7;21.467877864837646
72;14;6;21.77143406867981
73;14;6;22.07060718536377
74;14;6;22.361466884613037
75;14;6;22.65005397796631
76;14;6;22.994965076446533
77;14;6;23.287934064865112
78;13;6;23.58406400680542
79;13;6;23.881977796554565
80;13;6;24.17020010948181
81;13;6;24.458423137664795
82;13;6;24.804804801940918
83;13;6;25.096240997314453
84;13;6;25.386611938476562
85;13;6;25.679991006851196
86;13;6;25.973592042922974
87;13;6;26.264796018600464
88;12;6;26.60885787010193
89;12;6;26.9064040184021
90;12;6;27.195147037506104
91;12;6;27.488088130950928
92;12;6;27.775821208953857
93;12;6;28.063502073287964
94;12;6;28.406615018844604
95;12;6;28.69878602027893
96;12;6;28.98670220375061
97;12;6;29.278975009918213
98;13;6;29.572931051254272
99;13;6;29.861137866973877
100;13;6;30.202481985092163
101;12;6;30.495095014572144
102;12;6;30.784339904785156
103;12;6;31.076727151870728
104;13;6;31.365712881088257
105;12;6;31.718601942062378
106;12;6;32.014150857925415
107;12;6;32.306480884552
108;12;6;32.599661111831665
109;12;6;32.89338302612305
110;12;6;33.187093019485474
111;12;6;33.53151798248291
112;12;6;33.825536012649536
113;11;6;34.117058992385864
114;12;6;34.4102258682251
115;12;6;34.69969320297241
116;12;6;34.98841595649719
117;12;6;35.332361936569214
118;12;6;35.624921798706055
119;12;6;35.91600584983826
120;12;6;36.20848107337952
121;12;6;36.49733901023865
122;12;6;36.79216408729553
123;12;6;37.14500689506531
124;12;6;37.44034004211426
125;12;6;37.730839014053345
126;12;6;38.02342510223389
127;11;6;38.312556982040405
128;11;6;38.65828204154968
129;12;6;38.951249837875366
130;12;6;39.240304946899414
131;12;6;39.535167932510376
132;12;6;39.83348107337952
133;12;6;40.12269902229309
134;12;6;40.47268199920654
135;13;6;40.765721797943115
136;12;6;41.058221101760864
137;12;6;41.35092902183533
138;12;6;41.63868689537048
139;12;6;41.936442852020264
140;12;6;42.281249046325684
141;12;6;42.57395315170288
142;13;6;42.8650848865509
143;12;6;43.15787696838379
144;12;6;43.445064067840576
145;12;6;43.734124183654785
146;12;6;44.07619500160217
147;12;6;44.36819505691528
148;12;6;44.660086154937744
149;12;6;44.952592849731445
150;13;6;45.239562034606934
151;12;6;45.5289101600647
152;12;6;45.9290509223938
153;12;6;46.22271490097046
154;12;6;46.51415395736694
155;12;6;46.81146597862244
156;12;6;47.09934902191162
157;12;6;47.39407706260681
158;12;6;47.73995089530945
159;12;6;48.034531116485596
160;12;6;48.325226068496704
161;12;6;48.61831188201904
162;13;6;48.908536195755005
163;12;6;49.19765090942383
164;13;6;49.543169021606445
165;13;6;49.838329792022705
166;12;6;50.12912893295288
167;12;6;50.43028783798218
168;13;6;50.720794916152954
169;13;6;51.06707000732422
170;12;6;51.35983109474182
171;13;6;51.65275502204895
172;12;6;51.995063066482544
173;13;6;52.285155057907104
174;13;6;52.57511806488037
175;12;6;52.92351317405701
176;12;6;53.2163290977478
177;12;6;53.50795078277588
178;12;6;53.800901889801025
179;12;6;54.08953285217285
