generations;average_fitness;best_fitness;time
0;57;47;0.056249141693115234
1;50;44;0.11631011962890625
2;48;40;0.16484403610229492
3;46;40;0.21363401412963867
4;44;36;0.26282811164855957
5;43;35;0.3282899856567383
6;41;32;0.3771193027496338
7;38;32;0.42768216133117676
8;37;32;0.47860026359558105
9;36;32;0.5403811931610107
10;36;32;0.5896320343017578
11;36;32;0.6403331756591797
12;36;31;0.6888632774353027
13;35;31;0.7508711814880371
14;35;31;0.7995731830596924
15;36;31;0.8481321334838867
16;36;30;0.8969631195068359
17;34;30;0.9457461833953857
18;34;29;1.0054330825805664
19;33;29;1.0541400909423828
20;33;29;1.1027870178222656
21;32;29;1.1541869640350342
22;33;29;1.2168402671813965
23;33;28;1.2652621269226074
24;32;28;1.3140320777893066
25;32;28;1.3628170490264893
26;32;28;1.4237720966339111
27;32;27;1.4726052284240723
28;31;27;1.5210533142089844
29;31;26;1.5697531700134277
30;31;26;1.6311321258544922
31;31;26;1.6795191764831543
32;31;26;1.7284960746765137
33;31;26;1.7774012088775635
34;30;26;1.8383653163909912
35;30;25;1.887282133102417
36;30;25;1.938040018081665
37;30;25;1.9889960289001465
38;29;25;2.0514743328094482
39;29;25;2.1010050773620605
40;29;25;2.1531221866607666
41;29;25;2.2028300762176514
42;29;25;2.25142502784729
43;29;25;2.313859224319458
44;29;25;2.3623762130737305
45;29;25;2.4111533164978027
46;29;24;2.4598472118377686
47;29;24;2.520940065383911
48;29;24;2.5697391033172607
49;29;24;2.6183390617370605
50;29;24;2.6666111946105957
51;29;24;2.7276110649108887
52;29;24;2.7759580612182617
53;29;24;2.8257641792297363
54;28;24;2.8743631839752197
55;28;24;2.9351961612701416
56;27;24;2.983994245529175
57;28;24;3.032301187515259
58;28;24;3.0806331634521484
59;28;24;3.142029047012329
60;28;24;3.1916332244873047
61;28;24;3.242831230163574
62;28;24;3.291844129562378
63;28;24;3.340394973754883
64;28;24;3.4024431705474854
65;28;24;3.4511070251464844
66;28;23;3.4997072219848633
67;28;23;3.548474073410034
68;28;23;3.6095471382141113
69;28;23;3.65830397605896
70;28;23;3.7071123123168945
71;28;23;3.7553939819335938
72;28;23;3.816624164581299
73;28;23;3.8656723499298096
74;28;23;3.919285297393799
75;29;23;3.968921184539795
76;28;23;4.0316081047058105
77;28;23;4.080399036407471
78;28;23;4.130670070648193
79;28;23;4.180760145187378
80;28;23;4.2451331615448
81;28;23;4.293776273727417
82;28;23;4.342524290084839
83;28;23;4.391114950180054
84;28;23;4.439423322677612
85;27;23;4.500246047973633
86;28;23;4.548767328262329
87;28;23;4.596958160400391
88;28;23;4.645653247833252
89;28;23;4.706457138061523
90;27;23;4.7552173137664795
91;27;23;4.803882360458374
92;27;23;4.852206230163574
93;28;23;4.913333177566528
94;27;23;4.961895227432251
95;28;23;5.01019811630249
96;27;23;5.058922290802002
97;27;23;5.119838237762451
98;27;23;5.168698072433472
99;28;23;5.217494010925293
100;27;23;5.265866994857788
101;27;23;5.326770305633545
102;27;23;5.375043153762817
103;27;23;5.423128128051758
104;27;23;5.471850395202637
105;27;23;5.520197153091431
106;27;23;5.581029176712036
107;28;23;5.632942199707031
108;27;23;5.681852102279663
109;28;23;5.730794191360474
110;28;23;5.7933831214904785
