generations;average_fitness;best_fitness;time
0;46;29;1.7692680358886719
1;38;24;3.125771999359131
2;33;21;4.722264051437378
3;29;16;6.333586931228638
4;26;12;7.70933198928833
5;21;10;9.325903177261353
6;18;6;10.935086011886597
7;16;4;12.315373182296753
8;13;2;13.919135093688965
9;11;2;15.539551019668579
10;10;2;16.93400812149048
11;10;2;18.55025315284729
12;9;2;20.156404972076416
13;9;2;21.545709133148193
14;9;2;23.157907962799072
15;9;2;24.77113914489746
16;9;2;26.162955045700073
17;9;2;27.77757692337036
18;9;2;29.387110948562622
19;9;2;30.781733989715576
20;9;2;32.41223096847534
21;9;2;34.03103590011597
22;9;2;35.42206406593323
23;9;2;37.03031086921692
24;9;2;38.65217399597168
25;9;2;40.061964988708496
26;9;2;41.70162796974182
27;9;2;43.330759048461914
28;9;2;44.71862983703613
29;9;2;46.36548900604248
30;9;2;47.99272608757019
31;9;2;49.38457703590393
32;9;2;51.02109217643738
33;9;2;52.640196084976196
34;9;2;54.06329917907715
35;9;2;55.69843816757202
36;9;2;57.31552505493164
37;9;2;58.71324324607849
38;9;2;60.35786700248718
39;9;2;61.98885703086853
40;9;2;63.404200077056885
41;9;2;65.1505479812622
42;9;2;66.88597106933594
43;9;2;68.37136793136597
44;9;2;70.069983959198
45;9;2;71.75140404701233
46;9;2;73.16822981834412
47;9;2;74.80891013145447
48;9;2;76.46467995643616
49;9;2;77.8707959651947
50;9;2;79.4875659942627
51;9;2;81.12184715270996
52;9;2;82.56191301345825
53;9;2;84.21240615844727
54;9;2;85.84528517723083
55;9;2;87.24212193489075
56;9;2;88.88649010658264
57;9;2;90.53420400619507
58;9;2;91.94580888748169
59;9;2;93.59864711761475
60;9;2;95.25877809524536
61;9;2;96.68360304832458
62;9;2;98.34110593795776
63;9;2;99.96831703186035
64;9;2;101.3769121170044
65;9;2;103.02995896339417
66;9;2;104.6717119216919
67;9;2;106.08646297454834
68;9;2;107.74453091621399
69;9;2;109.38802719116211
70;9;2;110.80740308761597
71;9;2;112.47741222381592
72;9;2;114.12194609642029
73;9;2;115.52952098846436
74;9;2;117.18954014778137
75;9;2;118.84076690673828
76;9;2;120.25121784210205
77;9;2;121.9143500328064
78;9;2;123.56236004829407
79;9;2;124.98608112335205
80;9;2;126.65527296066284
81;9;2;128.314373254776
82;9;2;129.71412992477417
83;9;2;131.36862421035767
84;9;2;133.08171606063843
85;9;2;134.49356603622437
86;9;2;136.1449191570282
87;9;2;137.82143688201904
88;9;2;139.23485898971558
89;9;2;140.8994529247284
90;9;2;142.54607892036438
91;9;2;143.96328020095825
92;9;2;145.6232190132141
93;9;2;147.29326701164246
94;9;2;148.71542406082153
95;9;2;150.37315893173218
96;9;2;152.0430359840393
97;9;2;153.46324610710144
98;9;2;155.1307430267334
99;9;2;156.79393196105957
100;9;2;158.20856499671936
101;9;2;159.86730194091797
102;9;2;161.52829313278198
103;9;2;162.9520239830017
104;9;2;164.58900713920593
105;9;2;166.24334406852722
106;9;2;167.70335006713867
107;9;2;169.3630621433258
108;9;2;171.03605914115906
109;9;2;172.44675397872925
110;9;2;174.10477995872498
111;9;2;175.7656581401825
112;9;2;177.18829798698425
113;9;2;178.8533492088318
114;9;2;180.51870107650757
115;9;2;181.9482560157776
116;9;2;183.61006999015808
117;9;2;185.26377296447754
118;9;2;186.6863842010498
119;9;2;188.3586859703064
120;9;2;190.01822805404663
121;9;2;191.43716096878052
122;9;2;193.1069040298462
123;9;2;194.77255821228027
124;9;2;196.19972705841064
125;9;2;197.9070782661438
126;9;2;199.58777713775635
127;9;2;201.00734114646912
128;9;2;202.6922948360443
129;9;2;204.3604040145874
130;9;2;205.7843930721283
131;9;2;207.44079303741455
132;9;2;209.10021805763245
133;9;2;210.52516412734985
134;9;2;212.19707226753235
135;9;2;213.87027192115784
136;9;2;215.28355312347412
137;9;2;216.95564484596252
138;9;2;218.6324942111969
139;9;2;220.05574107170105
140;9;2;221.73806810379028
141;9;2;223.4159529209137
142;9;2;224.83731889724731
143;9;2;226.505961894989
144;9;2;228.16678404808044
145;9;2;229.59359312057495
146;9;2;231.27446103096008
147;9;2;232.9487340450287
148;9;2;234.39181208610535
149;9;2;236.0733871459961
150;9;2;237.76059103012085
151;9;2;239.18324899673462
152;9;2;240.85837411880493
153;9;2;242.54026007652283
154;9;2;243.97245693206787
155;9;2;245.6484091281891
156;9;2;247.3606231212616
157;9;2;248.79041409492493
