generations;average_fitness;best_fitness;time
0;39;35;0.027848005294799805
1;37;33;0.05118703842163086
2;35;31;0.07482600212097168
3;32;29;0.09910202026367188
4;30;27;0.12318277359008789
5;28;24;0.14693307876586914
6;25;22;0.18140077590942383
7;23;22;0.2051219940185547
8;24;20;0.2288510799407959
9;21;20;0.25330495834350586
10;21;19;0.2794938087463379
11;21;17;0.30428290367126465
12;18;17;0.32860708236694336
13;18;16;0.3532288074493408
14;18;16;0.3785839080810547
15;18;14;0.41416287422180176
16;16;14;0.4379918575286865
17;17;12;0.461838960647583
18;15;12;0.4856839179992676
19;14;12;0.5096120834350586
20;14;12;0.5334489345550537
21;15;12;0.5577678680419922
22;13;12;0.5818140506744385
23;13;12;0.6153538227081299
24;14;12;0.63919997215271
25;13;12;0.6634020805358887
26;14;12;0.687255859375
27;14;12;0.7111120223999023
28;14;12;0.7349770069122314
29;14;10;0.7586948871612549
30;12;10;0.7827129364013672
31;12;9;0.8175671100616455
32;10;9;0.8414878845214844
33;11;9;0.8651888370513916
34;12;9;0.889509916305542
35;11;9;0.9133789539337158
36;11;8;0.9372129440307617
37;10;8;0.9611809253692627
38;11;8;0.9851779937744141
39;11;8;1.0092837810516357
40;10;8;1.0428459644317627
41;11;8;1.0667128562927246
42;10;8;1.0905778408050537
43;11;8;1.114699125289917
44;10;8;1.138422966003418
45;11;8;1.1622049808502197
46;10;8;1.1862590312957764
47;11;8;1.2100050449371338
48;10;8;1.2437219619750977
49;11;8;1.2681849002838135
50;11;8;1.2958319187164307
51;10;8;1.3224220275878906
52;11;8;1.3465919494628906
53;11;8;1.3708438873291016
54;10;7;1.3947269916534424
55;10;7;1.4185810089111328
56;9;7;1.4427101612091064
57;10;7;1.476999044418335
58;10;7;1.501101016998291
59;10;7;1.5248708724975586
60;9;7;1.5488269329071045
61;10;7;1.5724689960479736
62;10;7;1.5962870121002197
63;10;7;1.6200311183929443
64;9;6;1.6439218521118164
65;9;6;1.6772150993347168
66;9;6;1.7018308639526367
67;8;6;1.727431058883667
68;8;6;1.7523698806762695
69;9;6;1.776500940322876
70;9;6;1.8002550601959229
71;8;6;1.8239989280700684
72;8;6;1.8482508659362793
73;8;6;1.88279390335083
74;9;6;1.9069719314575195
75;9;6;1.9315519332885742
76;8;6;1.9555227756500244
77;9;6;1.9793150424957275
78;9;6;2.003443956375122
79;8;6;2.0272889137268066
80;8;6;2.051030158996582
81;9;6;2.085174083709717
82;9;6;2.108886957168579
83;9;6;2.13264799118042
84;8;6;2.1572859287261963
85;9;6;2.184069871902466
86;8;6;2.2078800201416016
87;9;6;2.231834888458252
88;8;5;2.255567789077759
89;8;5;2.279160976409912
90;8;5;2.31375789642334
91;8;5;2.3377130031585693
92;8;5;2.361660957336426
93;7;5;2.3859000205993652
94;8;5;2.4099669456481934
95;7;5;2.4337007999420166
96;8;5;2.4575507640838623
97;8;5;2.481541872024536
98;8;5;2.5151171684265137
99;8;5;2.5388858318328857
100;8;5;2.5629959106445312
101;8;5;2.5866477489471436
102;8;5;2.6107900142669678
103;8;5;2.6356239318847656
104;9;5;2.661282777786255
105;8;5;2.6852779388427734
106;7;5;2.7201528549194336
107;8;5;2.743943929672241
108;8;5;2.767789840698242
109;8;5;2.7921030521392822
110;8;5;2.816025972366333
111;8;5;2.8414289951324463
