generations;average_fitness;best_fitness;time
0;56;42;0.2924232482910156
1;55;39;0.41054320335388184
2;54;39;0.5415215492248535
3;54;39;0.6674344539642334
4;54;39;0.9504735469818115
5;55;39;1.0744786262512207
6;55;39;1.1915104389190674
7;55;39;1.312026023864746
8;55;39;1.6144683361053467
9;54;39;1.7515122890472412
10;54;39;1.8676321506500244
11;55;39;1.98716402053833
12;55;39;2.280104875564575
13;54;39;2.405731439590454
14;53;39;2.529297351837158
15;53;39;2.6502931118011475
16;53;39;2.9536118507385254
17;52;39;3.0763139724731445
18;53;39;3.2115066051483154
19;53;39;3.335508108139038
20;53;39;3.4669556617736816
21;53;39;3.755736827850342
22;54;39;3.887343168258667
23;54;39;4.010615348815918
24;54;39;4.15697455406189
25;54;39;4.449578523635864
26;54;39;4.57239031791687
27;55;38;4.693080902099609
28;54;38;4.8270909786224365
29;55;38;5.118859767913818
30;55;38;5.247349500656128
31;54;38;5.381173372268677
32;54;38;5.500869989395142
33;55;38;5.793413877487183
34;55;38;5.916983604431152
35;56;38;6.040873765945435
36;56;38;6.175840139389038
37;54;38;6.47972846031189
38;54;38;6.59977126121521
39;55;38;6.720834016799927
40;54;38;6.844691753387451
41;54;38;6.966930627822876
42;54;38;7.269380807876587
43;54;38;7.394669771194458
44;54;38;7.515661239624023
45;54;38;7.637030363082886
46;54;38;7.9765305519104
47;52;38;8.108532667160034
48;53;38;8.238612413406372
49;53;38;8.357724905014038
50;54;38;8.65058445930481
51;54;38;8.77494740486145
52;54;38;8.899872779846191
53;53;38;9.02864146232605
54;54;38;9.321945428848267
55;53;38;9.44312596321106
56;52;38;9.567885160446167
57;53;38;9.690423250198364
58;53;38;9.981928825378418
59;53;38;10.105143070220947
60;52;38;10.228063583374023
61;53;38;10.359050512313843
62;53;38;10.479243516921997
63;54;38;10.769826889038086
64;53;38;10.898064374923706
65;54;38;11.017162084579468
66;54;38;11.166522026062012
67;53;37;11.462015151977539
68;54;37;11.584769487380981
69;53;37;11.706307649612427
70;53;37;11.829735040664673
71;54;37;12.125040054321289
72;53;37;12.244959354400635
73;52;37;12.386638879776001
74;52;37;12.512143850326538
75;53;37;12.799408435821533
76;53;36;12.935721158981323
77;53;36;13.06336522102356
78;54;34;13.190724611282349
79;54;34;13.483394861221313
80;54;34;13.603601217269897
81;54;34;13.725209474563599
82;54;34;13.869807481765747
83;54;34;14.160071849822998
84;54;34;14.285353422164917
85;53;34;14.407552003860474
86;54;34;14.533267736434937
87;54;34;14.66395115852356
88;53;34;14.952911138534546
89;53;34;15.07376742362976
90;52;34;15.19490385055542
91;53;34;15.323278665542603
92;54;34;15.610898494720459
93;55;34;15.736951112747192
94;54;34;15.862018346786499
95;54;34;15.986087560653687
96;53;34;16.27495837211609
97;52;34;16.412801027297974
98;53;34;16.53778886795044
99;53;34;16.6622793674469
100;53;34;16.962201833724976
101;53;34;17.08786654472351
102;53;34;17.210761308670044
103;52;34;17.33180809020996
104;53;34;17.61971664428711
105;52;34;17.742223978042603
106;53;34;17.86064624786377
107;54;34;17.99586844444275
108;54;34;18.117768049240112
109;53;34;18.403141260147095
110;52;34;18.529067277908325
111;53;34;18.658294200897217
112;53;34;18.78250503540039
113;53;34;19.075757265090942
114;53;33;19.20534896850586
115;52;33;19.341469287872314
116;53;33;19.470544576644897
117;54;33;19.76230478286743
118;54;33;19.882508754730225
119;54;33;20.005911111831665
120;54;33;20.123619318008423
121;54;33;20.420253038406372
122;54;33;20.54292583465576
123;54;33;20.676228523254395
124;53;33;20.803642749786377
125;52;33;21.117204666137695
126;54;33;21.243831157684326
127;53;33;21.366579294204712
128;53;33;21.48573899269104
129;53;33;21.78373122215271
130;53;33;21.907390832901
131;52;33;22.033512115478516
132;52;33;22.155680418014526
133;51;33;22.28399157524109
134;51;33;22.597636222839355
135;50;33;22.725282430648804
136;50;33;22.84399962425232
137;50;33;22.965648651123047
138;50;33;23.256009817123413
139;51;33;23.37921953201294
140;52;33;23.501356840133667
141;53;33;23.630107402801514
142;52;33;23.927319288253784
143;52;33;24.046995401382446
144;52;33;24.18255376815796
145;52;33;24.305504322052002
146;52;31;24.595409870147705
147;53;31;24.718452215194702
148;54;31;24.867367267608643
149;53;31;25.00667452812195
150;52;31;25.301343202590942
151;53;31;25.422471523284912
152;53;31;25.543595552444458
153;52;31;25.6658718585968
154;51;31;25.7869074344635
155;52;31;26.075483083724976
156;52;31;26.199138402938843
157;52;31;26.32178044319153
158;52;31;26.45095682144165
159;52;31;26.737528562545776
160;52;31;26.857150316238403
161;52;31;26.977487325668335
162;51;31;27.09858512878418
163;51;31;27.399816274642944
164;51;31;27.518911361694336
165;51;31;27.643981218338013
166;51;31;27.769861936569214
167;51;31;28.062103271484375
168;51;30;28.18586277961731
169;51;30;28.309937000274658
170;50;30;28.441235780715942
171;50;30;28.73462200164795
172;51;30;28.859956741333008
173;51;30;28.987117052078247
174;51;30;29.12072491645813
175;50;30;29.243706226348877
176;49;30;29.537710428237915
177;49;30;29.661393404006958
178;49;30;29.784684658050537
179;50;30;29.909354209899902
180;51;30;30.208006143569946
181;51;30;30.331655263900757
182;52;30;30.45620584487915
183;52;30;30.574816942214966
184;52;30;30.860846281051636
185;52;30;30.98464870452881
186;52;30;31.109527349472046
187;52;30;31.231879234313965
188;52;30;31.532836198806763
189;51;30;31.65802025794983
190;52;30;31.782647848129272
191;52;30;31.92301344871521
192;52;30;32.22105407714844
193;53;30;32.34287095069885
194;54;30;32.47272825241089
195;54;30;32.60617518424988
196;54;30;32.73982763290405
197;52;30;33.04624032974243
198;53;30;33.19065475463867
199;53;30;33.32126998901367
200;53;30;33.454275369644165
201;52;30;33.748016119003296
202;51;30;33.872379302978516
203;51;30;34.00257873535156
204;52;30;34.14585614204407
205;52;30;34.45927548408508
206;53;30;34.581928730010986
207;52;30;34.70407199859619
208;51;30;34.836925983428955
209;51;30;35.14462947845459
210;51;30;35.26937508583069
211;50;30;35.40004754066467
212;50;30;35.53793931007385
213;50;30;35.82585835456848
