generations;average_fitness;best_fitness;time
0;48;36;0.40636587142944336
1;40;32;0.6079826354980469
2;36;24;1.0046706199645996
3;31;22;1.220216989517212
4;27;19;1.443899393081665
5;26;17;1.8569848537445068
6;23;13;2.0554685592651367
7;20;12;2.2678582668304443
8;17;9;2.6476802825927734
9;15;8;2.845766544342041
10;14;6;3.050663471221924
11;13;5;3.444218158721924
12;11;5;3.645799160003662
13;10;5;3.845409393310547
14;9;5;4.2367103099823
15;9;5;4.434427738189697
16;9;5;4.6334264278411865
17;9;5;5.0276525020599365
18;9;5;5.237210988998413
19;9;5;5.440687656402588
20;10;5;5.8379786014556885
21;9;5;6.035621881484985
22;10;5;6.234346628189087
23;9;5;6.635641813278198
24;9;5;6.833513259887695
25;9;5;7.031844139099121
26;10;5;7.428090572357178
27;10;5;7.632097005844116
28;9;5;7.832848787307739
29;9;5;8.224326610565186
30;9;5;8.439204454421997
31;9;5;8.641211986541748
32;9;5;9.029959440231323
33;9;5;9.227122783660889
34;9;5;9.432193040847778
35;9;3;9.836034536361694
36;9;3;10.034046173095703
37;8;3;10.237993717193604
38;8;3;10.644415616989136
39;8;3;10.847238779067993
40;8;3;11.049926280975342
41;8;3;11.446752786636353
42;7;3;11.654730081558228
43;8;3;11.859972715377808
44;8;3;12.247605562210083
45;7;3;12.455859661102295
46;8;3;12.660988807678223
47;8;3;13.054520606994629
48;8;3;13.265849351882935
49;8;3;13.467363834381104
50;8;3;13.856295347213745
51;8;3;14.059971332550049
52;8;3;14.263982772827148
53;7;3;14.660021543502808
54;8;3;14.857941627502441
55;8;3;15.064411163330078
56;8;3;15.453150987625122
57;8;3;15.683024644851685
58;8;3;15.884068250656128
59;8;3;16.277830123901367
60;8;3;16.477631330490112
61;8;3;16.685200691223145
62;8;3;17.08631443977356
63;8;3;17.291168212890625
64;8;3;17.49066925048828
65;8;3;17.882222890853882
66;8;3;18.085411071777344
67;8;3;18.28467845916748
68;8;3;18.681833505630493
69;7;3;18.9022798538208
70;8;3;19.105332612991333
71;8;3;19.491897583007812
72;7;3;19.713375091552734
73;7;3;19.909897327423096
74;8;3;20.300004482269287
75;7;3;20.506044387817383
76;8;3;20.70994997024536
77;8;3;21.106123447418213
78;8;3;21.325177907943726
79;8;3;21.545676946640015
80;8;3;21.93800139427185
81;8;3;22.14218807220459
82;7;3;22.344107627868652
83;8;3;22.752172708511353
84;8;3;22.960333585739136
85;8;3;23.161038637161255
86;8;3;23.556522130966187
87;8;3;23.76388692855835
88;8;3;23.993674516677856
89;7;3;24.37847900390625
90;8;3;24.581827878952026
91;8;3;24.794235706329346
92;8;3;25.183339834213257
93;8;3;25.381364107131958
94;8;3;25.580541610717773
95;8;3;25.976135730743408
96;8;3;26.183269739151
97;8;3;26.38807487487793
98;8;3;26.78096318244934
99;8;3;26.988189220428467
100;7;3;27.185720443725586
101;8;3;27.58231830596924
102;8;3;27.79563856124878
103;8;3;27.998316764831543
104;8;3;28.396106004714966
105;7;3;28.61847448348999
106;8;3;28.81655216217041
107;8;3;29.22782063484192
108;7;3;29.4454083442688
109;8;3;29.674387454986572
110;8;3;30.07119917869568
111;7;3;30.301807641983032
112;8;3;30.500418663024902
113;8;3;30.89647936820984
114;8;3;31.101778984069824
115;8;3;31.31262183189392
116;8;3;31.72534728050232
117;8;3;31.93343710899353
118;8;3;32.131136655807495
119;8;3;32.517727851867676
120;7;3;32.726136922836304
121;8;3;32.937384605407715
122;8;3;33.32350993156433
123;8;3;33.53271269798279
124;8;3;33.740301847457886
125;7;3;34.12950539588928
126;8;3;34.338905334472656
127;8;3;34.538793087005615
128;8;3;34.93314862251282
129;7;3;35.13859415054321
130;8;3;35.345951795578
131;8;3;35.7593674659729
132;8;3;35.96918320655823
133;7;3;36.17173504829407
134;8;3;36.56766223907471
135;8;3;36.782530784606934
136;8;3;36.98822498321533
137;8;3;37.37468338012695
138;7;3;37.574812173843384
139;8;3;37.77274441719055
140;8;3;38.1681489944458
141;8;3;38.37545967102051
142;8;3;38.57389688491821
143;8;3;38.9596209526062
144;8;3;39.158976793289185
145;8;3;39.36092925071716
146;8;3;39.74670100212097
147;8;3;39.95379638671875
148;8;3;40.16917586326599
149;8;3;40.556413888931274
150;8;3;40.7575421333313
151;8;3;40.96124076843262
152;7;3;41.3543004989624
153;8;3;41.55656886100769
154;7;3;41.771326780319214
155;8;3;42.164920806884766
156;8;3;42.37267827987671
157;8;3;42.572699308395386
158;8;3;42.96346616744995
159;8;3;43.166903495788574
160;8;3;43.368491888046265
161;8;3;43.75966691970825
162;8;3;43.975590229034424
163;8;3;44.176780462265015
164;8;3;44.566566705703735
165;8;3;44.768638610839844
166;8;3;44.9707772731781
167;8;3;45.43780708312988
168;8;3;45.63846755027771
169;8;3;45.84970808029175
170;8;3;46.264415979385376
171;8;3;46.48122692108154
172;8;3;46.7032253742218
173;8;3;47.101338386535645
174;7;3;47.307669162750244
175;8;3;47.509228467941284
176;8;3;47.912024974823
177;8;3;48.13421034812927
178;8;3;48.33623790740967
179;7;3;48.73796987533569
180;8;3;48.94192600250244
181;8;3;49.1527054309845
182;8;3;49.550163984298706
183;7;3;49.74795174598694
184;8;3;49.96937918663025
