generations;average_fitness;best_fitness;time
0;48;34;0.3458743095397949
1;46;34;0.710158109664917
2;45;32;1.0392510890960693
3;44;32;1.3588840961456299
4;43;32;1.67622709274292
5;42;32;1.9965581893920898
6;42;28;2.368317127227783
7;41;28;2.6953012943267822
8;41;28;3.0123939514160156
9;41;26;3.3315420150756836
10;40;26;3.6497740745544434
11;40;26;4.019399166107178
12;39;26;4.339958190917969
13;39;26;4.668407201766968
14;39;26;4.990478038787842
15;39;26;5.309892177581787
16;38;25;5.627496957778931
17;38;25;5.994538068771362
18;38;25;6.315982103347778
19;37;25;6.6354591846466064
20;37;25;6.95752215385437
21;37;25;7.276875019073486
22;37;23;7.6532111167907715
23;36;23;7.97602105140686
24;36;23;8.294599294662476
25;35;23;8.61594009399414
26;35;23;8.936663150787354
27;35;23;9.319127082824707
28;34;22;9.648625135421753
29;34;22;9.97306227684021
30;34;21;10.30158019065857
31;33;18;10.620561122894287
32;33;18;10.94070816040039
33;33;18;11.311223030090332
34;33;18;11.633848190307617
35;32;18;11.952903270721436
36;32;14;12.273422241210938
37;32;14;12.59381914138794
38;31;14;12.968921184539795
39;32;14;13.292221307754517
40;31;14;13.611617088317871
41;31;14;13.936390161514282
42;30;14;14.25480604171753
43;30;14;14.633161067962646
44;30;14;14.95701813697815
45;30;14;15.27881908416748
46;30;14;15.603624105453491
47;30;14;15.928930044174194
48;29;14;16.31715202331543
49;28;14;16.641098022460938
50;28;14;16.96024513244629
51;28;14;17.280708074569702
52;28;14;17.606323957443237
53;27;14;17.98469090461731
54;27;14;18.3144371509552
55;27;14;18.657830238342285
56;26;13;18.993208169937134
57;26;13;19.3120219707489
58;25;13;19.70025610923767
59;25;13;20.025317192077637
60;24;12;20.34674620628357
61;24;11;20.67135715484619
62;24;11;20.99147915840149
63;24;11;21.36418104171753
64;23;11;21.687509059906006
65;22;11;22.0092990398407
66;23;11;22.330218076705933
67;22;11;22.650891065597534
68;22;8;23.02793288230896
69;21;8;23.35201621055603
70;21;8;23.67643713951111
71;21;8;24.00012707710266
72;20;8;24.31862211227417
73;20;8;24.701701164245605
74;19;8;25.0375759601593
75;19;8;25.36124897003174
76;18;7;25.68412494659424
77;18;7;26.003093004226685
78;17;6;26.376192092895508
79;17;6;26.6998610496521
80;17;6;27.02059507369995
81;16;6;27.34160304069519
82;16;6;27.660418033599854
83;16;4;28.03490114212036
84;15;4;28.36400008201599
85;14;3;28.696453094482422
86;14;3;29.0195209980011
87;14;3;29.338682174682617
88;13;3;29.720135927200317
89;13;2;30.04317593574524
90;12;2;30.363734006881714
91;11;2;30.685276985168457
92;11;2;31.002702236175537
93;10;2;31.375688076019287
94;9;2;31.698545217514038
95;8;2;32.01794719696045
96;8;2;32.33862614631653
97;7;2;32.66079115867615
98;6;2;33.032334089279175
99;6;2;33.35342311859131
100;5;2;33.67150902748108
101;5;2;33.996920108795166
102;5;2;34.31453800201416
103;5;2;34.693902254104614
104;5;2;35.01920008659363
105;5;2;35.34329390525818
106;5;2;35.664860248565674
107;6;2;35.98240804672241
108;5;2;36.35499596595764
109;5;2;36.67724108695984
110;5;2;36.99495506286621
111;5;2;37.31307911872864
112;5;2;37.6314492225647
113;5;2;38.005367040634155
114;5;2;38.32671904563904
115;6;0;38.64434218406677
