generations;average_fitness;best_fitness;time
0;56;44;0.36869192123413086
1;49;42;0.6249840259552002
2;45;31;0.8715929985046387
3;42;31;1.1797914505004883
4;37;29;1.4350593090057373
5;35;28;1.7583749294281006
6;34;26;2.0060901641845703
7;33;25;2.2708842754364014
8;32;22;2.5882232189178467
9;29;21;2.8538260459899902
10;28;21;3.0895273685455322
11;26;20;3.38954496383667
12;26;20;3.6372838020324707
13;25;19;3.951218366622925
14;25;18;4.209787845611572
15;24;17;4.4509148597717285
16;23;17;4.8050172328948975
17;24;17;5.056122064590454
18;23;17;5.302971601486206
19;22;16;5.619088172912598
20;22;16;5.868699312210083
21;22;16;6.197577714920044
22;22;15;6.453242778778076
23;21;14;6.691696882247925
24;21;14;6.999188661575317
25;21;14;7.246814727783203
26;21;14;7.524627447128296
27;21;14;7.830262660980225
28;20;14;8.082173824310303
29;20;14;8.422705173492432
30;20;14;8.694093465805054
31;20;14;8.945991039276123
32;21;13;9.25519323348999
33;20;14;9.548657417297363
34;20;14;9.814052104949951
35;20;14;10.11990213394165
36;20;14;10.371837377548218
37;20;14;10.72258710861206
38;20;14;10.98013424873352
39;20;14;11.241649389266968
40;20;14;11.535196781158447
41;20;14;11.768371820449829
42;21;14;12.01120138168335
43;20;14;12.352967500686646
44;20;14;12.608779191970825
45;20;14;12.922405004501343
46;20;14;13.161475419998169
47;20;14;13.41602110862732
48;20;13;13.74915599822998
49;20;13;13.983374834060669
50;20;13;14.227230548858643
51;19;13;14.573798656463623
52;19;13;14.815718173980713
53;19;13;15.128278970718384
54;19;12;15.4285409450531
55;19;12;15.661788702011108
56;19;12;15.958004236221313
57;19;12;16.201404809951782
58;19;12;16.461446523666382
59;19;12;16.762120962142944
60;18;12;17.04270887374878
61;18;12;17.36197519302368
62;18;12;17.631132125854492
63;18;12;17.8794047832489
64;18;12;18.21631908416748
65;19;11;18.47285294532776
66;18;11;18.72546124458313
67;18;11;19.065667152404785
68;18;11;19.306129455566406
69;19;11;19.603567361831665
70;19;11;19.904240608215332
71;18;11;20.161271810531616
72;18;11;20.47867488861084
73;18;11;20.731022834777832
74;18;11;20.97336769104004
75;18;11;21.2934672832489
76;17;10;21.552490234375
77;18;11;21.85120391845703
78;18;11;22.0871365070343
79;17;10;22.34176731109619
80;17;10;22.654473543167114
81;17;10;22.919933795928955
82;17;10;23.15956711769104
