generations;average_fitness;best_fitness;time
0;51;39;0.199385404586792
1;50;39;0.33591127395629883
2;50;39;0.5230040550231934
3;49;39;0.6708126068115234
4;49;38;0.8650510311126709
5;49;35;1.0116395950317383
6;49;35;1.1960597038269043
7;48;35;1.3484737873077393
8;48;34;1.5439867973327637
9;48;34;1.69502592086792
10;47;34;1.8847050666809082
11;47;34;2.035215377807617
12;46;34;2.2245938777923584
13;46;34;2.3685386180877686
14;46;34;2.5452158451080322
15;46;34;2.686978340148926
16;46;34;2.8666069507598877
17;45;32;3.0075430870056152
18;45;32;3.1947476863861084
19;45;32;3.343695640563965
20;44;31;3.5302674770355225
21;44;31;3.6795430183410645
22;45;31;3.8721070289611816
23;45;31;4.021124362945557
24;45;31;4.220041275024414
25;45;31;4.375266075134277
26;45;31;4.572665452957153
27;44;31;4.726853609085083
28;45;31;4.925107717514038
29;45;30;5.0788490772247314
30;44;30;5.273443937301636
31;44;29;5.423669338226318
32;43;29;5.571214437484741
33;43;29;5.763486862182617
34;44;29;5.911174774169922
35;43;28;6.100337982177734
36;43;28;6.257375717163086
37;43;28;6.491770505905151
38;43;28;6.6658360958099365
39;42;28;6.896933555603027
40;42;26;7.050163269042969
41;42;26;7.259240388870239
42;42;26;7.4079272747039795
43;42;26;7.616193771362305
44;42;26;7.765460252761841
45;42;26;7.970749378204346
46;42;23;8.121216535568237
47;41;23;8.324350833892822
48;40;23;8.47925329208374
49;39;23;8.67619800567627
50;39;23;8.832866907119751
51;39;23;9.035127639770508
52;39;23;9.185715198516846
53;40;23;9.380040645599365
54;41;23;9.52950668334961
55;41;23;9.719021797180176
56;41;23;9.867923974990845
57;41;23;10.055848598480225
58;41;23;10.207585096359253
59;39;23;10.405330419540405
60;39;23;10.554813146591187
61;40;23;10.746322870254517
62;39;23;10.892011165618896
63;39;23;11.092259168624878
64;39;23;11.249333143234253
65;38;23;11.450506687164307
66;37;23;11.596165657043457
67;36;23;11.79197907447815
68;35;23;11.946457624435425
69;34;22;12.161723136901855
70;35;22;12.32911729812622
71;34;22;12.56086254119873
72;34;22;12.72341775894165
73;34;22;12.888654947280884
74;35;22;13.103623390197754
75;35;22;13.272303342819214
76;35;22;13.500813007354736
77;35;22;13.664889335632324
78;35;22;13.891409635543823
79;36;22;14.074039697647095
80;36;22;14.314513683319092
81;35;22;14.50472116470337
82;35;22;14.743042707443237
83;36;22;14.931076765060425
84;36;22;15.23682427406311
85;35;22;15.435033798217773
86;35;22;15.654624223709106
87;35;22;15.82342004776001
88;36;22;16.04278564453125
89;35;22;16.205415964126587
90;36;22;16.410961866378784
91;36;22;16.571542739868164
92;36;22;16.7883358001709
93;35;22;16.94815731048584
94;36;22;17.150683164596558
95;35;22;17.304457426071167
96;35;22;17.502624034881592
97;35;22;17.660982608795166
98;36;22;17.855929851531982
99;36;22;18.009626626968384
100;37;22;18.198254823684692
101;36;21;18.347490549087524
102;36;21;18.5368230342865
103;35;21;18.691416263580322
104;35;21;18.8869366645813
105;35;21;19.03886651992798
106;34;21;19.225216388702393
107;35;21;19.37808918952942
108;35;21;19.55869221687317
109;36;21;19.703458309173584
110;37;21;19.899133443832397
111;37;21;20.04698085784912
112;36;21;20.236604690551758
113;36;21;20.3987238407135
114;36;21;20.592387199401855
115;36;21;20.741360664367676
116;36;21;20.932676076889038
117;37;21;21.081377029418945
118;35;21;21.267711639404297
119;34;21;21.41971206665039
120;34;21;21.570708990097046
121;35;21;21.759095191955566
122;35;21;21.91260552406311
123;34;21;22.10363245010376
124;35;21;22.255656003952026
125;35;21;22.456677436828613
126;35;21;22.617187976837158
127;35;21;22.80264687538147
128;34;21;22.950348377227783
129;35;21;23.134443998336792
130;36;21;23.279619693756104
131;35;21;23.4690043926239
132;35;21;23.61557936668396
133;35;21;23.803659200668335
134;35;21;23.959691047668457
135;34;21;24.15871524810791
136;35;21;24.31522536277771
137;35;21;24.51525044441223
138;35;21;24.66927433013916
139;35;21;24.874303817749023
140;35;21;25.030816793441772
141;35;21;25.225953578948975
142;35;21;25.38399386405945
143;35;21;25.584022998809814
144;35;21;25.739535570144653
145;35;21;25.939560174942017
146;35;21;26.085131406784058
147;35;21;26.27004623413086
148;34;21;26.419792413711548
149;34;21;26.612038612365723
150;34;21;26.760135412216187
151;35;21;26.948305130004883
152;35;21;27.09731149673462
153;36;21;27.291351556777954
154;35;21;27.447438716888428
155;34;21;27.636475324630737
156;35;21;27.78358221054077
157;35;21;27.980604648590088
158;35;21;28.1371169090271
159;35;21;28.33249855041504
160;35;21;28.48005485534668
161;36;21;28.629846334457397
162;36;21;28.81354522705078
163;36;21;28.960773468017578
164;35;21;29.147584438323975
165;35;21;29.293703317642212
166;34;21;29.488795280456543
167;35;21;29.64130663871765
168;34;21;29.82837462425232
169;34;21;29.97842025756836
170;33;21;30.17046070098877
171;33;21;30.323569774627686
172;34;21;30.51709532737732
173;34;21;30.672046184539795
174;35;21;30.86409068107605
175;34;21;31.016448974609375
176;34;21;31.203747510910034
177;33;21;31.356274127960205
178;34;21;31.54531693458557
179;35;21;31.705354690551758
180;35;21;31.89590334892273
181;35;21;32.04550123214722
182;35;21;32.24030518531799
183;35;21;32.390692472457886
184;34;21;32.57973289489746
185;35;21;32.734254360198975
186;35;21;32.930296659469604
187;34;21;33.08433938026428
188;33;21;33.277384757995605
189;34;21;33.430662631988525
190;34;21;33.63070511817932
