generations;average_fitness;best_fitness;time
0;50;33;1.4825305938720703
1;49;33;2.4828412532806396
2;48;33;3.8210461139678955
3;47;33;5.101075887680054
4;46;32;6.203488111495972
5;45;29;7.447850704193115
6;44;29;8.525718927383423
7;43;29;9.742347955703735
8;43;29;10.790905237197876
9;42;25;12.002216577529907
10;42;25;13.052825927734375
11;42;25;14.298294067382812
12;41;25;15.39652156829834
13;41;25;16.800188779830933
14;40;25;17.889214277267456
15;40;25;19.178093910217285
16;39;25;20.245732069015503
17;39;25;21.642996311187744
18;39;23;22.716853380203247
19;38;23;24.016127586364746
20;38;21;25.05717372894287
21;38;21;26.33507227897644
22;38;21;27.382196187973022
23;37;21;28.687496662139893
24;37;21;29.786495685577393
25;37;21;31.121739149093628
26;36;21;32.2113835811615
27;36;21;33.52314496040344
28;36;21;34.65777587890625
29;35;21;35.98932456970215
30;35;21;37.05748772621155
31;35;21;38.37704634666443
32;35;21;39.427711963653564
33;35;18;40.7491557598114
34;34;18;41.850698947906494
35;34;18;43.19856595993042
36;34;16;44.30630540847778
37;34;16;45.6562340259552
38;34;16;46.747843980789185
39;33;16;48.06918025016785
40;33;16;49.18989396095276
41;33;16;50.55665159225464
42;33;16;51.66095733642578
43;32;16;52.96869778633118
44;32;16;54.042200326919556
45;31;16;55.38728713989258
46;31;16;56.49898433685303
47;30;15;57.82382798194885
48;30;15;58.897353172302246
49;29;15;60.231241941452026
50;29;15;61.28901433944702
51;28;15;62.56926107406616
52;28;15;63.63702368736267
53;28;15;64.93917918205261
54;27;15;66.03566861152649
55;27;15;67.37161827087402
56;27;15;68.46864914894104
57;27;15;69.77668642997742
58;27;13;70.86906266212463
59;27;13;72.1932909488678
60;27;13;73.25287175178528
61;26;11;74.5523009300232
62;26;11;75.6346926689148
63;26;11;76.96916842460632
64;25;11;78.04707312583923
65;24;8;79.4137556552887
66;24;8;80.51543927192688
67;24;8;81.85654640197754
68;24;8;82.92250323295593
69;24;8;84.25369024276733
70;24;8;85.3594810962677
71;24;8;86.70086479187012
72;23;8;87.7767744064331
73;23;8;89.11116075515747
74;23;8;90.20276665687561
75;22;8;91.57801032066345
76;22;7;92.67778611183167
77;21;7;94.03191137313843
78;21;7;95.13637328147888
79;21;7;96.47118353843689
80;21;6;97.56077599525452
81;20;6;98.88842105865479
82;19;5;99.96345090866089
83;19;5;101.28606152534485
84;19;5;102.39441013336182
85;18;5;103.81076741218567
86;18;5;104.98568534851074
87;17;5;106.39951753616333
88;17;4;107.56185698509216
89;16;4;108.9333610534668
90;16;2;110.04261755943298
91;15;2;111.43702006340027
92;14;2;112.61926889419556
93;13;2;114.02370429039001
94;13;2;115.09760427474976
95;12;2;116.43574047088623
96;12;2;117.58719444274902
97;11;2;118.94245338439941
98;11;2;120.07291340827942
99;10;2;121.47913765907288
100;9;2;122.63275098800659
101;8;2;123.98052382469177
102;7;2;125.08734321594238
103;7;2;126.55241584777832
104;6;2;127.68561148643494
105;6;2;129.0391035079956
106;6;2;130.15152406692505
107;6;2;131.49080991744995
108;6;2;132.59753227233887
109;6;2;133.93028283119202
110;7;2;135.0664141178131
111;7;2;136.43730902671814
112;6;2;137.58176493644714
113;6;2;138.87687969207764
114;6;2;139.98555302619934
115;7;2;141.3158483505249
116;6;2;142.4016592502594
117;7;2;143.7520740032196
118;6;2;144.9253706932068
119;6;2;146.36595129966736
120;6;2;147.51850938796997
121;7;2;148.92800879478455
122;7;2;150.07025933265686
123;7;2;151.45403409004211
124;7;2;152.6865131855011
125;7;2;154.0381896495819
126;7;2;155.18907141685486
127;6;2;156.65207958221436
128;7;2;157.85332036018372
129;7;2;159.29918670654297
130;7;2;160.39647364616394
131;6;2;161.76851105690002
132;6;2;162.8531732559204
133;6;2;164.26293659210205
134;6;2;165.34075951576233
135;7;2;166.7184808254242
136;6;2;167.82020258903503
137;6;2;169.23859548568726
138;6;2;170.34189558029175
139;6;2;171.68362855911255
140;6;2;172.75754141807556
141;6;2;174.11283087730408
142;6;2;175.17919850349426
143;6;2;176.52541422843933
144;6;2;177.59202194213867
145;6;2;178.9359085559845
146;7;2;180.01589632034302
147;7;2;181.3916437625885
148;7;2;182.48692917823792
149;6;2;184.1237313747406
150;6;2;185.19155287742615
151;6;2;186.51243829727173
152;6;2;187.55925488471985
153;7;2;188.86433053016663
154;6;2;189.9270076751709
155;7;2;191.22436261177063
156;6;2;192.3041844367981
157;7;2;193.6357159614563
158;6;2;194.71056413650513
159;6;2;196.01651692390442
160;6;2;197.07649087905884
161;6;2;198.36028909683228
162;7;2;199.45923256874084
163;7;2;200.79845523834229
164;6;2;201.88627886772156
165;6;2;203.18930912017822
166;6;2;204.2528109550476
167;6;2;205.5833797454834
168;7;2;206.64604878425598
169;6;2;207.9572310447693
170;6;2;209.01538062095642
171;6;2;210.36322283744812
172;6;2;211.45488142967224
173;6;2;212.77670073509216
174;6;2;213.8228120803833
175;6;2;215.1349060535431
176;7;2;216.20519757270813
177;7;2;217.50166392326355
178;6;2;218.5773730278015
179;6;2;219.94345951080322
180;7;2;221.01674509048462
181;7;2;222.35627436637878
182;7;2;223.4450225830078
183;7;2;224.78248715400696
184;7;2;225.8789246082306
185;6;2;227.20517468452454
186;6;2;228.28853464126587
187;6;2;229.58567905426025
188;6;2;230.6625370979309
189;7;2;231.9762728214264
190;6;2;233.02845239639282
191;6;2;234.37501454353333
192;6;2;235.4606614112854
193;6;2;236.77834510803223
194;6;2;237.86416745185852
195;7;2;239.17466926574707
196;7;2;240.22821617126465
197;6;2;241.5268247127533
198;6;2;242.5887885093689
199;6;2;243.93562579154968
200;7;2;245.0218141078949
201;7;2;246.38432574272156
202;7;2;247.4630732536316
203;6;2;248.78576278686523
204;6;2;249.83832168579102
205;6;2;251.15028357505798
206;6;2;252.20168161392212
207;7;2;253.5477466583252
208;7;2;254.6348946094513
209;7;2;255.99262976646423
210;6;2;257.0682144165039
211;6;2;258.34266328811646
212;7;2;259.38908219337463
213;6;2;260.71053767204285
214;6;2;261.81817746162415
215;6;2;263.1545901298523
216;6;2;264.2274446487427
217;7;2;265.5684332847595
218;7;2;266.63437724113464
219;7;2;267.9284155368805
220;7;2;268.98000025749207
221;6;2;270.27203702926636
222;6;2;271.3263931274414
223;6;2;272.6366980075836
224;6;2;273.68284845352173
225;7;2;274.97462248802185
226;7;2;276.0252351760864
227;7;2;277.36884021759033
228;7;2;278.4099373817444
229;6;2;279.7015962600708
230;6;2;280.778103351593
231;6;2;282.0795781612396
232;7;2;283.1222023963928
233;7;2;284.43021059036255
234;6;2;285.480211019516
235;7;2;286.8281352519989
236;7;2;287.87840461730957
237;7;2;289.1863272190094
238;7;2;290.23617601394653
239;6;2;291.5520713329315
