generations;average_fitness;best_fitness;time
0;40;30;1.3964991569519043
1;36;27;2.6870925426483154
2;34;26;3.9951114654541016
3;32;26;5.335529327392578
4;32;23;6.667964696884155
5;30;22;8.02567720413208
6;28;21;9.007291078567505
7;28;20;10.341824054718018
8;27;19;11.67265272140503
9;26;19;13.071285009384155
10;26;17;14.437612771987915
11;25;17;15.78639841079712
12;24;16;17.178879499435425
13;23;16;18.16498041152954
14;23;16;19.54222011566162
15;23;16;20.909965753555298
16;23;16;22.303277015686035
17;23;16;23.679728507995605
18;23;16;25.041202545166016
19;22;16;26.435303211212158
20;22;16;27.82758665084839
21;23;16;28.81019353866577
22;23;16;30.201664447784424
23;23;16;31.56561279296875
24;22;16;32.97545289993286
25;22;16;34.3791937828064
26;22;16;35.77419137954712
27;23;16;37.17243504524231
28;22;16;38.13219690322876
29;22;16;39.518330574035645
30;22;16;40.917343854904175
31;22;16;42.33830165863037
32;22;16;43.78646397590637
33;22;16;45.15999102592468
34;23;16;46.571239709854126
35;22;16;47.99977421760559
36;22;16;49.00121188163757
37;22;16;50.38227415084839
38;22;16;51.79051876068115
39;22;16;53.202040672302246
40;22;16;54.6646888256073
41;22;16;56.06667423248291
42;22;16;57.47242283821106
43;22;16;58.887343883514404
44;22;16;59.868762731552124
45;22;16;61.273102045059204
46;22;16;62.68668985366821
47;22;16;64.10195422172546
48;22;16;65.51702094078064
49;22;16;66.93900418281555
50;22;16;68.34689593315125
51;22;16;69.79293966293335
52;22;16;70.76241612434387
53;22;16;72.14832305908203
54;22;16;73.53771781921387
55;22;16;74.96274709701538
56;22;16;76.3608558177948
57;22;16;77.7695631980896
58;23;16;79.16602802276611
59;22;16;80.59964060783386
60;22;16;81.58633470535278
61;22;16;82.98867321014404
62;22;16;84.40422439575195
63;22;16;85.82968211174011
64;22;16;87.28252720832825
65;22;16;88.68564295768738
66;22;16;90.11815166473389
67;22;16;91.568199634552
68;22;16;92.5602958202362
69;22;16;93.95982503890991
70;22;16;95.38471746444702
71;23;16;96.80293130874634
72;22;16;98.21840929985046
73;22;16;99.64102697372437
74;22;16;101.08256816864014
75;22;16;102.52445554733276
76;22;16;103.52434134483337
77;22;16;104.91059422492981
78;22;16;106.32300519943237
79;22;16;107.74095797538757
80;22;16;109.17446231842041
81;22;16;110.6138105392456
82;22;16;112.05320477485657
83;22;16;113.4780638217926
84;22;16;114.45097970962524
85;22;16;115.85606265068054
86;22;16;117.26535964012146
87;22;16;118.66134643554688
88;22;16;120.09965658187866
89;22;16;121.52947306632996
90;22;16;122.9455177783966
91;22;16;124.39055466651917
92;22;16;125.38550066947937
93;22;16;126.82968592643738
94;22;16;128.25773692131042
95;22;16;129.68146777153015
96;22;16;131.11802530288696
97;22;16;132.56999492645264
98;22;16;134.0006594657898
99;22;16;135.44409441947937
100;22;16;136.46324610710144
101;22;16;137.93322205543518
102;22;16;139.35468363761902
103;22;16;140.79509139060974
104;22;16;142.23054242134094
105;22;16;143.66549038887024
106;22;16;145.0837380886078
107;22;16;146.54794001579285
108;22;16;147.53175020217896
109;22;16;148.95527243614197
110;22;16;150.37538242340088
111;22;16;151.79202461242676
112;22;16;153.25365924835205
113;22;16;154.6891257762909
114;22;16;156.12226843833923
115;22;16;157.5415337085724
116;22;16;158.55731654167175
117;22;16;159.97139883041382
118;22;16;161.38149881362915
119;22;16;162.80924105644226
120;22;16;164.2566614151001
121;22;16;165.689759016037
122;22;16;167.13160490989685
123;22;16;168.5714409351349
124;22;16;169.554767370224
125;22;16;170.9616255760193
126;22;16;172.36540722846985
127;22;16;173.808176279068
128;22;16;175.2468569278717
129;22;16;176.69777870178223
130;22;16;178.13856887817383
131;22;16;179.6116909980774
132;22;16;180.6080527305603
133;22;16;182.02986121177673
134;22;16;183.47489523887634
135;22;16;184.92736792564392
136;22;16;186.36220955848694
137;22;16;187.80604696273804
138;22;16;189.249116897583
139;22;16;190.68442702293396
140;22;16;191.69994020462036
141;22;16;193.1140501499176
142;22;16;194.56033873558044
143;22;16;196.04094171524048
144;22;16;197.496990442276
145;22;16;198.91296648979187
146;22;16;200.3616337776184
147;22;16;201.83526802062988
148;22;16;202.8298454284668
149;22;16;204.24308013916016
150;22;16;205.70563888549805
151;22;16;207.14228868484497
152;22;16;208.5812864303589
153;22;16;210.02538061141968
154;22;16;211.45128107070923
155;22;16;212.8834536075592
156;22;16;213.87228178977966
157;22;16;215.30705404281616
158;22;16;216.73968410491943
159;22;16;218.17722940444946
160;22;16;219.63567519187927
161;22;16;221.08109521865845
